####################################################################################################
# Month: 11Nov                                                                                     #
# Station: ALI                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    day     segment         tau     Tb (K)                                      #
####################################################################################################
year,day,segment,tau,Tb
2009,1,0,0.03661765,13.45437
2009,1,1,0.0320419,12.3351
2009,1,2,0.0341318,12.83796
2009,1,3,0.03718618,13.5494
2009,1,4,0.04121604,14.50846
2009,1,5,0.04523212,15.47005
2009,1,6,0.0471768,15.92357
2009,1,7,0.04762806,16.00532
2009,2,0,0.04660384,15.769
2009,2,1,0.04332588,15.02637
2009,2,2,0.04111729,14.52818
2009,2,3,0.03986006,14.20727
2009,2,4,0.03857871,13.9105
2009,2,5,0.04127518,14.59946
2009,2,6,0.04385312,15.20382
2009,2,7,0.05131231,16.98571
2009,3,0,0.06159355,19.39581
2009,3,1,0.07098486,21.70114
2009,3,2,0.06397786,20.12836
2009,3,3,0.07139274,21.73106
2009,3,4,0.06138847,19.40452
2009,3,5,0.05866379,18.73866
2009,3,6,0.06048009,19.14439
2009,3,7,0.06216104,19.51994
2009,4,0,0.06249419,19.58979
2009,4,1,0.05915514,18.80403
2009,4,2,0.06336918,19.77899
2009,4,3,0.07301405,21.96096
2009,4,4,0.05590155,18.14701
2009,4,5,0.04812011,16.30991
2009,4,6,0.04645393,15.90996
2009,4,7,0.04178851,14.79907
2009,5,0,0.03859265,14.02869
2009,5,1,0.03171543,12.33655
2009,5,2,0.03529569,13.24771
2009,5,3,0.03847214,14.00964
2009,5,4,0.04024171,14.43186
2009,5,5,0.04563601,15.72465
2009,5,6,0.05498985,17.94164
2009,5,7,0.06625436,20.58156
2009,6,0,0.07339305,22.19733
2009,6,1,0.07528304,22.57029
2009,6,2,nan,nan
2009,6,3,0.06997082,21.33852
2009,6,4,0.0996001,27.93489
2009,6,5,0.07376204,22.2546
2009,6,6,0.06083281,19.29875
2009,6,7,0.05984296,19.13543
2009,7,0,0.05704983,18.48402
2009,7,1,0.06055937,19.31183
2009,7,2,0.05398113,17.70271
2009,7,3,0.0586624,18.72287
2009,7,4,0.07064528,21.51697
2009,7,5,0.06517123,20.3033
2009,7,6,0.06556092,20.36821
2009,7,7,0.06647027,20.59383
2009,8,0,0.06492141,20.25365
2009,8,1,0.05961971,19.00754
2009,8,2,0.05240393,17.32166
2009,8,3,0.05378049,17.67798
2009,8,4,0.05272993,17.41059
2009,8,5,0.05304179,17.4829
2009,8,6,0.05674351,18.36169
2009,8,7,0.06724539,20.79762
2009,9,0,0.06982663,21.35812
2009,9,1,0.07089797,21.54762
2009,9,2,0.07990631,23.64024
2009,9,3,0.0946519,27.04234
2009,9,4,0.1584643,40.76755
2009,9,5,0.1309969,35.08027
2009,9,6,0.0841501,24.57057
2009,9,7,0.07859984,23.29515
2009,10,0,0.09355858,26.66342
2009,10,1,0.06589433,20.3404
2009,10,2,0.05849355,18.5794
2009,10,3,0.05630667,18.03475
2009,10,4,0.05050269,16.66674
2009,10,5,0.04091867,14.3673
2009,10,6,0.03521543,13.00624
2009,10,7,0.03194744,12.2202
2009,11,0,0.0319386,12.22811
2009,11,1,0.02648148,10.89389
2009,11,2,0.02083448,9.44967
2009,11,3,0.02168133,9.67763
2009,11,4,0.02216624,9.819001
2009,11,5,0.0219476,9.779573
2009,11,6,0.02086853,9.506371
2009,11,7,0.01994991,9.262243
2009,12,0,0.01996807,9.260865
2009,12,1,0.02075353,9.460703
2009,12,2,0.02543503,10.71242
2009,12,3,0.03297303,12.66397
2009,12,4,0.03321932,12.74292
2009,12,5,0.03126887,12.27297
2009,12,6,0.02903787,11.70456
2009,12,7,0.02862585,11.56198
2009,13,0,0.02947658,11.73043
2009,13,1,0.03208322,12.35965
2009,13,2,0.08706324,25.21455
2009,13,3,0.09642949,27.67767
2009,13,4,0.1175658,32.38274
2009,13,5,0.1302611,35.0453
2009,13,6,0.1655556,42.57402
2009,13,7,0.2116872,52.17039
2009,14,0,0.1730718,44.31652
2009,14,1,0.1223213,33.53303
2009,14,2,0.1528436,40.00665
2009,14,3,0.1516797,39.77922
2009,14,4,0.1434979,38.12882
2009,14,5,0.1502481,39.54891
2009,14,6,0.198514,49.37528
2009,14,7,0.08978986,26.06774
2009,15,0,0.05140773,17.19775
2009,15,1,0.03694223,13.65009
2009,15,2,0.03532521,13.22003
2009,15,3,0.04011835,14.38477
2009,15,4,0.04086561,14.53555
2009,15,5,0.04260561,14.93859
2009,15,6,0.04652116,15.86605
2009,15,7,0.04580326,15.69247
2009,16,0,0.04688437,15.95073
2009,16,1,0.04970872,16.60818
2009,16,2,0.06387829,19.90769
2009,16,3,0.05946429,18.90728
2009,16,4,0.06961291,21.29687
2009,16,5,0.06302664,19.80593
2009,16,6,0.05408155,17.66357
2009,16,7,0.04869831,16.33965
2009,17,0,0.04234669,14.77899
2009,17,1,0.04086509,14.40304
2009,17,2,0.05102022,16.79052
2009,17,3,0.05486631,17.68597
2009,17,4,0.05222139,17.08965
2009,17,5,0.06937675,21.0289
2009,17,6,0.04990566,16.50756
2009,17,7,0.04264513,14.73486
2009,18,0,0.03913304,13.86815
2009,18,1,0.03706649,13.35863
2009,18,2,0.03828852,13.65576
2009,18,3,0.04109735,14.31646
2009,18,4,0.0411739,14.39105
2009,18,5,0.04085917,14.32724
2009,18,6,0.03694177,13.40062
2009,18,7,0.03372156,12.59889
2009,19,0,0.03389361,12.61005
2009,19,1,0.03614447,13.12397
2009,19,2,0.03434262,12.68458
2009,19,3,0.03341215,12.49568
2009,19,4,0.02989234,11.68509
2009,19,5,0.02512563,10.51524
2009,19,6,0.02498894,10.4769
2009,19,7,0.02089893,9.418388
2009,20,0,0.01792506,8.629075
2009,20,1,0.01565866,8.013007
2009,20,2,0.01627613,8.191821
2009,20,3,0.01683166,8.356409
2009,20,4,0.01702005,8.407287
2009,20,5,0.02089703,9.438272
2009,20,6,0.0262566,10.83021
2009,20,7,0.02996631,11.80018
2009,21,0,0.03037235,11.92033
2009,21,1,0.03353409,12.71582
2009,21,2,0.03340909,12.70023
2009,21,3,0.03668009,13.52079
2009,21,4,0.03526735,13.15194
2009,21,5,0.03165625,12.217
2009,21,6,0.03240476,12.4214
2009,21,7,0.03351542,12.67924
2009,22,0,0.03202471,12.29258
2009,22,1,0.02912229,11.54638
2009,22,2,0.02991699,11.72439
2009,22,3,0.0359532,13.20861
2009,22,4,0.03079005,11.96576
2009,22,5,0.02611805,10.84742
2009,22,6,0.022443,9.895094
2009,22,7,0.02089435,9.489607
2009,23,0,0.02007448,9.278671
2009,23,1,0.01999409,9.257712
2009,23,2,0.02502488,10.57124
2009,23,3,0.03030759,11.91498
2009,23,4,0.03193381,12.32097
2009,23,5,0.02992439,11.83798
2009,23,6,0.03068575,12.01964
2009,23,7,0.03034096,11.90389
2009,24,0,0.0285038,11.43791
2009,24,1,0.02798683,11.27819
2009,24,2,0.02641969,10.89491
2009,24,3,0.02759948,11.20719
2009,24,4,0.02702463,11.04594
2009,24,5,0.0294673,11.65907
2009,24,6,0.02778645,11.2291
2009,24,7,0.02772225,11.22645
2009,25,0,0.03464379,12.95014
2009,25,1,0.03496514,13.04216
2009,25,2,0.03629227,13.40408
2009,25,3,0.03701966,13.584
2009,25,4,0.03961474,14.21716
2009,25,5,0.03800277,13.80831
2009,25,6,0.03781243,13.7213
2009,25,7,0.03773334,13.6651
2009,26,0,0.03919098,14.00777
2009,26,1,0.0376309,13.61799
2009,26,2,0.03889775,13.95513
2009,26,3,0.04805324,16.12207
2009,26,4,0.04353221,15.07732
2009,26,5,0.03654441,13.44172
2009,26,6,0.03650592,13.42567
2009,26,7,0.0464187,15.79974
2009,27,0,0.0481192,16.20345
2009,27,1,0.05770451,18.49201
2009,27,2,0.07159471,21.82622
2009,27,3,0.08688278,25.35507
2009,27,4,0.1030533,28.98871
2009,27,5,0.08183914,24.35525
2009,27,6,0.1002008,28.54387
2009,27,7,0.1119645,31.12003
2009,28,0,0.1026068,28.95677
2009,28,1,0.09857705,27.95599
2009,28,2,0.1067684,29.74146
2009,28,3,0.07595487,22.80819
2009,28,4,0.0742183,22.4214
2009,28,5,0.0806583,23.88862
2009,28,6,0.09925179,28.03611
2009,28,7,0.1084472,30.19467
2009,29,0,0.09132136,26.24174
2009,29,1,0.05993239,19.07614
2009,29,2,0.04912337,16.49227
2009,29,3,0.05089547,16.89568
2009,29,4,0.04459888,15.42173
2009,29,5,0.04042956,14.40826
2009,29,6,0.03582903,13.27154
2009,29,7,0.03927182,14.06464
2009,30,0,0.05126216,16.98554
2009,30,1,0.0595227,18.95847
2009,30,2,0.07394941,22.28178
2009,30,3,0.08935588,25.84246
2009,30,4,0.0886334,25.6589
2009,30,5,0.07565358,22.67862
2009,30,6,0.0951947,27.17071
2009,30,7,0.09015427,26.02656
2010,1,0,0.04865931,16.28685
2010,1,1,0.04715532,15.90831
2010,1,2,0.0600283,18.9116
2010,1,3,0.06409087,19.87186
2010,1,4,0.06335449,19.71896
2010,1,5,0.05901247,18.71648
2010,1,6,0.05725831,18.32367
2010,1,7,0.04732627,16.02445
2010,2,0,0.03774499,13.71487
2010,2,1,0.03245945,12.41938
2010,2,2,0.03814675,13.79675
2010,2,3,0.04331981,15.0573
2010,2,4,0.04035906,14.37838
2010,2,5,0.02824222,11.40753
2010,2,6,0.02363225,10.19984
2010,2,7,0.02197318,9.753894
2010,3,0,0.02331565,10.09115
2010,3,1,0.02608369,10.78636
2010,3,2,0.02960492,11.74472
2010,3,3,0.03864873,14.02439
2010,3,4,0.04634853,15.9218
2010,3,5,0.04237475,14.94045
2010,3,6,0.04802408,16.28716
2010,3,7,0.04454156,15.46001
2010,4,0,0.04006254,14.35552
2010,4,1,0.03835815,13.93042
2010,4,2,0.05094849,16.97641
2010,4,3,0.06335534,19.91766
2010,4,4,0.06807539,21.02835
2010,4,5,0.07542391,22.75365
2010,4,6,0.07657636,23.03261
2010,4,7,0.0699186,21.46252
2010,5,0,0.0681387,21.00344
2010,5,1,0.05967505,19.02269
2010,5,2,0.05765552,18.56397
2010,5,3,0.06809825,20.98298
2010,5,4,0.06488367,20.23056
2010,5,5,0.05672626,18.35367
2010,5,6,0.05381124,17.65619
2010,5,7,0.05717999,18.44338
2010,6,0,0.06155694,19.46015
2010,6,1,0.05862429,18.73337
2010,6,2,0.0586234,18.72001
2010,6,3,0.06074991,19.18584
2010,6,4,0.05617048,18.14911
2010,6,5,0.04811453,16.27763
2010,6,6,0.0444172,15.39606
2010,6,7,0.04386172,15.28268
2010,7,0,0.0433203,15.1579
2010,7,1,0.04382729,15.28862
2010,7,2,0.0431352,15.10566
2010,7,3,0.04742009,16.12376
2010,7,4,0.05220243,17.27845
2010,7,5,0.04918034,16.62045
2010,7,6,0.04432373,15.49715
2010,7,7,0.03562455,13.3807
2010,8,0,0.03193993,12.45697
2010,8,1,0.03058597,12.1101
2010,8,2,0.03382199,12.94428
2010,8,3,0.03575776,13.40795
2010,8,4,0.03569439,13.39794
2010,8,5,0.03453826,13.12139
2010,8,6,0.03127305,12.31591
2010,8,7,0.02928822,11.81913
2010,9,0,0.02769045,11.40806
2010,9,1,0.02251585,10.04903
2010,9,2,0.02342242,10.29131
2010,9,3,0.02627823,11.03083
2010,9,4,0.02691901,11.20643
2010,9,5,0.02605025,10.9849
2010,9,6,0.02553494,10.84721
2010,9,7,0.02558896,10.85221
2010,10,0,0.02561577,10.8462
2010,10,1,0.02520424,10.72879
2010,10,2,0.02737612,11.30103
2010,10,3,0.03121522,12.28771
2010,10,4,0.03144223,12.36977
2010,10,5,0.03070225,12.17729
2010,10,6,0.0307238,12.13514
2010,10,7,0.02832935,11.4758
2010,11,0,0.03056933,12.01913
2010,11,1,0.03162244,12.28521
2010,11,2,0.03463835,13.06134
2010,11,3,0.04102638,14.68693
2010,11,4,0.04037166,14.5248
2010,11,5,0.03648189,13.5603
2010,11,6,0.0362887,13.50574
2010,11,7,0.03690418,13.66466
2010,12,0,0.03504263,13.21331
2010,12,1,0.03321424,12.74664
2010,12,2,0.03187438,12.39222
2010,12,3,0.03573148,13.32385
2010,12,4,0.03919675,14.18429
2010,12,5,0.03950227,14.2429
2010,12,6,0.03876102,14.03658
2010,12,7,0.04051429,14.45099
2010,13,0,0.04235204,14.88597
2010,13,1,0.03948889,14.19043
2010,13,2,0.04240952,14.8716
2010,13,3,0.04536354,15.57026
2010,13,4,0.04855395,16.32568
2010,13,5,0.05131664,17.0017
2010,13,6,0.05049111,16.81554
2010,13,7,0.04891386,16.43789
2010,14,0,0.04551961,15.62488
2010,14,1,0.03923561,14.11907
2010,14,2,0.03583009,13.28794
2010,14,3,0.03881013,14.00107
2010,14,4,0.04006953,14.32027
2010,14,5,0.03814849,13.86379
2010,14,6,0.03646027,13.43886
2010,14,7,0.0374436,13.65829
2010,15,0,0.03692216,13.52152
2010,15,1,0.03126382,12.12782
2010,15,2,0.02998438,11.81753
2010,15,3,0.03163975,12.21834
2010,15,4,0.03286567,12.53462
2010,15,5,0.03210679,12.35499
2010,15,6,0.03143305,12.1863
2010,15,7,0.03222503,12.36906
2010,16,0,0.03356517,12.68996
2010,16,1,0.03349552,12.67704
2010,16,2,0.034764,13.00225
2010,16,3,0.03589716,13.27699
2010,16,4,0.03558842,13.2029
2010,16,5,0.03656131,13.45639
2010,16,6,0.03519995,13.10967
2010,16,7,0.03479179,13.00417
2010,17,0,0.03641705,13.40725
2010,17,1,0.03382362,12.76195
2010,17,2,0.03327267,12.64129
2010,17,3,0.03523716,13.12397
2010,17,4,0.03523271,13.14002
2010,17,5,0.03327302,12.6781
2010,17,6,0.03197076,12.36314
2010,17,7,0.03279889,12.57345
2010,18,0,0.03253842,12.51421
2010,18,1,0.03230444,12.46631
2010,18,2,0.03371812,12.82642
2010,18,3,0.03829288,13.91765
2010,18,4,0.04283423,15.00202
2010,18,5,0.04547214,15.6092
2010,18,6,0.05023489,16.72123
2010,18,7,0.05139284,16.99455
2010,19,0,0.04706923,15.97506
2010,19,1,0.04496443,15.48878
2010,19,2,0.04381848,15.21516
2010,19,3,0.04161206,14.67678
2010,19,4,0.03830445,13.87859
2010,19,5,0.03605704,13.33571
2010,19,6,0.03611641,13.35542
2010,19,7,0.0370504,13.57651
2010,20,0,0.036643,13.46587
2010,20,1,0.03699652,13.54534
2010,20,2,0.03870452,13.95998
2010,20,3,0.03999415,14.26366
2010,20,4,0.04205492,14.75621
2010,20,5,0.03911549,14.07571
2010,20,6,0.03272389,12.5007
2010,20,7,0.03832475,13.86152
2010,21,0,0.03716557,13.54155
2010,21,1,0.0346788,12.92655
2010,21,2,0.03599287,13.25095
2010,21,3,0.04447714,15.28374
2010,21,4,0.05257092,17.22931
2010,21,5,0.05484122,17.78913
2010,21,6,0.06019696,19.02834
2010,21,7,0.06315085,19.7269
2010,22,0,0.05844683,18.61095
2010,22,1,0.06078945,19.18089
2010,22,2,0.06678809,20.55599
2010,22,3,0.06550234,20.25004
2010,22,4,0.05722533,18.36511
2010,22,5,0.04654876,15.87145
2010,22,6,0.04278094,14.9106
2010,22,7,0.03916277,14.01805
2010,23,0,0.03749327,13.60245
2010,23,1,0.03760498,13.62792
2010,23,2,0.03719618,13.55854
2010,23,3,0.03737909,13.63225
2010,23,4,0.03833186,13.88503
2010,23,5,0.03761379,13.7395
2010,23,6,0.03902627,14.10425
2010,23,7,0.04037639,14.44456
2010,24,0,0.03708608,13.65228
2010,24,1,0.03614655,13.46413
2010,24,2,0.02689566,11.10343
2010,24,3,0.02998006,11.88996
2010,24,4,0.03047406,12.01538
2010,24,5,0.02932368,11.7214
2010,24,6,0.02767514,11.29837
2010,24,7,0.02805888,11.40322
2010,25,0,0.0371959,13.7181
2010,25,1,0.05488177,18.02081
2010,25,2,0.1305764,34.89477
2010,25,3,0.1103243,30.5215
2010,25,4,0.08852311,25.7066
2010,25,5,0.08383085,24.68615
2010,25,6,0.09293459,26.88248
2010,25,7,0.0906919,26.349
2010,26,0,0.06633274,20.77634
2010,26,1,0.05638378,18.37367
2010,26,2,0.03802385,13.89784
2010,26,3,0.03425219,12.9313
2010,26,4,0.03897642,14.10198
2010,26,5,0.04705398,16.08832
2010,26,6,0.04783551,16.24859
2010,26,7,0.03650983,13.48914
2010,27,0,0.02679841,11.04762
2010,27,1,0.02448391,10.45532
2010,27,2,0.02442448,10.41312
2010,27,3,0.02329071,10.09911
2010,27,4,0.02663742,10.95782
2010,27,5,0.02568417,10.72159
2010,27,6,0.0266166,10.95417
2010,27,7,0.02900527,11.55567
2010,28,0,0.02428921,10.35394
2010,28,1,0.02236172,9.859907
