####################################################################################################
# Month: 01Jan                                                                                     #
# Station: ALMA                                                                                    #
# Columns are: year    day     RH (percent)                                                        #
####################################################################################################
year,day,RH
9,1,0.28090275
9,2,0.22594825
9,3,0.1973825
9,4,0.22969175
9,5,0.4003505
9,6,0.32730638
9,7,0.23575112
9,8,0.11177225
9,9,0.04184838
9,10,0.0417825
9,11,0.09532925
9,12,0.044085
9,13,0.10728162
9,14,0.13027975
9,15,0.08665312
9,16,0.1627255
9,17,0.3309645
9,18,0.28610112
9,19,0.21352688
9,20,0.53949887
9,21,0.26680587
9,22,0.38086675
9,23,0.26343412
9,24,0.11783662
9,25,0.2845115
9,26,0.562125
9,27,0.300979
9,28,0.37170075
9,29,0.40158538
9,30,0.52871938
9,31,0.24287812
