####################################################################################################
# Month: 04Apr                                                                                     #
# Station: ALMA                                                                                    #
# Frequency: 230 GHz                                                                               #
# Columns are: year    day     tau     Tb (K)                                                      #
####################################################################################################
year,day,tau,Tb
2009,1,0.05754868,19.0950075
2009,2,0.03528817,13.41664375
2009,3,0.02610674,11.00595988
2009,4,0.02182623,9.84779138
2009,5,0.02616478,11.0802555
2009,6,0.03480088,13.32878875
2009,7,0.05217308,17.5848175
2009,8,0.11759289,32.84391875
2009,9,0.09138797,26.6935375
2009,10,0.06424116,20.64644625
2009,11,0.07069526,22.32106625
2009,12,0.09465212,27.94750875
2009,13,0.06648149,21.261955
2009,14,0.0541817,18.33029
2009,15,0.04186152,15.17462125
2009,16,0.04443998,15.85133125
2009,17,0.05352556,18.15556125
2009,18,0.06957098,21.99314
2009,19,0.07001153,22.10912875
2009,20,0.06586167,21.1694725
2009,21,0.02680402,11.24128975
2009,22,0.02502919,10.70936012
2009,23,0.03639463,13.65578375
2009,24,0.0362579,13.63783738
2009,25,0.02203562,9.91383625
2009,26,0.02766095,11.29656238
2009,27,0.02764747,11.35881338
2009,28,0.02198448,9.90034988
2009,29,0.02141529,9.69361762
2009,30,0.03805528,13.9936325
2010,1,0.04620691,16.27872875
2010,2,0.05224661,17.83952
2010,3,0.03876001,14.4130475
2010,4,0.04243723,15.36227
2010,5,0.04039583,14.8188275
2010,6,0.049992,17.10515375
2010,7,0.06083759,19.9241825
2010,8,0.03236889,12.6943745
2010,9,0.02909255,11.85730788
2010,10,0.03333633,12.91606
2010,11,0.02418013,10.46797838
2010,12,0.02555596,10.78668662
2010,13,0.03389579,12.88366875
2010,14,0.05211236,17.4671925
2010,15,0.03103605,12.26392875
2010,16,0.04144315,14.76655125
2010,17,0.11352755,31.41180625
2010,18,0.11688634,32.1496575
2010,19,0.07358712,22.8025925
2010,20,0.08072683,24.6049
2010,21,0.06977346,21.91379125
2010,22,0.080694,24.57428625
2010,23,0.03235834,12.6200035
2010,24,0.02611959,10.83866125
2010,25,0.03715246,13.7858375
2010,26,0.03311667,12.743417
2010,27,0.06575469,20.95461375
2010,28,0.05248962,17.71453625
2010,29,0.07310479,22.370435
2010,30,0.22935982,56.00629375
2011,1,0.03054338,12.19302638
2011,2,0.02246061,10.07150425
2011,3,0.02459544,10.60842925
2011,4,0.02517797,10.67782
2011,5,0.02813263,11.54165375
2011,6,0.11808688,32.67572125
2011,7,0.12889587,35.67736625
2011,8,0.10404129,29.3811725
2011,9,0.18642249,48.13436125
2011,10,0.17258588,45.46914
2011,11,0.02957309,11.862357
2011,12,0.03416545,13.01882125
2011,13,0.0286654,11.63089375
2011,14,0.02658305,11.1279075
2011,15,0.03121945,12.38922625
2011,16,0.03301829,12.83764875
2011,17,0.04925722,16.92278875
2011,18,0.0525727,17.76836375
2011,19,0.02331769,10.22462338
2011,20,0.02679402,11.1965525
2011,21,0.03073072,12.20605375
2011,22,0.02770915,11.3594775
2011,23,0.03970353,14.47579625
2011,24,0.0255217,10.79545175
2011,25,0.02380533,10.2145625
2011,26,0.03849596,13.96308125
2011,27,0.0462055,15.94427375
2011,28,0.03128038,12.29608225
2011,29,0.02377952,10.397825
2011,30,0.01775012,8.76651862
2012,1,0.0456582,16.11377375
2012,2,0.03908904,14.3226025
2012,3,0.05222202,17.5660525
2012,4,0.09541974,27.41673125
2012,5,0.0792688,23.73427625
2012,6,0.07797273,23.57392375
2012,7,0.08210008,24.7587225
2012,8,0.0564475,18.78153125
2012,9,0.07201769,22.32529375
2012,10,0.0368429,13.8065625
2012,11,0.0735961,22.2346175
2012,12,0.26477872,63.66171
2012,13,0.0607111,19.20512325
2012,14,0.01672541,8.51213125
2012,15,0.01824111,8.92866413
2012,16,0.01686331,8.49798612
2012,17,0.0252544,10.75327175
2012,18,0.08152407,24.80516125
2012,19,0.07365324,23.03272125
2012,20,0.04300886,15.37916
2012,21,0.02621275,11.0367025
2012,22,0.02929893,11.87653125
2012,23,0.06445855,20.39902875
2012,24,0.07683213,23.6065175
2012,25,0.07018794,21.99735125
2012,26,0.02433899,10.515441
2012,27,0.0319829,12.4304225
2012,28,0.04966734,16.63749
2012,29,0.04034557,14.63710875
2012,30,0.02322798,10.22826088
2013,1,0.01802556,8.75815638
2013,2,0.02296867,10.14497988
2013,3,0.03110028,12.25699375
2013,4,0.02202619,9.87664112
2013,5,0.01842972,8.89519025
2013,6,0.04042579,14.70708375
2013,7,0.01882309,9.083879
2013,8,0.01771822,8.77653825
2013,9,0.0209694,9.63540388
2013,10,0.02628339,11.04832875
2013,11,0.04346587,15.39282625
2013,12,0.04769321,16.4094525
2013,13,0.02337319,10.22781875
2013,14,0.02777602,11.46715663
2013,15,0.0192531,9.16212825
2013,16,0.02003228,9.35741562
2013,17,0.03864262,14.138435
2013,18,0.07293321,22.5429375
2013,19,0.07186623,22.31760375
2013,20,0.04927642,16.91906375
2013,21,0.03797182,14.112895
2013,22,0.0443966,15.69272125
2013,23,0.04032156,14.61247875
2013,24,0.03299055,12.75618125
2013,25,0.03473743,13.25703
2013,26,0.02971483,11.94462875
2013,27,0.0234841,10.300281
2013,28,0.02195959,9.89522525
2013,29,0.01959827,9.22480088
2013,30,0.0388652,14.30287375
2014,1,0.04918175,16.46385612
2014,2,0.12944255,35.6411475
2014,3,0.11490305,32.37415625
2014,4,0.20219214,51.18738
2014,5,0.25419031,61.813395
2014,6,0.22525655,56.28764125
2014,7,0.11648431,32.493815
2014,8,0.02490243,10.54466312
2014,9,0.03179169,12.34141625
2014,10,0.06425097,20.12680375
2014,11,0.02710672,11.22674375
2014,12,0.01912679,9.14429888
2014,13,0.01777639,8.70255362
2014,14,0.01642881,8.3291125
2014,15,0.01977876,9.21941562
2014,16,0.03053845,12.00867
2014,17,0.0299396,11.90524
2014,18,0.03754839,13.90581625
2014,19,0.02858363,11.613268
2014,20,0.0236111,10.26575525
2014,21,0.02917182,11.62954875
2014,22,0.04248226,15.10343125
2014,23,0.04218251,15.10293625
2014,24,0.05511907,18.3392425
2014,25,0.02579812,10.92593875
2014,26,0.02250311,10.03606188
2014,27,0.03212719,12.46367025
2014,28,0.03027157,12.02471875
2014,29,0.03224758,12.44761
2014,30,0.03240918,12.50308612
2015,1,0.03979562,14.59056875
2015,2,0.06578795,21.1136475
2015,3,0.0254871,10.87848112
2015,4,0.03502376,13.3021225
2015,5,0.04035563,14.68806375
2015,6,0.07443593,22.58472375
2015,7,0.11863904,32.979255
2015,8,0.036541,13.66844875
2015,9,0.05131653,17.1848625
2015,10,0.08672829,25.4532825
2015,11,0.21053139,52.03086625
2015,12,0.12561511,34.24748875
2015,13,0.0395307,14.38066
2015,14,0.04929429,16.86899625
2015,15,0.04115347,14.9087775
2015,16,0.03581246,13.38984125
2015,17,0.04078449,14.67904375
2015,18,0.08845159,26.146235
2015,19,0.02391938,10.28773162
2015,20,0.02841965,11.40181562
2015,21,0.02523832,10.70584525
2015,22,0.02839763,11.6588175
2015,23,0.10364826,29.544895
2015,24,0.19680948,50.23181125
2015,25,0.11432244,32.47534625
2015,26,0.05812184,19.07016875
2015,27,0.0493893,17.0169
2015,28,0.03289709,12.80134375
2015,29,0.01952584,9.28233112
2015,30,0.03453295,13.1627265
2016,1,0.0655129,20.935265
2016,2,0.05722022,18.91347875
2016,3,0.06014654,19.4941975
2016,4,0.12912649,35.550255
2016,5,0.2391434,59.2033475
2016,6,0.0890639,26.51830875
2016,7,0.06253224,20.29258
2016,8,0.04888742,16.7847125
2016,9,0.03909389,14.39355375
2016,10,0.03236686,12.61791625
2016,11,0.03828466,13.982375
2016,12,0.0435325,15.41101
2016,13,0.03915868,14.3788825
2016,14,0.03506669,13.4117325
2016,15,0.02860103,11.74947125
2016,16,0.03039123,12.18037125
2016,17,0.1453247,38.93795625
2016,18,0.20279062,51.4296225
2016,19,0.14109407,37.75036875
2016,20,0.05823941,18.86032875
2016,21,0.02962582,12.0485175
2016,22,0.02155938,9.82737362
2016,23,0.0343114,13.08097688
2016,24,0.11293402,31.50250375
2016,25,0.05696145,18.7920925
2016,26,0.0568126,18.49955975
2016,27,0.04716306,16.1111815
2016,28,0.10989984,31.05496
2016,29,0.05959542,19.44651125
2016,30,0.04438343,15.67610375
2017,1,0.1531573,41.3146
2017,2,0.06222975,20.17281625
2017,3,0.02403625,10.50606562
2017,4,0.01762513,8.735897
2017,5,0.02730413,11.33452375
2017,6,0.0259145,10.9566625
2017,7,0.02982881,11.86689
2017,8,0.03635245,13.47296625
2017,9,0.03728858,13.8950375
2017,10,0.01942813,9.26968675
2017,11,0.03960372,14.49419375
2017,12,0.09012346,26.84573125
2017,13,0.03561102,13.5125905
2017,14,0.05471517,18.2866225
2017,15,0.0605952,19.71422125
2017,16,0.02581349,10.96864862
2017,17,0.02706424,11.223215
2017,18,0.06736562,21.10506625
2017,19,0.10070238,28.591115
2017,20,0.07108329,22.23477625
2017,21,0.03691805,13.8496725
2017,22,0.01879064,9.04010512
2017,23,0.02780201,11.43532875
2017,24,0.02954981,11.90443125
2017,25,0.0300628,12.04942375
2017,26,0.01854731,8.99115912
2017,27,0.01701066,8.55417675
2017,28,0.0177495,8.73395588
2017,29,0.0304202,12.10219938
2017,30,0.03354122,12.87617875
2018,1,0.05314857,17.95710125
2018,2,0.0342499,13.2092575
2018,3,0.02528031,10.83824625
2018,4,0.0218604,9.8736305
2018,5,0.01912207,9.07897175
2018,6,0.03748474,13.90152625
2018,7,0.04163769,14.92804625
2018,8,0.0815094,24.606775
2018,9,0.14541208,39.51839875
2018,10,0.12842137,35.44069875
2018,11,0.08193016,24.8319725
2018,12,0.0733619,22.81598875
2018,13,0.07452061,23.10321
2018,14,0.07045529,22.18871375
2018,15,0.08658432,26.041585
2018,16,0.06832766,21.70307375
2018,17,0.04241294,15.28154375
2018,18,0.0317775,12.497265
2018,19,0.05043978,17.31259625
2018,20,0.04373258,15.56207375
2018,21,0.08962608,26.70358375
2018,22,0.12107109,33.69328625
2018,23,0.16206566,42.57672
2018,24,0.18603411,47.86128
2018,25,0.16329625,42.86917
2018,26,0.22596357,56.04754375
2018,27,0.04539811,15.82749625
2018,28,0.04384007,15.4604085
2018,29,0.05998607,19.68767875
2018,30,0.03584208,13.56137675
