####################################################################################################
# Month: 03Mar                                                                                     #
# Station: ATCA                                                                                    #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
9,03,1,0,0.372405
9,03,1,1,0.325723
9,03,1,2,0.267339
9,03,1,3,0.199164
9,03,1,4,0.196731
9,03,1,5,0.206383
9,03,1,6,0.213199
9,03,1,7,0.218356
9,03,2,0,0.350196
9,03,2,1,0.541494
9,03,2,2,0.507051
9,03,2,3,0.479597
9,03,2,4,0.433613
9,03,2,5,0.440295
9,03,2,6,0.515811
9,03,2,7,0.726266
9,03,3,0,0.668582
9,03,3,1,0.471594
9,03,3,2,0.433063
9,03,3,3,0.455121
9,03,3,4,0.461008
9,03,3,5,0.496518
9,03,3,6,0.631191
9,03,3,7,0.653836
9,03,4,0,0.706436
9,03,4,1,0.555431
9,03,4,2,0.614849
9,03,4,3,0.345915
9,03,4,4,0.301936
9,03,4,5,0.340191
9,03,4,6,0.488069
9,03,4,7,0.629531
9,03,5,0,0.501228
9,03,5,1,0.368004
9,03,5,2,0.326671
9,03,5,3,0.368428
9,03,5,4,0.431173
9,03,5,5,0.505454
9,03,5,6,0.520788
9,03,5,7,0.538799
9,03,6,0,0.507461
9,03,6,1,0.375354
9,03,6,2,0.300497
9,03,6,3,0.311668
9,03,6,4,0.333184
9,03,6,5,0.336239
9,03,6,6,0.346003
9,03,6,7,0.354435
9,03,7,0,0.340192
9,03,7,1,0.262505
9,03,7,2,0.220512
9,03,7,3,0.218333
9,03,7,4,0.216155
9,03,7,5,0.215508
9,03,7,6,0.224334
9,03,7,7,0.543765
9,03,8,0,0.612459
9,03,8,1,0.403612
9,03,8,2,0.304517
9,03,8,3,0.282958
9,03,8,4,0.705792
9,03,8,5,0.709589
9,03,8,6,0.75093
9,03,8,7,0.740456
9,03,9,0,0.599322
9,03,9,1,0.424223
9,03,9,2,0.357359
9,03,9,3,0.445753
9,03,9,4,0.581761
9,03,9,5,0.67965
9,03,9,6,0.679215
9,03,9,7,0.689192
9,03,10,0,0.659876
9,03,10,1,0.478691
9,03,10,2,0.458318
9,03,10,3,0.586791
9,03,10,4,0.66791
9,03,10,5,0.593274
9,03,10,6,0.16841
9,03,10,7,0.523161
9,03,11,0,0.528939
9,03,11,1,0.401918
9,03,11,2,0.368361
9,03,11,3,0.479738
9,03,11,4,0.665531
9,03,11,5,0.589047
9,03,11,6,0.637277
9,03,11,7,0.669021
9,03,12,0,0.616729
9,03,12,1,0.457432
9,03,12,2,0.46255
9,03,12,3,0.567163
9,03,12,4,0.685789
9,03,12,5,0.711331
9,03,12,6,1.912986
9,03,12,7,0.604168
9,03,13,0,0.611228
9,03,13,1,0.472028
9,03,13,2,0.417609
9,03,13,3,0.480199
9,03,13,4,0.573773
9,03,13,5,0.624059
9,03,13,6,0.703436
9,03,13,7,0.697519
9,03,14,0,0.713621
9,03,14,1,0.533169
9,03,14,2,0.441268
9,03,14,3,0.416868
9,03,14,4,0.434177
9,03,14,5,0.460577
9,03,14,6,0.564796
9,03,14,7,0.632141
9,03,15,0,0.705814
9,03,15,1,0.492645
9,03,15,2,0.945554
9,03,15,3,0.360505
9,03,15,4,0.426847
9,03,15,5,0.371347
9,03,15,6,0.365093
9,03,15,7,0.393252
9,03,16,0,0.395696
9,03,16,1,0.29013
9,03,16,2,0.258089
9,03,16,3,0.301587
9,03,16,4,0.320551
9,03,16,5,0.361375
9,03,16,6,0.408847
9,03,16,7,0.434585
9,03,17,0,0.440435
9,03,17,1,0.346022
9,03,17,2,0.312329
9,03,17,3,0.323724
9,03,17,4,0.323212
9,03,17,5,0.328582
9,03,17,6,0.410811
9,03,17,7,0.620611
9,03,18,0,0.603787
9,03,18,1,0.420598
9,03,18,2,0.360066
9,03,18,3,0.37126
9,03,18,4,0.419477
9,03,18,5,0.646375
9,03,18,6,0.73793
9,03,18,7,0.705837
9,03,19,0,0.652901
9,03,19,1,0.469615
9,03,19,2,0.823605
9,03,19,3,0.364315
9,03,19,4,0.377402
9,03,19,5,0.485534
9,03,19,6,0.697767
9,03,19,7,0.759901
9,03,20,0,0.564031
9,03,20,1,0.398525
9,03,20,2,0.353869
9,03,20,3,0.34913
9,03,20,4,0.537371
9,03,20,5,0.627576
9,03,20,6,0.574239
9,03,20,7,0.573267
9,03,21,0,0.474141
9,03,21,1,0.290566
9,03,21,2,0.231733
9,03,21,3,0.269955
9,03,21,4,0.563262
9,03,21,5,0.596373
9,03,21,6,0.560142
9,03,21,7,0.56693
9,03,22,0,0.506679
9,03,22,1,0.334238
9,03,22,2,0.255112
9,03,22,3,0.240053
9,03,22,4,0.252404
9,03,22,5,0.548548
9,03,22,6,0.676534
9,03,22,7,0.679554
9,03,23,0,0.540872
9,03,23,1,0.333902
9,03,23,2,0.274641
9,03,23,3,0.284411
9,03,23,4,0.326724
9,03,23,5,0.471553
9,03,23,6,0.554091
9,03,23,7,0.561039
9,03,24,0,0.564845
9,03,24,1,0.366074
9,03,24,2,0.301708
9,03,24,3,0.303871
9,03,24,4,0.336256
9,03,24,5,0.51179
9,03,24,6,0.578826
9,03,24,7,0.607222
9,03,25,0,0.621123
9,03,25,1,0.384088
9,03,25,2,0.318987
9,03,25,3,0.345933
9,03,25,4,0.375794
9,03,25,5,0.418416
9,03,25,6,0.463858
9,03,25,7,0.503459
9,03,26,0,0.588027
9,03,26,1,0.415546
9,03,26,2,0.333313
9,03,26,3,0.321169
9,03,26,4,0.324058
9,03,26,5,0.335941
9,03,26,6,0.421461
9,03,26,7,0.489261
9,03,27,0,0.509766
9,03,27,1,0.398974
9,03,27,2,0.377895
9,03,27,3,0.443169
9,03,27,4,0.608224
9,03,27,5,0.507943
9,03,27,6,0.367791
9,03,27,7,0.386053
9,03,28,0,0.431443
9,03,28,1,0.2589
9,03,28,2,0.213851
9,03,28,3,0.254892
9,03,28,4,0.516467
9,03,28,5,0.432218
