####################################################################################################
# Month: 10Oct                                                                                     #
# Station: ATCA                                                                                    #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
2014,10,1,0,0.491269
2014,10,1,1,0.290004
2014,10,1,2,0.205651
2014,10,1,3,0.217021
2014,10,1,4,0.216421
2014,10,1,5,0.292369
2014,10,1,6,0.660241
2014,10,1,7,0.724497
2014,10,2,0,0.607601
2014,10,2,1,0.408687
2014,10,2,2,0.331278
2014,10,2,3,0.339155
2014,10,2,4,0.353498
2014,10,2,5,0.356943
2014,10,2,6,0.360972
2014,10,2,7,0.360205
2014,10,3,0,0.355538
2014,10,3,1,0.261578
2014,10,3,2,0.220375
2014,10,3,3,0.21423
2014,10,3,4,0.215842
2014,10,3,5,0.223517
2014,10,3,6,0.264736
2014,10,3,7,0.55057
2014,10,4,0,0.710755
2014,10,4,1,0.50167
2014,10,4,2,0.443819
2014,10,4,3,0.466069
2014,10,4,4,0.507013
2014,10,4,5,0.590841
2014,10,4,6,0.682028
2014,10,4,7,0.739081
2014,10,5,0,0.724775
2014,10,5,1,0.497801
2014,10,5,2,0.397512
2014,10,5,3,0.400206
2014,10,5,4,0.441109
2014,10,5,5,0.467381
2014,10,5,6,0.507516
2014,10,5,7,0.538447
2014,10,6,0,0.500431
2014,10,6,1,0.360655
2014,10,6,2,0.316135
2014,10,6,3,0.295685
2014,10,6,4,0.288096
2014,10,6,5,0.357383
2014,10,6,6,0.405136
2014,10,6,7,0.530297
2014,10,7,0,0.535869
2014,10,7,1,0.419606
2014,10,7,2,0.341007
2014,10,7,3,0.421755
2014,10,7,4,0.374294
2014,10,7,5,0.32181
2014,10,7,6,0.335491
2014,10,7,7,0.377157
2014,10,8,0,0.434601
2014,10,8,1,0.348016
2014,10,8,2,0.315133
2014,10,8,3,0.303321
2014,10,8,4,0.306116
2014,10,8,5,0.427812
2014,10,8,6,0.501739
2014,10,8,7,0.681394
2014,10,9,0,0.585709
2014,10,9,1,0.342393
2014,10,9,2,0.275573
2014,10,9,3,0.282989
2014,10,9,4,0.303931
2014,10,9,5,0.343798
2014,10,9,6,0.807065
2014,10,9,7,0.87305
2014,10,10,0,0.755885
2014,10,10,1,0.476508
2014,10,10,2,0.364021
2014,10,10,3,0.34355
2014,10,10,4,0.358767
2014,10,10,5,0.374957
2014,10,10,6,0.742362
2014,10,10,7,0.902913
2014,10,11,0,0.82702
2014,10,11,1,0.569762
2014,10,11,2,0.471074
2014,10,11,3,0.455221
2014,10,11,4,0.438705
2014,10,11,5,0.437981
2014,10,11,6,0.516551
2014,10,11,7,0.615438
2014,10,12,0,0.658057
2014,10,12,1,0.477533
