####################################################################################################
# Month: 04Apr                                                                                     #
# Station: BAJA                                                                                    #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,04,1,8.81051012
2009,04,2,4.94160538
2009,04,3,12.5664605
2009,04,4,16.60256262
2009,04,5,6.97181063
2009,04,6,3.59087188
2009,04,7,9.8817125
2009,04,8,21.613482
2009,04,9,10.3475275
2009,04,10,11.448469
2009,04,11,8.69655863
2009,04,12,6.31925162
2009,04,13,2.51251575
2009,04,14,6.2082055
2009,04,15,19.18376575
2009,04,16,16.424224
2009,04,17,11.942111
2009,04,18,7.16047225
2009,04,19,5.36557638
2009,04,20,7.85808662
2009,04,21,6.77054
2009,04,22,3.24137963
2009,04,23,4.64083062
2009,04,24,7.078413
2009,04,25,16.14861762
2009,04,26,11.30857662
2009,04,27,10.1362095
2009,04,28,10.72214288
2009,04,29,6.946584
2009,04,30,6.21971175
