####################################################################################################
# Month: 11Nov                                                                                     #
# Station: BAR                                                                                     #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,11,1,0,9.068322
2009,11,1,1,10.035489
2009,11,1,2,9.84823
2009,11,1,3,10.242502
2009,11,1,4,11.744055
2009,11,1,5,11.836173
2009,11,1,6,11.210887
2009,11,1,7,10.407436
2009,11,2,0,11.028145
2009,11,2,1,11.956075
2009,11,2,2,10.195499
2009,11,2,3,10.386985
2009,11,2,4,11.059505
2009,11,2,5,9.772753
2009,11,2,6,9.352779
2009,11,2,7,9.277876
2009,11,3,0,9.408191
2009,11,3,1,9.091407
2009,11,3,2,7.180723
2009,11,3,3,6.520263
2009,11,3,4,5.268985
2009,11,3,5,3.211689
2009,11,3,6,5.758513
2009,11,3,7,8.186608
2009,11,4,0,8.230781
2009,11,4,1,8.339502
2009,11,4,2,10.125803
2009,11,4,3,11.276295
2009,11,4,4,11.348007
2009,11,4,5,10.518228
2009,11,4,6,12.979825
2009,11,4,7,14.130946
2009,11,5,0,15.722397
2009,11,5,1,16.315362
2009,11,5,2,16.412086
2009,11,5,3,15.572109
2009,11,5,4,14.059554
2009,11,5,5,13.922204
2009,11,5,6,14.649163
2009,11,5,7,17.306291
2009,11,6,0,16.483359
2009,11,6,1,14.403952
2009,11,6,2,14.944288
2009,11,6,3,15.011125
2009,11,6,4,14.654319
2009,11,6,5,12.340596
2009,11,6,6,9.990302
2009,11,6,7,10.003626
2009,11,7,0,11.722346
2009,11,7,1,11.832092
2009,11,7,2,12.948058
2009,11,7,3,14.785234
2009,11,7,4,14.746953
2009,11,7,5,14.513468
2009,11,7,6,12.171925
2009,11,7,7,10.288996
2009,11,8,0,11.201563
2009,11,8,1,11.055896
2009,11,8,2,8.607342
2009,11,8,3,10.165949
2009,11,8,4,12.207436
2009,11,8,5,8.746137
2009,11,8,6,7.280111
2009,11,8,7,8.865754
2009,11,9,0,10.017476
2009,11,9,1,8.539519
2009,11,9,2,7.8148
2009,11,9,3,9.173585
2009,11,9,4,10.746758
2009,11,9,5,10.940402
2009,11,9,6,12.728177
2009,11,9,7,14.290789
2009,11,10,0,12.070075
2009,11,10,1,10.621826
2009,11,10,2,12.110158
2009,11,10,3,12.79215
2009,11,10,4,12.009004
2009,11,10,5,12.70048
2009,11,10,6,14.145471
2009,11,10,7,15.612059
2009,11,11,0,13.224259
2009,11,11,1,10.877484
2009,11,11,2,12.243936
2009,11,11,3,14.378211
2009,11,11,4,11.409319
2009,11,11,5,11.460538
2009,11,11,6,12.509827
2009,11,11,7,13.292726
2009,11,12,0,12.518214
2009,11,12,1,11.254403
2009,11,12,2,13.697596
2009,11,12,3,15.824886
2009,11,12,4,16.173735
2009,11,12,5,15.745084
2009,11,12,6,12.527867
2009,11,12,7,7.735947
2009,11,13,0,6.16937
2009,11,13,1,4.118365
2009,11,13,2,4.484396
2009,11,13,3,5.712263
2009,11,13,4,6.107973
2009,11,13,5,5.689346
2009,11,13,6,4.419911
2009,11,13,7,4.987062
2009,11,14,0,7.415339
2009,11,14,1,9.421513
2009,11,14,2,9.608736
2009,11,14,3,10.666547
2009,11,14,4,14.376794
2009,11,14,5,17.695923
2009,11,14,6,20.746861
2009,11,14,7,22.434473
2009,11,15,0,20.765883
2009,11,15,1,16.922869
2009,11,15,2,14.924131
2009,11,15,3,12.952272
2009,11,15,4,11.926839
2009,11,15,5,12.320851
2009,11,15,6,9.902522
2009,11,15,7,7.367454
2009,11,16,0,6.815428
2009,11,16,1,6.833233
2009,11,16,2,7.325807
2009,11,16,3,8.223228
2009,11,16,4,8.013435
2009,11,16,5,6.87909
2009,11,16,6,6.231175
2009,11,16,7,6.190627
2009,11,17,0,5.538026
2009,11,17,1,5.463175
2009,11,17,2,6.461264
2009,11,17,3,6.628927
2009,11,17,4,6.437805
2009,11,17,5,6.593433
2009,11,17,6,7.975808
2009,11,17,7,9.616947
2009,11,18,0,10.546777
2009,11,18,1,10.726135
2009,11,18,2,12.455705
2009,11,18,3,13.941849
2009,11,18,4,14.76803
2009,11,18,5,12.980739
2009,11,18,6,9.554147
2009,11,18,7,7.308765
2009,11,19,0,7.676275
2009,11,19,1,11.732666
2009,11,19,2,11.316394
2009,11,19,3,8.602599
2009,11,19,4,8.193854
2009,11,19,5,8.555437
2009,11,19,6,8.30922
2009,11,19,7,9.424504
2009,11,20,0,8.585533
2009,11,20,1,7.712683
2009,11,20,2,9.406628
2009,11,20,3,13.597943
2009,11,20,4,18.717543
2009,11,20,5,24.126091
2009,11,20,6,30.740354
2009,11,20,7,34.294533
2009,11,21,0,33.142354
2009,11,21,1,28.633083
2009,11,21,2,22.567968
2009,11,21,3,18.312709
2009,11,21,4,18.223877
2009,11,21,5,17.302212
2009,11,21,6,19.359434
2009,11,21,7,20.568514
2009,11,22,0,16.90184
2009,11,22,1,14.774487
2009,11,22,2,14.938974
2009,11,22,3,15.330623
2009,11,22,4,16.353329
2009,11,22,5,18.219597
2009,11,22,6,19.462064
2009,11,22,7,20.770602
2009,11,23,0,19.614914
2009,11,23,1,19.834697
2009,11,23,2,19.561351
2009,11,23,3,16.503494
2009,11,23,4,13.155155
2009,11,23,5,10.898202
2009,11,23,6,8.911111
2009,11,23,7,8.692297
2009,11,24,0,7.326641
2009,11,24,1,7.75532
2009,11,24,2,6.287056
2009,11,24,3,5.732363
2009,11,24,4,6.991711
2009,11,24,5,7.45032
2009,11,24,6,6.912487
2009,11,24,7,4.489427
2009,11,25,0,3.429092
2009,11,25,1,2.849591
2009,11,25,2,1.751888
2009,11,25,3,1.636851
2009,11,25,4,3.430824
2009,11,25,5,5.114384
2009,11,25,6,6.864699
2009,11,25,7,6.440452
2009,11,26,0,6.360005
2009,11,26,1,7.910886
2009,11,26,2,9.371753
2009,11,26,3,7.943445
2009,11,26,4,5.034747
