####################################################################################################
# Month: 07Jul                                                                                     #
# Station: BGK                                                                                     #
# Columns are: year    day     RH (percent)                                                        #
####################################################################################################
year,day,RH
9,1,0.98574675
9,2,0.98772612
9,3,0.94225462
9,4,0.88728437
9,5,0.83888362
9,6,0.90493312
9,7,0.90188588
9,8,0.95512288
9,9,0.83897838
9,10,0.88078875
9,11,0.85558238
9,12,0.52767162
9,13,0.62569012
9,14,0.81271812
9,15,0.95772375
9,16,0.58311675
9,17,0.44053775
9,18,0.59338937
9,19,0.73852962
9,20,0.50177762
9,21,0.64612187
9,22,0.6298875
9,23,0.909745
9,24,1.00249012
9,25,0.90767238
9,26,0.84024562
9,27,0.70446862
9,28,0.83635262
9,29,0.9931285
9,30,0.98276962
9,31,0.98815713
