####################################################################################################
# Month: 07Jul                                                                                     #
# Station: CAS                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,07,1,0,1.815293,225.3111
2009,07,1,1,2.253734,241.405
2009,07,1,2,1.650452,218.0978
2009,07,1,3,1.399579,202.7714
2009,07,1,4,1.616135,215.4059
2009,07,1,5,1.769756,222.9991
2009,07,1,6,1.804769,224.4626
2009,07,1,7,1.850095,226.3177
2009,07,2,0,2.057649,234.1624
2009,07,2,1,2.406516,243.8289
2009,07,2,2,2.453868,244.7758
2009,07,2,3,2.490247,245.3797
2009,07,2,4,2.523322,245.5113
2009,07,2,5,2.104316,234.1983
2009,07,2,6,1.832818,224.0743
2009,07,2,7,1.955407,228.2748
2009,07,3,0,2.104303,232.8844
2009,07,3,1,1.968497,229.034
2009,07,3,2,1.94831,228.809
2009,07,3,3,1.955862,229.0558
2009,07,3,4,2.22487,237.9006
2009,07,3,5,2.66917,249.1866
2009,07,3,6,3.151372,258.1277
2009,07,3,7,2.763254,252.7839
2009,07,4,0,1.417805,204.5951
2009,07,4,1,1.349881,199.9238
2009,07,4,2,1.880634,228.4417
2009,07,4,3,2.833329,253.4299
2009,07,4,4,3.560141,261.7444
2009,07,4,5,3.060664,256.1161
2009,07,4,6,2.486609,245.7516
2009,07,4,7,1.492369,208.1706
2009,07,5,0,1.50706,207.9101
2009,07,5,1,2.040078,232.6628
2009,07,5,2,2.093819,234.6397
2009,07,5,3,2.083927,234.0184
2009,07,5,4,2.172737,237.3026
2009,07,5,5,1.924076,228.4173
2009,07,5,6,1.60731,213.7486
2009,07,5,7,1.387544,199.6874
2009,07,6,0,1.42863,201.8667
2009,07,6,1,1.70309,217.2507
2009,07,6,2,2.507779,244.5032
2009,07,6,3,2.775842,249.3957
2009,07,6,4,2.6295,246.3983
2009,07,6,5,2.358903,240.4446
2009,07,6,6,2.149174,234.886
2009,07,6,7,2.602358,246.3832
2009,07,7,0,2.696909,247.5406
2009,07,7,1,2.51333,243.1094
2009,07,7,2,2.701883,246.7091
2009,07,7,3,3.045185,251.6698
2009,07,7,4,2.520453,242.572
2009,07,7,5,2.414401,240.3758
2009,07,7,6,2.155801,232.8897
2009,07,7,7,2.162771,232.6244
2009,07,8,0,2.269518,235.4992
2009,07,8,1,2.260367,234.9747
2009,07,8,2,2.166437,232.107
2009,07,8,3,2.040976,227.9031
2009,07,8,4,1.7698,217.2493
2009,07,8,5,1.951347,224.7439
2009,07,8,6,1.772114,217.613
2009,07,8,7,2.204445,233.4246
2009,07,9,0,1.965008,225.112
2009,07,9,1,2.447677,239.2662
2009,07,9,2,2.431211,238.5414
2009,07,9,3,2.219243,232.8025
2009,07,9,4,2.086641,228.8621
2009,07,9,5,1.806381,218.5561
2009,07,9,6,1.492677,203.2051
2009,07,9,7,1.084558,174.6755
2009,07,10,0,1.197313,183.6039
2009,07,10,1,1.255226,188.104
2009,07,10,2,1.103737,176.4603
2009,07,10,3,1.651004,215.4263
2009,07,10,4,2.090417,236.3485
2009,07,10,5,2.045636,235.1887
2009,07,10,6,2.552428,248.8658
2009,07,10,7,1.84295,224.6219
2009,07,11,0,1.863116,224.5734
2009,07,11,1,1.712466,218.032
2009,07,11,2,1.661625,215.3537
2009,07,11,3,1.774218,219.1517
2009,07,11,4,2.000793,226.9597
2009,07,11,5,1.825434,219.9641
2009,07,11,6,1.862599,222.0962
2009,07,11,7,2.004922,228.0698
2009,07,12,0,2.130096,232.6268
2009,07,12,1,1.772251,219.2024
2009,07,12,2,2.172943,233.7398
