####################################################################################################
# Month: 05May                                                                                     #
# Station: CAT                                                                                     #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,05,1,15.45737338
2009,05,2,18.02918412
2009,05,3,22.08641925
2009,05,4,17.9948405
2009,05,5,14.94707162
2009,05,6,7.690051
2009,05,7,17.97469725
2009,05,8,22.64748025
2009,05,9,22.49587175
2009,05,10,19.5441435
2009,05,11,3.90123575
2009,05,12,4.36304287
2009,05,13,6.4401855
2009,05,14,8.7871515
2009,05,15,13.21641612
2009,05,16,25.90681788
2009,05,17,19.40482488
2009,05,18,20.59221713
2009,05,19,27.3271445
2009,05,20,28.38285862
2009,05,21,27.18024612
2009,05,22,37.7084135
2009,05,23,22.41760687
2009,05,24,11.402226
2009,05,25,16.23156375
2009,05,26,10.83549775
2009,05,27,8.97099425
2009,05,28,10.26552888
2009,05,29,6.93370612
2009,05,30,6.06605375
2009,05,31,11.22429912
