####################################################################################################
# Month: 01Jan                                                                                     #
# Station: CNI                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,01,1,0,0.192804,50.79439
2009,01,1,1,0.2282039,58.6771
2009,01,1,2,0.2401876,61.39088
2009,01,1,3,0.2251298,58.20675
2009,01,1,4,0.195221,51.85093
2009,01,1,5,0.1687815,46.08248
2009,01,1,6,0.1534643,42.61585
2009,01,1,7,0.1387941,39.26609
2009,01,2,0,0.1361569,38.67521
2009,01,2,1,0.1323131,37.81195
2009,01,2,2,0.1308997,37.4397
2009,01,2,3,0.1366247,38.69956
2009,01,2,4,0.1385402,39.08654
2009,01,2,5,0.1367978,38.67145
2009,01,2,6,0.1356032,38.35579
2009,01,2,7,0.1353773,38.27519
2009,01,3,0,0.1360919,38.45402
2009,01,3,1,0.1317535,37.47106
2009,01,3,2,0.1377481,38.82828
2009,01,3,3,0.1427002,39.95442
2009,01,3,4,0.1488404,41.35053
2009,01,3,5,0.1590832,43.69417
2009,01,3,6,0.1534338,42.42691
2009,01,3,7,0.1238539,35.54944
2009,01,4,0,0.0803481,24.97853
2009,01,4,1,0.06039569,19.96106
2009,01,4,2,0.05481375,18.54557
2009,01,4,3,0.05662691,19.04216
2009,01,4,4,0.06269248,20.63095
2009,01,4,5,0.06204695,20.48044
2009,01,4,6,0.05674737,19.14379
2009,01,4,7,0.05588067,18.92477
2009,01,5,0,0.05184958,17.87695
2009,01,5,1,0.05041858,17.50093
2009,01,5,2,0.04903031,17.15197
2009,01,5,3,0.0682463,21.71079
2009,01,5,4,0.1217073,34.01749
2009,01,5,5,0.1521698,41.17847
2009,01,5,6,0.2411606,60.92021
2009,01,5,7,0.2741285,67.9748
2009,01,6,0,0.3492789,83.24854
2009,01,6,1,0.3419138,81.3024
2009,01,6,2,0.400247,91.79032
2009,01,6,3,0.4194626,95.02598
2009,01,6,4,0.4208736,95.40905
2009,01,6,5,0.3022056,73.9677
2009,01,6,6,0.0841432,26.00848
2009,01,6,7,0.05203797,17.71438
2009,01,7,0,0.05119924,17.49333
2009,01,7,1,0.05159676,17.58613
2009,01,7,2,0.06075365,19.66629
2009,01,7,3,0.08568941,25.64648
2009,01,7,4,0.1090213,31.26406
2009,01,7,5,0.1346297,37.30104
2009,01,7,6,0.1468579,40.3189
2009,01,7,7,0.1529834,41.96101
2009,01,8,0,0.1801055,47.8974
2009,01,8,1,0.2115347,54.73724
2009,01,8,2,0.1746114,46.99847
2009,01,8,3,0.1216383,34.9165
2009,01,8,4,0.1621244,44.19083
2009,01,8,5,0.1733671,46.50311
2009,01,8,6,0.1227243,34.66977
2009,01,8,7,0.1494452,40.44364
2009,01,9,0,0.1102408,31.35498
2009,01,9,1,0.1325157,36.29712
2009,01,9,2,0.2241106,56.31737
2009,01,9,3,0.6681737,132.1643
2009,01,9,4,0.7404347,141.5052
2009,01,9,5,1.042344,172.8145
2009,01,9,6,0.6244454,125.7006
2009,01,9,7,0.2483178,62.23537
2009,01,10,0,0.1445173,39.77118
2009,01,10,1,0.1469491,40.75216
2009,01,10,2,0.2153332,55.76481
2009,01,10,3,0.2454716,62.34548
2009,01,10,4,0.3039209,74.53497
2009,01,10,5,0.3398259,81.49407
2009,01,10,6,0.2869457,71.41653
2009,01,10,7,0.2419383,62.33532
2009,01,11,0,0.240974,61.98589
2009,01,11,1,0.239761,61.89383
2009,01,11,2,0.2160073,56.90331
2009,01,11,3,0.2125401,56.14614
2009,01,11,4,0.1914514,51.39611
2009,01,11,5,0.1527082,42.6668
2009,01,11,6,0.1751824,47.82305
2009,01,11,7,0.1836995,49.6679
2009,01,12,0,0.1839781,49.67708
2009,01,12,1,0.1756714,47.74368
2009,01,12,2,0.1598954,43.99782
2009,01,12,3,0.1496259,41.62214
2009,01,12,4,0.1487226,41.1754
2009,01,12,5,0.1624134,44.00222
2009,01,12,6,0.1897393,49.93981
2009,01,12,7,0.1972064,51.53977
2009,01,13,0,0.1936254,50.6383
2009,01,13,1,0.2175022,55.61769
2009,01,13,2,0.2554018,63.37369
2009,01,13,3,0.2810094,68.14555
2009,01,13,4,0.2259732,57.46338
2009,01,13,5,0.1845836,48.57044
2009,01,13,6,0.1410449,39.01555
2009,01,13,7,0.08372145,25.8412
2009,01,14,0,0.06359428,20.79644
2009,01,14,1,0.06175216,20.26645
2009,01,14,2,0.05694242,18.98666
2009,01,14,3,0.05227942,17.73132
2009,01,14,4,0.05321814,17.95157
2009,01,14,5,0.05923557,19.35497
2009,01,14,6,0.07007261,21.85401
2009,01,14,7,0.1372086,37.35383
2009,01,15,0,0.1537553,41.39557
2009,01,15,1,0.1148033,33.19434
2009,01,15,2,0.2531961,64.05046
2009,01,15,3,0.09805392,28.99724
2009,01,15,4,0.1109505,32.40674
2009,01,15,5,0.08953937,27.15679
2009,01,15,6,0.09521492,28.26388
2009,01,15,7,0.1535407,41.85089
2009,01,16,0,0.1516193,41.5099
2009,01,16,1,0.1928775,50.76376
2009,01,16,2,0.1802248,48.59277
2009,01,16,3,0.1640834,45.12538
2009,01,16,4,0.1654037,45.3069
2009,01,16,5,0.1323919,37.72226
2009,01,16,6,0.1501411,41.60635
2009,01,16,7,0.1492366,41.36665
2009,01,17,0,0.2322247,59.50502
2009,01,17,1,0.2848383,70.40457
2009,01,17,2,0.2041831,53.24642
2009,01,17,3,0.1490855,41.21365
2009,01,17,4,0.1199233,34.53541
2009,01,17,5,0.1155719,33.35214
2009,01,17,6,0.1459086,40.06218
2009,01,17,7,0.1982407,51.44882
2009,01,18,0,0.2610182,65.1555
2009,01,18,1,0.2532726,64.17814
2009,01,18,2,0.2025526,53.64377
2009,01,18,3,0.1319752,38.05401
2009,01,18,4,0.1130129,33.28823
2009,01,18,5,0.08756747,26.64096
2009,01,18,6,0.08318978,25.67738
2009,01,18,7,0.08266469,25.42871
2009,01,19,0,0.07584731,23.65723
2009,01,19,1,0.07522758,23.60159
2009,01,19,2,0.06403778,20.80576
2009,01,19,3,0.06209394,20.36186
2009,01,19,4,0.06826331,21.92753
2009,01,19,5,0.08427245,25.74961
2009,01,19,6,0.09874994,29.08177
2009,01,19,7,0.0885428,26.82436
2009,01,20,0,0.188176,50.50978
2009,01,20,1,0.2761712,69.20181
2009,01,20,2,0.2160096,56.43652
2009,01,20,3,0.1129179,32.41615
2009,01,20,4,0.1847909,48.64981
2009,01,20,5,0.08656451,26.07273
2009,01,20,6,0.06426847,20.74799
2009,01,20,7,0.05693352,18.86406
2009,01,21,0,0.0603028,19.67118
2009,01,21,1,0.0709603,22.27044
2009,01,21,2,0.07922799,24.15
2009,01,21,3,0.1199955,33.27801
2009,01,21,4,0.2222318,56.02537
2009,01,21,5,0.2301403,57.84207
2009,01,21,6,0.1961802,50.88074
2009,01,21,7,0.151626,41.43202
2009,01,22,0,0.2124584,54.95011
2009,01,22,1,0.2373125,60.1008
2009,01,22,2,0.2703224,67.23308
2009,01,22,3,0.2871114,71.24711
2009,01,22,4,0.2517264,64.45482
2009,01,22,5,0.2463184,63.55612
2009,01,22,6,0.1883119,50.99694
2009,01,22,7,0.1233246,35.74538
2009,01,23,0,0.09562842,28.93286
2009,01,23,1,0.09223407,28.1601
2009,01,23,2,0.113943,33.41068
2009,01,23,3,0.1202512,35.01282
2009,01,23,4,0.1107464,32.91098
2009,01,23,5,0.1036526,31.35346
2009,01,23,6,0.09614057,29.62551
2009,01,23,7,0.09463794,29.31752
2009,01,24,0,0.09602176,29.62633
2009,01,24,1,0.08988348,28.01392
2009,01,24,2,0.07586174,24.39707
2009,01,24,3,0.0682426,22.33151
2009,01,24,4,0.06682348,21.93919
2009,01,24,5,0.06815537,22.13883
2009,01,24,6,0.06426183,21.04637
2009,01,24,7,0.05761515,19.33
2009,01,25,0,0.05235807,17.9673
2009,01,25,1,0.05452671,18.30774
2009,01,25,2,0.0480719,16.69781
2009,01,25,3,0.04956374,16.89615
2009,01,25,4,0.1003798,29.27782
