####################################################################################################
# Month: 02Feb                                                                                     #
# Station: CNI                                                                                     #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
9,02,1,0,0.56166
9,02,1,1,0.551646
9,02,1,2,0.182557
9,02,1,3,0.614575
9,02,1,4,0.424053
9,02,1,5,0.286526
9,02,1,6,0.237185
9,02,1,7,0.333303
9,02,2,0,0.304204
9,02,2,1,0.123557
9,02,2,2,0.036926
9,02,2,3,0.030121
9,02,2,4,0.019509
9,02,2,5,0.018022
9,02,2,6,0.05415
9,02,2,7,0.135131
9,02,3,0,0.128723
9,02,3,1,0.067623
9,02,3,2,0.031198
9,02,3,3,0.048421
9,02,3,4,0.078246
9,02,3,5,0.467044
9,02,3,6,0.954867
9,02,3,7,0.574355
9,02,4,0,0.080535
9,02,4,1,0.077482
9,02,4,2,0.086386
9,02,4,3,0.079792
9,02,4,4,0.061475
9,02,4,5,0.079117
9,02,4,6,0.121395
9,02,4,7,0.189075
9,02,5,0,0.346729
9,02,5,1,0.326099
9,02,5,2,0.421494
9,02,5,3,0.499581
9,02,5,4,0.791719
9,02,5,5,0.814403
9,02,5,6,0.784973
9,02,5,7,0.831748
9,02,6,0,0.546609
9,02,6,1,0.512391
9,02,6,2,0.35105
9,02,6,3,0.278486
9,02,6,4,0.111935
9,02,6,5,0.105981
9,02,6,6,0.077817
9,02,6,7,0.082911
9,02,7,0,0.024474
9,02,7,1,0.024267
9,02,7,2,0.029987
9,02,7,3,0.024368
9,02,7,4,0.006622
9,02,7,5,0.134011
9,02,7,6,0.390227
9,02,7,7,0.291844
9,02,8,0,0.264162
9,02,8,1,0.335615
9,02,8,2,0.331521
9,02,8,3,0.253284
9,02,8,4,0.183961
9,02,8,5,0.152075
9,02,8,6,0.122197
9,02,8,7,0.10828
9,02,9,0,0.116218
9,02,9,1,0.117803
9,02,9,2,0.13886
9,02,9,3,0.153992
9,02,9,4,0.134616
9,02,9,5,0.131209
9,02,9,6,0.119777
9,02,9,7,0.093398
9,02,10,0,0.064179
9,02,10,1,0.04569
9,02,10,2,0.039814
9,02,10,3,0.035321
9,02,10,4,0.035893
9,02,10,5,0.034065
9,02,10,6,0.02914
9,02,10,7,0.019305
9,02,11,0,0.013328
9,02,11,1,0.011942
9,02,11,2,0.020425
9,02,11,3,0.03957
9,02,11,4,0.06685
9,02,11,5,0.087304
9,02,11,6,0.07135
9,02,11,7,0.051065
9,02,12,0,0.048211
9,02,12,1,0.057944
9,02,12,2,0.072727
9,02,12,3,0.080658
9,02,12,4,0.080716
9,02,12,5,0.085711
9,02,12,6,0.085296
9,02,12,7,0.089181
9,02,13,0,0.097673
9,02,13,1,0.095296
9,02,13,2,0.091028
9,02,13,3,0.088618
9,02,13,4,0.086002
9,02,13,5,0.084674
9,02,13,6,0.086244
9,02,13,7,0.083106
9,02,14,0,0.107878
9,02,14,1,0.143816
9,02,14,2,0.181053
9,02,14,3,0.222936
9,02,14,4,0.248867
9,02,14,5,0.252644
9,02,14,6,0.242468
9,02,14,7,0.325615
9,02,15,0,0.575555
9,02,15,1,0.424665
9,02,15,2,0.373701
9,02,15,3,0.345771
9,02,15,4,0.382831
9,02,15,5,0.366402
9,02,15,6,0.404978
9,02,15,7,0.401133
9,02,16,0,0.377256
9,02,16,1,0.360283
9,02,16,2,0.34589
9,02,16,3,0.332022
9,02,16,4,0.358926
9,02,16,5,0.446738
9,02,16,6,0.455063
9,02,16,7,0.425138
9,02,17,0,0.392143
9,02,17,1,0.341665
9,02,17,2,0.266106
9,02,17,3,0.181689
9,02,17,4,0.204069
9,02,17,5,0.235654
9,02,17,6,0.198677
9,02,17,7,0.169288
9,02,18,0,0.156239
9,02,18,1,0.137231
9,02,18,2,0.122515
9,02,18,3,0.113983
9,02,18,4,0.096267
9,02,18,5,0.072433
9,02,18,6,0.071503
9,02,18,7,0.147117
9,02,19,0,0.096157
9,02,19,1,0.078605
9,02,19,2,0.13042
9,02,19,3,0.186693
9,02,19,4,0.226955
9,02,19,5,0.239883
9,02,19,6,0.213522
9,02,19,7,0.186568
9,02,20,0,0.174843
9,02,20,1,0.160977
9,02,20,2,0.115988
9,02,20,3,0.102379
9,02,20,4,0.074179
9,02,20,5,0.079574
9,02,20,6,0.34434
9,02,20,7,0.420346
9,02,21,0,0.381107
9,02,21,1,0.154639
9,02,21,2,0.070327
9,02,21,3,0.139041
9,02,21,4,0.135924
9,02,21,5,0.137481
9,02,21,6,0.118899
9,02,21,7,0.070493
9,02,22,0,0.058291
9,02,22,1,0.052754
9,02,22,2,0.067196
9,02,22,3,0.083205
9,02,22,4,0.122751
9,02,22,5,0.225401
9,02,22,6,0.29135
9,02,22,7,0.333745
9,02,23,0,0.375693
9,02,23,1,0.375969
9,02,23,2,0.309716
9,02,23,3,0.165971
9,02,23,4,0.09604
9,02,23,5,0.075127
9,02,23,6,0.077351
9,02,23,7,0.057963
9,02,24,0,0.03834
9,02,24,1,0.0415
9,02,24,2,0.059506
9,02,24,3,0.078706
9,02,24,4,0.093811
9,02,24,5,0.151888
9,02,24,6,0.247823
9,02,24,7,0.387241
9,02,25,0,0.570215
9,02,25,1,0.76782
9,02,25,2,0.858301
9,02,25,3,0.811121
9,02,25,4,0.712764
9,02,25,5,0.773764
9,02,25,6,0.864422
9,02,25,7,0.801082
9,02,26,0,0.748891
9,02,26,1,0.683541
9,02,26,2,0.663718
9,02,26,3,0.686831
9,02,26,4,0.705686
9,02,26,5,0.76056
9,02,26,6,0.699644
9,02,26,7,0.749429
9,02,27,0,0.6233
9,02,27,1,0.599575
9,02,27,2,0.783834
9,02,27,3,0.860852
9,02,27,4,0.769504
9,02,27,5,0.646945
9,02,27,6,0.621002
9,02,27,7,0.614409
9,02,28,0,0.463416
9,02,28,1,0.286563
9,02,28,2,0.149419
9,02,28,3,0.092834
9,02,28,4,0.077781
9,02,28,5,0.079641
9,02,28,6,0.130997
9,02,28,7,0.15762
10,02,1,0,0.697967
10,02,1,1,0.838172
10,02,1,2,0.775235
10,02,1,3,0.781066
10,02,1,4,0.76716
10,02,1,5,0.926701
10,02,1,6,0.795336
10,02,1,7,0.864767
10,02,2,0,0.764568
10,02,2,1,0.859086
10,02,2,2,0.927334
10,02,2,3,0.905629
10,02,2,4,0.875472
10,02,2,5,0.80988
10,02,2,6,0.742229
10,02,2,7,0.771739
10,02,3,0,0.712977
10,02,3,1,0.647172
10,02,3,2,0.418039
10,02,3,3,0.169865
10,02,3,4,0.08851
10,02,3,5,0.102291
10,02,3,6,0.13566
10,02,3,7,0.160202
10,02,4,0,0.156046
10,02,4,1,0.101505
10,02,4,2,0.055958
10,02,4,3,0.017649
10,02,4,4,0.016095
10,02,4,5,0.014736
10,02,4,6,0.011669
10,02,4,7,0.017446
10,02,5,0,0.030217
10,02,5,1,0.036793
10,02,5,2,0.032325
10,02,5,3,0.035235
10,02,5,4,0.057595
10,02,5,5,0.070874
10,02,5,6,0.052884
10,02,5,7,0.044204
10,02,6,0,0.059975
10,02,6,1,0.089566
10,02,6,2,0.097464
10,02,6,3,0.077469
10,02,6,4,0.030893
10,02,6,5,0.03246
10,02,6,6,0.021511
10,02,6,7,0.012737
10,02,7,0,0.012648
10,02,7,1,0.017511
10,02,7,2,0.03715
10,02,7,3,0.055011
10,02,7,4,0.040093
10,02,7,5,0.042758
10,02,7,6,0.05201
10,02,7,7,0.044695
10,02,8,0,0.047238
10,02,8,1,0.116552
10,02,8,2,0.184982
10,02,8,3,0.249705
10,02,8,4,0.180898
10,02,8,5,0.107805
10,02,8,6,0.18093
10,02,8,7,0.388782
10,02,9,0,0.395942
10,02,9,1,0.164755
10,02,9,2,0.037889
10,02,9,3,0.029288
10,02,9,4,0.204872
10,02,9,5,0.426964
10,02,9,6,0.38165
10,02,9,7,0.344425
10,02,10,0,0.477102
10,02,10,1,0.514432
10,02,10,2,0.33419
10,02,10,3,0.23871
10,02,10,4,0.287026
10,02,10,5,0.357441
10,02,10,6,0.364827
10,02,10,7,0.391456
10,02,11,0,0.406033
10,02,11,1,0.41809
10,02,11,2,0.390237
10,02,11,3,0.384278
10,02,11,4,0.358521
10,02,11,5,0.408112
10,02,11,6,0.425314
10,02,11,7,0.377088
