####################################################################################################
# Month: 08Aug                                                                                     #
# Station: DomeA                                                                                   #
# Frequency: 345 GHz                                                                               #
# Columns are: year    day     segment         tau     Tb (K)                                      #
####################################################################################################
year,day,segment,tau,Tb
2009,1,0,0.06666825,20.57271
2009,1,1,0.06531335,20.26204
2009,1,2,0.06394581,19.96053
2009,1,3,0.06186061,19.52124
2009,1,4,0.06020326,19.16842
2009,1,5,0.06005355,19.12506
2009,1,6,0.05969645,19.06509
2009,1,7,0.05950195,19.03165
2009,2,0,0.05990441,19.12123
2009,2,1,0.06084006,19.32504
2009,2,2,0.06159473,19.49068
2009,2,3,0.06215294,19.61079
2009,2,4,0.06309323,19.79442
2009,2,5,0.06392108,19.95862
2009,2,6,0.06422207,20.02872
2009,2,7,0.06463467,20.12093
2009,3,0,0.06505895,20.2347
2009,3,1,0.06548853,20.35978
2009,3,2,0.06596499,20.46785
2009,3,3,0.06540289,20.34953
2009,3,4,0.0649378,20.23411
2009,3,5,0.06373388,19.95105
2009,3,6,0.06252322,19.67531
2009,3,7,0.06245177,19.64453
2009,4,0,0.06194724,19.52296
2009,4,1,0.06173059,19.46958
2009,4,2,0.06247608,19.64336
2009,4,3,0.06309148,19.78903
2009,4,4,0.0629765,19.7469
2009,4,5,0.06228205,19.57897
2009,4,6,0.06113563,19.30716
2009,4,7,0.05952874,18.95249
2009,5,0,0.05847925,18.69952
2009,5,1,0.05707006,18.36484
2009,5,2,0.05546607,18.02624
2009,5,3,0.05438108,17.81281
2009,5,4,0.05372187,17.66203
2009,5,5,0.0538173,17.67015
2009,5,6,0.05387962,17.68824
2009,5,7,0.05448016,17.82313
2009,6,0,0.0551923,17.96316
2009,6,1,0.05563607,18.04972
2009,6,2,0.05641949,18.22787
2009,6,3,0.05762434,18.50123
2009,6,4,0.05887975,18.78887
2009,6,5,0.06066771,19.19854
2009,6,6,0.06125257,19.33397
2009,6,7,0.06070747,19.21288
2009,7,0,0.06099728,19.29055
2009,7,1,0.06275112,19.69196
2009,7,2,0.06383377,19.94109
2009,7,3,0.06370282,19.92154
2009,7,4,0.06439792,20.08065
2009,7,5,0.064087,20.02037
2009,7,6,0.06438617,20.09102
2009,7,7,0.06453197,20.11948
2009,8,0,0.0634645,19.87891
2009,8,1,0.0625296,19.66907
2009,8,2,0.06209308,19.56621
2009,8,3,0.06137689,19.4033
2009,8,4,0.06073337,19.26023
2009,8,5,0.0602729,19.15586
2009,8,6,0.05966112,19.00973
2009,8,7,0.05891252,18.83263
2009,9,0,0.05747267,18.50017
2009,9,1,0.05585864,18.12764
2009,9,2,0.05527794,17.99168
2009,9,3,0.05396654,17.70157
2009,9,4,0.05302413,17.4869
2009,9,5,0.05203642,17.25987
2009,9,6,0.05103184,17.02935
2009,9,7,0.05020179,16.83769
2009,10,0,0.04976571,16.73508
2009,10,1,0.04951356,16.67547
2009,10,2,0.04923105,16.60711
2009,10,3,0.04872208,16.49189
2009,10,4,0.04789899,16.32423
2009,10,5,0.04717421,16.17632
2009,10,6,0.0466086,16.06266
2009,10,7,0.04823447,16.43114
2009,11,0,0.05022759,16.89583
2009,11,1,0.05161104,17.22559
2009,11,2,0.05232308,17.37854
2009,11,3,0.05274086,17.47118
2009,11,4,0.05311708,17.54772
2009,11,5,0.05348342,17.61029
2009,11,6,0.05355714,17.62048
2009,11,7,0.05346801,17.59891
2009,12,0,0.05361021,17.63922
2009,12,1,0.05422995,17.7796
2009,12,2,0.05592393,18.14902
2009,12,3,0.05892536,18.81694
2009,12,4,0.06079873,19.21866
2009,12,5,0.06184761,19.44715
2009,12,6,0.06505378,20.17617
2009,12,7,0.06886306,21.03982
2009,13,0,0.0704091,21.38579
2009,13,1,0.07128413,21.58587
2009,13,2,0.07691154,22.86282
2009,13,3,0.09046405,25.88618
2009,13,4,0.09913901,27.80641
2009,13,5,0.1022338,28.48521
2009,13,6,0.106596,29.43846
2009,13,7,0.1108671,30.36337
2009,14,0,0.1111904,30.4415
2009,14,1,0.1110941,30.41763
2009,14,2,0.1027114,28.57804
2009,14,3,0.09319189,26.47812
2009,14,4,0.0867189,25.04918
2009,14,5,0.08226604,24.06043
2009,14,6,0.07656435,22.78499
2009,14,7,0.07336962,22.0704
2009,15,0,0.07413684,22.26406
2009,15,1,0.07793865,23.11957
2009,15,2,0.08196758,23.98894
2009,15,3,0.08303829,24.23262
2009,15,4,0.07801566,23.10231
2009,15,5,0.07404464,22.22545
2009,15,6,0.07214906,21.84903
2009,15,7,0.06846685,21.0884
2009,16,0,0.06722355,20.79872
2009,16,1,0.06502778,20.27571
2009,16,2,0.06418479,20.05667
2009,16,3,0.06571943,20.37647
2009,16,4,0.06741599,20.75173
2009,16,5,0.06786409,20.85278
2009,16,6,0.06590049,20.40774
2009,16,7,0.06315645,19.7933
2009,17,0,0.0616487,19.48568
2009,17,1,0.06094739,19.36219
2009,17,2,0.05982434,19.12133
2009,17,3,0.05759449,18.62237
2009,17,4,0.0561924,18.3035
2009,17,5,0.05756024,18.59633
2009,17,6,0.06037342,19.22739
2009,17,7,0.06219786,19.64324
2009,18,0,0.06281753,19.77802
2009,18,1,0.06155793,19.5091
2009,18,2,0.05857007,18.87774
2009,18,3,0.05425474,17.94408
2009,18,4,0.05356452,17.77808
2009,18,5,0.05385156,17.82386
2009,18,6,0.05408502,17.86074
2009,18,7,0.05442251,17.93454
2009,19,0,0.05477467,18.01525
2009,19,1,0.05521526,18.10963
2009,19,2,0.0568792,18.46619
2009,19,3,0.05862084,18.85937
2009,19,4,0.05906882,18.95801
2009,19,5,0.05881984,18.88579
2009,19,6,0.05741548,18.57183
2009,19,7,0.05630271,18.3176
2009,20,0,0.05637608,18.31281
2009,20,1,0.05541479,18.10658
2009,20,2,0.05574199,18.18359
2009,20,3,0.05647259,18.35242
2009,20,4,0.05891876,18.88961
2009,20,5,0.05949766,19.02162
2009,20,6,0.05883557,18.87295
2009,20,7,0.05693127,18.4478
2009,21,0,0.05373968,17.75432
2009,21,1,0.04981846,16.8967
2009,21,2,0.05202125,17.38441
2009,21,3,0.05562659,18.15303
2009,21,4,0.0569223,18.41213
2009,21,5,0.05563387,18.12207
2009,21,6,0.05452654,17.88221
2009,21,7,0.05525516,18.04615
2009,22,0,0.05618838,18.2447
2009,22,1,0.05432538,17.84152
2009,22,2,0.05161706,17.23655
2009,22,3,0.04979949,16.82855
2009,22,4,0.04904368,16.6645
2009,22,5,0.04865103,16.58646
2009,22,6,0.04807445,16.45509
2009,22,7,0.0480931,16.44749
2009,23,0,0.04849029,16.5297
2009,23,1,0.0489236,16.62391
2009,23,2,0.04929548,16.7147
2009,23,3,0.04958677,16.78149
2009,23,4,0.04962199,16.7928
2009,23,5,0.04930951,16.72425
2009,23,6,0.04904979,16.66498
2009,23,7,0.048785,16.60831
2009,24,0,0.04850332,16.54613
2009,24,1,0.04974112,16.82965
2009,24,2,0.05413359,17.84523
2009,24,3,0.05828777,18.80471
2009,24,4,0.06225211,19.66525
2009,24,5,0.06559305,20.37644
2009,24,6,0.06629326,20.51625
2009,24,7,0.06541603,20.30987
2009,25,0,0.06495379,20.19652
2009,25,1,0.06500299,20.19894
2009,25,2,0.06807354,20.90531
2009,25,3,0.07246939,21.89532
