####################################################################################################
# Month: 04Apr                                                                                     #
# Station: DomeC                                                                                   #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,04,1,8.92883325
2009,04,2,11.90922675
2009,04,3,7.37451112
2009,04,4,2.12734225
2009,04,5,3.347138
2009,04,6,4.48281312
2009,04,7,6.256646
2009,04,8,5.2677325
2009,04,9,3.80729675
2009,04,10,6.1727185
2009,04,11,2.05012588
2009,04,12,6.09643725
2009,04,13,15.608241
2009,04,14,9.16196362
2009,04,15,11.8286575
2009,04,16,10.063917
2009,04,17,6.995609
2009,04,18,7.4663705
2009,04,19,5.56773838
2009,04,20,8.86376412
2009,04,21,12.10855225
2009,04,22,5.28718337
2009,04,23,2.31154688
2009,04,24,5.66232738
2009,04,25,6.8999065
2009,04,26,14.7780615
2009,04,27,12.72314688
2009,04,28,11.42942675
2009,04,29,10.83572212
2009,04,30,7.91544212
