####################################################################################################
# Month: 08Aug                                                                                     #
# Station: DomeC                                                                                   #
# Frequency: 345 GHz                                                                               #
# Columns are: year    day     segment         tau     Tb (K)                                      #
####################################################################################################
year,day,segment,tau,Tb
2009,1,0,0.1052485,29.20641
2009,1,1,0.09595338,27.20894
2009,1,2,0.09518208,27.06017
2009,1,3,0.09255179,26.50578
2009,1,4,0.08673981,25.24396
2009,1,5,0.08415917,24.66917
2009,1,6,0.08233879,24.22287
2009,1,7,0.08042259,23.79233
2009,2,0,0.08226406,24.17354
2009,2,1,0.08839533,25.42902
2009,2,2,0.09504893,26.81495
2009,2,3,0.1010037,28.06274
2009,2,4,0.1019891,28.26659
2009,2,5,0.1010803,28.06997
2009,2,6,0.09947549,27.76726
2009,2,7,0.09788518,27.44239
2009,3,0,0.09750217,27.34932
2009,3,1,0.09696027,27.21761
2009,3,2,0.0950319,26.79874
2009,3,3,0.09416342,26.61762
2009,3,4,0.09467501,26.72884
2009,3,5,0.0956469,26.94292
2009,3,6,0.09605874,27.04835
2009,3,7,0.0958201,27.01515
2009,4,0,0.09477886,26.78553
2009,4,1,0.09330691,26.46089
2009,4,2,0.09186221,26.13858
2009,4,3,0.09073142,25.88998
2009,4,4,0.09024547,25.77815
2009,4,5,0.09299618,26.36904
2009,4,6,0.0935311,26.47731
2009,4,7,0.09236822,26.21406
2009,5,0,0.09146252,26.02397
2009,5,1,0.09034177,25.80803
2009,5,2,0.09054428,25.87455
2009,5,3,0.09691154,27.21212
2009,5,4,0.1020762,28.30721
2009,5,5,0.1045386,28.82688
2009,5,6,0.109374,29.88248
2009,5,7,0.1143808,30.97269
2009,6,0,0.1154739,31.18724
2009,6,1,0.1138371,30.83577
2009,6,2,0.1136172,30.78016
2009,6,3,0.1147566,31.02689
2009,6,4,0.127515,33.76098
2009,6,5,0.1266479,33.58111
2009,6,6,0.1222303,32.66595
2009,6,7,0.1235617,33.01207
2009,7,0,0.1215052,32.54456
2009,7,1,0.119022,32.00577
2009,7,2,0.1132608,30.77147
2009,7,3,0.1085143,29.75863
2009,7,4,0.1075315,29.54762
2009,7,5,0.1088066,29.80344
2009,7,6,0.1059079,29.16283
2009,7,7,0.1009857,28.09374
2009,8,0,0.09732297,27.2876
2009,8,1,0.09342132,26.43014
2009,8,2,0.09245089,26.23954
2009,8,3,0.09276461,26.33322
2009,8,4,0.09328518,26.41735
2009,8,5,0.0906133,25.81302
2009,8,6,0.08879757,25.41442
2009,8,7,0.08776496,25.18511
2009,9,0,0.08524469,24.62807
2009,9,1,0.08278292,24.08504
2009,9,2,0.08339048,24.23375
2009,9,3,0.08439633,24.46182
2009,9,4,0.0812421,23.76386
2009,9,5,0.07776492,23.03592
2009,9,6,0.07580964,22.66844
2009,9,7,0.07532361,22.56757
2009,10,0,0.07387746,22.2474
2009,10,1,0.0707805,21.55131
2009,10,2,0.06911232,21.17386
2009,10,3,0.06878805,21.07505
2009,10,4,0.06819414,20.94924
2009,10,5,0.06829257,20.97121
2009,10,6,0.06992453,21.31065
2009,10,7,0.07046545,21.43521
2009,11,0,0.0717145,21.68857
2009,11,1,0.07309671,21.99222
2009,11,2,0.07817258,23.10781
2009,11,3,0.08023997,23.58445
2009,11,4,0.07324771,22.15211
2009,11,5,0.0621931,19.77314
2009,11,6,0.06371631,20.10164
2009,11,7,0.06634134,20.65833
2009,12,0,0.06708654,20.83324
2009,12,1,0.06822299,21.0911
2009,12,2,0.06957541,21.37963
2009,12,3,0.06894021,21.25014
2009,12,4,0.06709673,20.87166
2009,12,5,0.06202091,19.70318
2009,12,6,0.06269235,19.86131
2009,12,7,0.06434188,20.24784
2009,13,0,0.06547814,20.53062
2009,13,1,0.06731358,20.98051
2009,13,2,0.069229,21.42196
2009,13,3,0.07262342,22.19597
2009,13,4,0.07776302,23.39062
2009,13,5,0.08809582,25.66103
2009,13,6,0.09798088,27.81758
2009,13,7,0.101541,28.66908
2009,14,0,0.1130197,31.19345
2009,14,1,0.1396697,36.8534
2009,14,2,0.1647258,42.10933
2009,14,3,0.1802074,45.34808
2009,14,4,0.1848239,46.242
2009,14,5,0.1741533,44.17736
2009,14,6,0.1618525,41.64439
2009,14,7,0.1592787,41.01075
2009,15,0,0.1480029,38.74571
2009,15,1,0.1320688,35.20818
2009,15,2,0.127851,34.21207
2009,15,3,0.1135117,31.18049
2009,15,4,0.09674211,27.61455
2009,15,5,0.09069104,26.27932
2009,15,6,0.08417023,24.80723
2009,15,7,0.08034303,23.92752
2009,16,0,0.07585475,22.93741
2009,16,1,0.07437759,22.60865
2009,16,2,0.07860258,23.51685
2009,16,3,0.08806591,25.52763
2009,16,4,0.09937221,27.92438
2009,16,5,0.1137403,31.02746
2009,16,6,0.1055556,29.31925
2009,16,7,0.1096484,30.16007
2009,17,0,0.1122236,30.70156
2009,17,1,0.1294022,34.40665
2009,17,2,0.129441,34.3926
2009,17,3,0.1273404,33.88043
2009,17,4,0.1173043,31.6836
2009,17,5,0.1060562,29.24529
2009,17,6,0.09870072,27.64155
2009,17,7,0.09358054,26.53054
2009,18,0,0.0872712,25.15461
2009,18,1,0.08347424,24.31332
2009,18,2,0.08247952,24.11079
2009,18,3,0.08164999,23.95024
2009,18,4,0.07933688,23.4975
2009,18,5,0.07980271,23.61768
2009,18,6,0.08634904,25.03036
2009,18,7,0.09214178,26.26629
2009,19,0,0.09275563,26.38726
2009,19,1,0.09898735,27.7062
2009,19,2,0.1007237,28.07264
2009,19,3,0.09979604,27.87466
2009,19,4,0.09801962,27.50067
2009,19,5,0.09679904,27.27891
2009,19,6,0.09449261,26.87355
2009,19,7,0.09730866,27.48215
2009,20,0,0.10344,28.70586
2009,20,1,0.1029801,28.59069
2009,20,2,0.1003173,28.00925
2009,20,3,0.09805277,27.5072
2009,20,4,0.09803992,27.51107
2009,20,5,0.0990149,27.71575
2009,20,6,0.1021771,28.37929
2009,20,7,0.1024537,28.43851
2009,21,0,0.1030915,28.59705
2009,21,1,0.10314,28.62175
2009,21,2,0.1022972,28.42972
2009,21,3,0.1022737,28.42833
2009,21,4,0.1016442,28.27845
2009,21,5,0.09887233,27.67804
2009,21,6,0.09545,26.95601
2009,21,7,0.09269673,26.36206
2009,22,0,0.09018472,25.85724
2009,22,1,0.08926759,25.67817
2009,22,2,0.08584945,24.92384
2009,22,3,0.09009251,25.87771
2009,22,4,0.09198652,26.26686
2009,22,5,0.0946414,26.80851
2009,22,6,0.09738875,27.41002
2009,22,7,0.09907496,27.81342
2009,23,0,0.1006926,28.22141
2009,23,1,0.1002151,28.13745
2009,23,2,0.08938131,25.82996
2009,23,3,0.07514638,22.79444
2009,23,4,0.07173331,22.02767
2009,23,5,0.06939926,21.49537
2009,23,6,0.06674944,20.89953
2009,23,7,0.06373228,20.22076
2009,24,0,0.06432195,20.33802
2009,24,1,0.06423309,20.33518
2009,24,2,0.06179305,19.82613
2009,24,3,0.06009389,19.4661
2009,24,4,0.06402631,20.31103
2009,24,5,0.07184676,22.01012
2009,24,6,0.08206693,24.23296
2009,24,7,0.09674065,27.38436
2009,25,0,0.1198016,32.23421
2009,25,1,0.1333867,35.06472
2009,25,2,0.1420636,36.92072
2009,25,3,0.1468427,37.9624
2009,25,4,0.146609,37.98779
2009,25,5,0.1431461,37.30326
2009,25,6,0.1226899,33.01129
2009,25,7,0.1177178,32.04183
2009,26,0,0.1147577,31.43632
2009,26,1,0.1138868,31.22461
2009,26,2,0.1124019,30.86961
2009,26,3,0.1161516,31.62783
2009,26,4,0.1238236,33.24912
2009,26,5,0.1219787,32.89401
2009,26,6,0.1185203,32.15451
2009,26,7,0.1155049,31.50232
2009,27,0,0.1150498,31.36836
2009,27,1,0.1141488,31.14493
2009,27,2,0.1300077,34.61042
2009,27,3,0.1316115,34.93759
2009,27,4,0.1342494,35.4006
2009,27,5,0.1321435,34.87543
2009,27,6,0.1265024,33.62775
2009,27,7,0.1226015,32.80284
2009,28,0,0.1243425,33.18239
2009,28,1,0.125618,33.45772
2009,28,2,0.1218288,32.67755
2009,28,3,0.119629,32.20675
2009,28,4,0.116127,31.42862
2009,28,5,0.1114857,30.41396
2009,28,6,0.1046125,28.92992
2009,28,7,0.09805261,27.53716
2009,29,0,0.09221581,26.29025
2009,29,1,0.08703279,25.16916
2009,29,2,0.08354106,24.44324
2009,29,3,0.08137228,24.02104
2009,29,4,0.08112949,23.96831
2009,29,5,0.08182993,24.0944
2009,29,6,0.08239069,24.19228
2009,29,7,0.0818399,24.06243
2009,30,0,0.08128002,23.93102
2009,30,1,0.08115364,23.88575
2009,30,2,0.07830664,23.29902
2009,30,3,0.0724933,22.07636
2009,30,4,0.07768729,23.21922
2009,30,5,0.08379073,24.53572
2009,30,6,0.0789302,23.42605
2009,30,7,0.08102439,23.83964
2009,31,0,0.07973245,23.57991
2009,31,1,0.08558443,24.81167
2009,31,2,0.08587936,24.90401
2009,31,3,0.08714711,25.21216
2009,31,4,0.08761645,25.27777
2009,31,5,0.08572704,24.84262
2009,31,6,0.08214615,24.10028
2009,31,7,0.07759731,23.14572
2010,1,0,0.06293158,19.77481
2010,1,1,0.06322145,19.85624
2010,1,2,0.06355474,19.92654
2010,1,3,0.06392561,20.0164
2010,1,4,0.0647995,20.20626
2010,1,5,0.06626866,20.52321
2010,1,6,0.06706862,20.70268
2010,1,7,0.0659793,20.49455
2010,2,0,0.06608089,20.54335
2010,2,1,0.06923013,21.24613
2010,2,2,0.07298173,22.07316
2010,2,3,0.07770637,23.11948
2010,2,4,0.08406642,24.46338
2010,2,5,0.08459365,24.56558
2010,2,6,0.08765822,25.29763
2010,2,7,0.09994714,27.96808
2010,3,0,0.09955694,27.87708
2010,3,1,0.09549897,27.02103
2010,3,2,0.09110638,26.02783
2010,3,3,0.08424667,24.49687
2010,3,4,0.07794203,23.13176
2010,3,5,0.07469734,22.44357
2010,3,6,0.07192764,21.84511
2010,3,7,0.07026155,21.47147
2010,4,0,0.06972444,21.36826
2010,4,1,0.06848253,21.15723
2010,4,2,0.07409119,22.38112
2010,4,3,0.07510926,22.54499
2010,4,4,0.07751337,23.05652
2010,4,5,0.08022921,23.65393
2010,4,6,0.08445609,24.54685
2010,4,7,0.08776846,25.26374
2010,5,0,0.09216728,26.24501
2010,5,1,0.09735278,27.37114
2010,5,2,0.0996635,27.85556
2010,5,3,0.1006279,28.05595
2010,5,4,0.1003922,28.00265
2010,5,5,0.09609552,27.03293
2010,5,6,0.08993244,25.66156
2010,5,7,0.08543391,24.6765
2010,6,0,0.08348957,24.24848
2010,6,1,0.08125249,23.7542
2010,6,2,0.08152827,23.83247
2010,6,3,0.08302259,24.18445
2010,6,4,0.08504988,24.63712
2010,6,5,0.08560627,24.78356
2010,6,6,0.08385735,24.45074
2010,6,7,0.08183225,24.04982
2010,7,0,0.08954059,25.69294
2010,7,1,0.09385939,26.60826
2010,7,2,0.09548789,26.93487
2010,7,3,0.09508759,26.85198
2010,7,4,0.0895782,25.66758
2010,7,5,0.07968541,23.52024
2010,7,6,0.08511465,24.6946
2010,7,7,0.0953885,26.90677
2010,8,0,0.09415233,26.59902
2010,8,1,0.09054098,25.80959
2010,8,2,0.08914243,25.50875
