####################################################################################################
# Month: 04Apr                                                                                     #
# Station: FUJI                                                                                    #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,04,1,0,0.2392421,58.5711
2009,04,1,1,0.2019495,51.30603
2009,04,1,2,0.09111913,28.04986
2009,04,1,3,0.110804,32.78321
2009,04,1,4,0.07618506,24.60779
2009,04,1,5,0.1179943,33.88487
2009,04,1,6,0.2028472,51.09195
2009,04,1,7,0.3278273,74.10422
2009,04,2,0,0.2775736,65.12892
2009,04,2,1,0.1904982,48.71688
2009,04,2,2,0.0637858,21.63735
2009,04,2,3,0.08213329,25.92126
2009,04,2,4,0.07675526,24.89404
2009,04,2,5,0.0538654,19.2566
2009,04,2,6,0.06514276,21.73768
2009,04,2,7,0.09078024,27.43548
2009,04,3,0,0.1338089,36.71366
2009,04,3,1,0.1912598,48.59654
2009,04,3,2,0.2386557,58.1838
2009,04,3,3,0.2522832,61.32189
2009,04,3,4,0.2680701,65.00103
2009,04,3,5,0.3372136,78.03834
2009,04,3,6,0.3676257,83.35063
2009,04,3,7,0.3157413,74.73266
2009,04,4,0,0.3158872,74.26404
2009,04,4,1,0.4408811,94.79339
2009,04,4,2,0.5518923,113.2144
2009,04,4,3,0.8453646,150.4559
2009,04,4,4,0.8794751,154.0392
2009,04,4,5,0.8683846,152.8111
2009,04,4,6,0.4741235,100.2232
2009,04,4,7,0.547943,111.425
2009,04,5,0,0.7077149,132.767
2009,04,5,1,0.8684948,151.2822
2009,04,5,2,0.7225953,134.648
2009,04,5,3,0.3604501,80.68417
2009,04,5,4,0.1812234,47.29892
2009,04,5,5,0.1739415,45.62854
2009,04,5,6,0.1490442,40.67446
2009,04,5,7,0.1378828,38.24617
2009,04,6,0,0.09039912,27.58576
2009,04,6,1,0.06520149,21.77947
2009,04,6,2,0.07294169,23.54799
2009,04,6,3,0.06193266,21.17209
2009,04,6,4,0.05989813,20.72842
2009,04,6,5,0.05894441,20.50162
2009,04,6,6,0.06008781,20.82047
2009,04,6,7,0.05840436,20.35591
2009,04,7,0,0.07066322,23.16614
2009,04,7,1,0.1000662,29.8984
2009,04,7,2,0.1046754,31.11942
2009,04,7,3,0.08231512,26.13929
2009,04,7,4,0.08068288,25.72038
2009,04,7,5,0.1037318,31.12248
2009,04,7,6,0.1278762,36.37442
2009,04,7,7,0.1535838,41.61176
