####################################################################################################
# Month: 04Apr                                                                                     #
# Station: GLTS                                                                                    #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
9,04,1,0,0.670657
9,04,1,1,0.667314
9,04,1,2,0.731547
9,04,1,3,0.689057
9,04,1,4,0.590704
9,04,1,5,0.530659
9,04,1,6,0.481802
9,04,1,7,0.449864
9,04,2,0,0.455762
9,04,2,1,0.46318
9,04,2,2,0.438999
9,04,2,3,0.404676
9,04,2,4,0.323129
9,04,2,5,0.233355
9,04,2,6,0.196774
9,04,2,7,-0.159288
9,04,3,0,0.172828
9,04,3,1,0.155415
9,04,3,2,0.145871
9,04,3,3,0.150942
9,04,3,4,0.166784
9,04,3,5,0.375202
9,04,3,6,0.523742
9,04,3,7,0.523073
9,04,4,0,0.552894
9,04,4,1,0.523688
9,04,4,2,0.508027
9,04,4,3,0.552281
9,04,4,4,0.512826
9,04,4,5,0.491029
9,04,4,6,0.480381
9,04,4,7,0.379038
9,04,5,0,0.27355
9,04,5,1,0.249416
9,04,5,2,0.255424
9,04,5,3,0.269714
9,04,5,4,0.274075
9,04,5,5,0.277166
9,04,5,6,0.257963
9,04,5,7,0.2368
9,04,6,0,0.175604
9,04,6,1,0.151986
9,04,6,2,0.185278
9,04,6,3,0.214989
9,04,6,4,0.209744
9,04,6,5,0.226723
9,04,6,6,0.228468
9,04,6,7,0.222147
9,04,7,0,0.24721
9,04,7,1,0.285963
9,04,7,2,0.341062
9,04,7,3,0.39471
9,04,7,4,0.454936
9,04,7,5,0.499333
9,04,7,6,0.453619
9,04,7,7,0.415082
9,04,8,0,0.421566
9,04,8,1,0.394466
9,04,8,2,0.423396
9,04,8,3,0.639408
9,04,8,4,0.800421
9,04,8,5,0.855681
9,04,8,6,0.922584
9,04,8,7,0.966201
9,04,9,0,0.979589
9,04,9,1,0.978831
9,04,9,2,0.994283
9,04,9,3,0.995733
9,04,9,4,0.984666
9,04,9,5,0.951655
9,04,9,6,0.888231
9,04,9,7,0.753689
9,04,10,0,0.477664
9,04,10,1,0.264067
9,04,10,2,0.224753
9,04,10,3,0.258442
9,04,10,4,0.2806
9,04,10,5,0.254924
9,04,10,6,0.243791
9,04,10,7,0.479611
9,04,11,0,0.840116
9,04,11,1,0.938355
9,04,11,2,0.983639
9,04,11,3,0.978464
9,04,11,4,0.975976
9,04,11,5,0.937147
9,04,11,6,0.795807
9,04,11,7,0.716533
9,04,12,0,0.587823
9,04,12,1,0.415608
9,04,12,2,0.307557
9,04,12,3,0.287641
9,04,12,4,0.243614
9,04,12,5,0.192596
9,04,12,6,0.198156
9,04,12,7,0.444167
9,04,13,0,0.896978
9,04,13,1,0.984278
9,04,13,2,0.996254
9,04,13,3,0.99708
9,04,13,4,0.991743
9,04,13,5,0.9921
9,04,13,6,0.99763
9,04,13,7,1.001649
9,04,14,0,1.000267
9,04,14,1,0.99657
9,04,14,2,0.998916
9,04,14,3,0.99856
9,04,14,4,0.994732
9,04,14,5,0.991536
9,04,14,6,0.994888
9,04,14,7,0.99259
9,04,15,0,0.993762
9,04,15,1,0.990483
9,04,15,2,1.043438
9,04,15,3,1.099947
9,04,15,4,1.039246
9,04,15,5,1.085762
9,04,15,6,1.067373
9,04,15,7,0.989065
9,04,16,0,0.99109
9,04,16,1,0.993754
9,04,16,2,0.995321
9,04,16,3,0.99128
9,04,16,4,0.99737
9,04,16,5,0.987595
9,04,16,6,0.981044
9,04,16,7,0.941993
9,04,17,0,0.777451
9,04,17,1,0.430654
9,04,17,2,0.290661
9,04,17,3,0.268529
9,04,17,4,0.428417
9,04,17,5,0.600197
9,04,17,6,0.646648
9,04,17,7,0.261869
9,04,18,0,0.213588
9,04,18,1,0.232891
9,04,18,2,0.232866
9,04,18,3,0.220445
9,04,18,4,0.311946
9,04,18,5,0.835028
9,04,18,6,0.987679
9,04,18,7,0.986863
9,04,19,0,0.992182
9,04,19,1,0.994419
9,04,19,2,0.988107
9,04,19,3,0.986607
9,04,19,4,0.984128
9,04,19,5,0.984631
9,04,19,6,0.980253
9,04,19,7,0.975119
9,04,20,0,0.974425
9,04,20,1,0.969202
9,04,20,2,0.943471
9,04,20,3,0.893646
9,04,20,4,0.901422
9,04,20,5,0.922099
9,04,20,6,0.974263
9,04,20,7,0.983065
9,04,21,0,0.971091
9,04,21,1,0.966799
9,04,21,2,0.965542
9,04,21,3,0.953561
9,04,21,4,0.913778
9,04,21,5,0.887784
9,04,21,6,0.895697
9,04,21,7,0.914291
9,04,22,0,0.956298
9,04,22,1,0.967166
9,04,22,2,0.9718
9,04,22,3,0.979728
9,04,22,4,0.98474
9,04,22,5,0.977563
9,04,22,6,0.977529
9,04,22,7,0.981357
9,04,23,0,0.986245
9,04,23,1,0.9868
9,04,23,2,0.98499
9,04,23,3,0.988361
9,04,23,4,0.981707
9,04,23,5,0.967245
9,04,23,6,0.949241
9,04,23,7,0.945107
9,04,24,0,0.922208
9,04,24,1,0.754277
9,04,24,2,0.490703
9,04,24,3,0.372117
9,04,24,4,0.326079
9,04,24,5,0.37308
9,04,24,6,0.478769
9,04,24,7,0.523835
9,04,25,0,0.50729
9,04,25,1,0.513891
9,04,25,2,0.635836
9,04,25,3,0.890949
9,04,25,4,0.963112
9,04,25,5,0.985861
9,04,25,6,0.975219
9,04,25,7,0.98713
9,04,26,0,0.995518
9,04,26,1,1.013123
9,04,26,2,1.000092
9,04,26,3,1.001844
9,04,26,4,1.010979
9,04,26,5,0.979287
9,04,26,6,0.989493
9,04,26,7,0.973078
9,04,27,0,0.952625
9,04,27,1,0.910453
9,04,27,2,0.859727
9,04,27,3,0.79695
9,04,27,4,0.800694
9,04,27,5,0.735056
9,04,27,6,0.628087
9,04,27,7,0.816108
9,04,28,0,0.975732
9,04,28,1,0.974971
9,04,28,2,0.921925
9,04,28,3,0.911569
9,04,28,4,0.903067
9,04,28,5,0.956593
9,04,28,6,0.948454
9,04,28,7,0.890461
9,04,29,0,0.9796
9,04,29,1,1.008649
9,04,29,2,0.870697
9,04,29,3,0.778544
9,04,29,4,0.944828
9,04,29,5,0.95467
9,04,29,6,0.942978
9,04,29,7,0.963204
9,04,30,0,0.974033
9,04,30,1,0.979035
9,04,30,2,0.981981
9,04,30,3,0.966061
9,04,30,4,0.956006
9,04,30,5,0.953573
9,04,30,6,0.946365
9,04,30,7,0.953673
10,04,1,0,0.533376
