####################################################################################################
# Month: 05May                                                                                     #
# Station: HAY                                                                                     #
# Columns are: year    day     RH (percent)                                                        #
####################################################################################################
year,day,RH
9,1,0.8432145
9,2,0.74877038
9,3,0.5000375
9,4,0.61925438
9,5,0.82825262
9,6,0.9432485
9,7,0.912332
9,8,0.76103425
9,9,0.763619
9,10,0.77326875
9,11,0.71140712
9,12,0.63341162
9,13,0.52105038
9,14,0.55506462
9,15,0.80373638
9,16,0.5398105
9,17,0.78023312
9,18,0.64506662
9,19,0.47977563
9,20,0.36278512
9,21,0.26908412
9,22,0.36628175
9,23,0.66043988
9,24,0.81555362
9,25,0.50532125
9,26,0.48966125
9,27,0.77680225
9,28,0.99605688
9,29,0.9735175
9,30,0.78384975
9,31,0.4925475
