####################################################################################################
# Month: 01Jan                                                                                     #
# Station: HES                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,01,1,0,0.5459732,120.5134
2009,01,1,1,0.5315507,118.1814
2009,01,1,2,0.5230368,116.4927
2009,01,1,3,0.5147562,115.2599
2009,01,1,4,0.4506413,104.7313
2009,01,1,5,0.4017443,96.20043
2009,01,1,6,0.3865824,93.33603
2009,01,1,7,0.4076461,97.08333
2009,01,2,0,0.3898194,93.22734
2009,01,2,1,0.3923799,93.17814
2009,01,2,2,0.441126,101.9061
2009,01,2,3,0.5727044,124.2662
2009,01,2,4,0.6683506,138.669
2009,01,2,5,0.6327497,133.9837
2009,01,2,6,0.591532,127.7896
2009,01,2,7,0.6065046,130.2414
2009,01,3,0,0.5516309,121.6356
2009,01,3,1,0.4548445,105.1874
2009,01,3,2,0.4427233,102.821
2009,01,3,3,0.5320438,118.7114
2009,01,3,4,0.5686223,125.1597
2009,01,3,5,0.5819303,127.7073
2009,01,3,6,0.4269058,101.29
2009,01,3,7,0.4393765,103.7804
2009,01,4,0,0.4647151,108.1698
2009,01,4,1,0.437939,102.8882
2009,01,4,2,0.4510223,105.0458
2009,01,4,3,0.4801559,110.5723
2009,01,4,4,0.4961919,113.7281
2009,01,4,5,0.4401166,103.8863
2009,01,4,6,0.3579053,88.52912
2009,01,4,7,0.3637987,89.57412
2009,01,5,0,0.3713081,90.32804
2009,01,5,1,0.3799,91.42323
2009,01,5,2,0.3797583,91.08662
2009,01,5,3,0.3687361,89.08793
2009,01,5,4,0.3592754,87.92533
2009,01,5,5,0.3633737,89.09064
2009,01,5,6,0.3341074,83.37695
2009,01,5,7,0.3316949,83.07353
2009,01,6,0,0.3673738,89.32045
2009,01,6,1,0.4505286,103.5824
2009,01,6,2,0.5736219,123.7418
2009,01,6,3,0.7874136,155.6718
2009,01,6,4,1.02627,183.0343
2009,01,6,5,0.913707,170.0972
2009,01,6,6,0.6548016,136.1935
2009,01,6,7,0.6609851,136.1361
2009,01,7,0,0.8087533,154.9383
2009,01,7,1,0.9672377,173.2232
2009,01,7,2,0.9124437,167.8566
2009,01,7,3,0.871445,163.8306
2009,01,7,4,0.9623174,175.3948
2009,01,7,5,1.011861,180.0015
2009,01,7,6,1.030672,181.396
2009,01,7,7,0.9737412,175.3615
2009,01,8,0,1.017102,179.1797
2009,01,8,1,1.110033,187.6955
2009,01,8,2,1.005066,177.5402
2009,01,8,3,1.205109,197.0018
2009,01,8,4,1.289465,204.5583
2009,01,8,5,1.158591,194.1424
2009,01,8,6,0.9813928,176.8428
2009,01,8,7,1.005848,179.1259
2009,01,9,0,1.001569,178.7881
2009,01,9,1,0.943301,172.61
2009,01,9,2,0.8931514,167.2596
2009,01,9,3,0.9253802,171.4984
2009,01,9,4,0.9486864,174.6982
2009,01,9,5,1.010259,181.4614
2009,01,9,6,1.002465,180.2337
2009,01,9,7,0.9514443,174.4875
2009,01,10,0,0.9599827,174.3351
2009,01,10,1,0.7686265,151.4115
2009,01,10,2,0.6371728,133.931
2009,01,10,3,0.7135907,146.1907
2009,01,10,4,0.7548753,152.6218
2009,01,10,5,0.8224064,160.9856
2009,01,10,6,0.8695772,165.8616
2009,01,10,7,0.7218234,147.2153
