####################################################################################################
# Month: 03Mar                                                                                     #
# Station: HES                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    day     segment         tau     Tb (K)                                      #
####################################################################################################
year,day,segment,tau,Tb
2009,1,0,1.566553,223.5233
2009,1,1,1.467918,217.508
2009,1,2,1.323824,207.5444
2009,1,3,1.409217,212.8751
2009,1,4,1.649617,227.2346
2009,1,5,2.025312,243.936
2009,1,6,1.965014,241.7767
2009,1,7,1.588462,224.1687
2009,2,0,1.615959,224.6914
2009,2,1,1.401533,212.0605
2009,2,2,1.502938,219.0571
2009,2,3,1.707517,230.3335
2009,2,4,1.923034,240.0495
2009,2,5,1.883134,238.2834
2009,2,6,1.853045,237.1411
2009,2,7,1.970343,242.2293
2009,3,0,2.289355,252.8199
2009,3,1,2.211375,250.5573
2009,3,2,2.09956,246.8606
2009,3,3,2.131686,248.0508
2009,3,4,2.244497,251.7432
2009,3,5,2.278577,252.8706
2009,3,6,2.329064,254.4196
2009,3,7,2.188046,249.8553
2009,4,0,2.070075,246.1311
2009,4,1,1.659259,228.0225
2009,4,2,1.499582,219.5314
2009,4,3,1.887102,239.4635
2009,4,4,2.06494,246.3184
2009,4,5,2.140147,248.8782
2009,4,6,2.023851,244.5342
2009,4,7,1.892539,238.3209
2009,5,0,1.693719,228.2643
2009,5,1,1.366985,208.493
2009,5,2,1.297981,203.7533
2009,5,3,1.328158,206.766
2009,5,4,1.337149,208.0767
2009,5,5,1.566147,222.6379
2009,5,6,1.521999,219.736
2009,5,7,1.474547,216.6748
2009,6,0,1.401882,211.3823
2009,6,1,1.262805,201.151
2009,6,2,1.197159,195.4813
2009,6,3,1.184703,194.7757
2009,6,4,1.20544,196.8313
2009,6,5,1.48445,216.663
2009,6,6,1.336213,206.8751
2009,6,7,1.248073,200.5219
2009,7,0,1.21843,198.1727
2009,7,1,1.138628,191.1231
2009,7,2,0.988742,176.6806
2009,7,3,0.9010967,167.5163
2009,7,4,0.8981288,167.3426
2009,7,5,0.9693517,175.0872
2009,7,6,0.9030439,167.9697
2009,7,7,0.7950565,155.4168
2009,8,0,0.812379,157.4872
2009,8,1,0.8489567,161.5433
2009,8,2,0.7659668,151.3176
