####################################################################################################
# Month: 05May                                                                                     #
# Station: HES                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,05,1,0,0.7068046,142.9211
2009,05,1,1,0.7135543,143.7195
2009,05,1,2,0.7209916,144.6342
2009,05,1,3,0.8073812,155.4236
2009,05,1,4,0.7652918,150.7675
2009,05,1,5,0.7333127,146.4046
2009,05,1,6,0.7535902,147.2016
2009,05,1,7,0.6328474,131.3975
2009,05,2,0,0.5828685,123.3314
2009,05,2,1,0.5099612,111.0058
2009,05,2,2,0.5056796,109.9543
2009,05,2,3,0.5662797,119.7831
2009,05,2,4,0.5535944,118.4616
2009,05,2,5,0.5687962,120.4104
2009,05,2,6,0.5918944,124.0963
2009,05,2,7,0.570342,120.9248
2009,05,3,0,0.43238,98.43759
2009,05,3,1,0.4742961,105.6765
2009,05,3,2,0.4640396,103.7276
2009,05,3,3,0.4961939,109.8076
2009,05,3,4,0.508618,113.0447
2009,05,3,5,0.5213974,115.7044
2009,05,3,6,0.4929107,111.0878
2009,05,3,7,0.4806196,109.4466
2009,05,4,0,0.5100591,114.1829
2009,05,4,1,0.4961768,111.5968
2009,05,4,2,0.4985908,111.5922
2009,05,4,3,0.4835768,108.9226
2009,05,4,4,0.4963018,110.6296
2009,05,4,5,0.514859,113.6879
2009,05,4,6,0.5268771,115.6248
2009,05,4,7,0.5431217,118.1145
2009,05,5,0,0.5097679,112.6394
2009,05,5,1,0.4657363,105.9782
2009,05,5,2,0.4710507,107.1668
2009,05,5,3,0.490899,110.6108
2009,05,5,4,0.4805716,108.9152
2009,05,5,5,0.4460177,102.9913
2009,05,5,6,0.4275404,99.43718
2009,05,5,7,0.4099543,96.17522
2009,05,6,0,0.3879856,92.00688
2009,05,6,1,0.3840265,91.2617
2009,05,6,2,0.4253708,98.62907
2009,05,6,3,0.4966834,111.1337
2009,05,6,4,0.5787257,124.4257
2009,05,6,5,0.5646025,122.3984
2009,05,6,6,0.461143,105.2362
2009,05,6,7,0.4477592,102.6804
2009,05,7,0,0.4066795,96.07988
2009,05,7,1,0.3768832,90.84284
2009,05,7,2,0.3514795,85.99823
2009,05,7,3,0.3006581,76.11388
2009,05,7,4,0.2619438,68.06086
2009,05,7,5,0.2550945,66.57131
2009,05,7,6,0.2594646,67.62987
2009,05,7,7,0.2506309,65.82668
2009,05,8,0,0.2513779,65.93243
2009,05,8,1,0.247451,65.09544
2009,05,8,2,0.2670865,69.27353
2009,05,8,3,0.2827324,72.58378
2009,05,8,4,0.3159093,79.21737
2009,05,8,5,0.3494407,85.59684
2009,05,8,6,0.3675088,88.94578
2009,05,8,7,0.7282086,147.702
2009,05,9,0,0.9894726,178.6461
2009,05,9,1,0.4105013,97.1711
2009,05,9,2,0.4328012,101.1703
2009,05,9,3,0.4672078,107.2143
2009,05,9,4,0.5056529,113.6333
2009,05,9,5,0.5121727,114.7477
2009,05,9,6,0.4978674,112.252
2009,05,9,7,0.4694288,107.5438
2009,05,10,0,0.4369161,101.8954
2009,05,10,1,0.3903189,93.21056
2009,05,10,2,0.3799122,90.64461
2009,05,10,3,0.5015871,112.1103
2009,05,10,4,0.6478193,134.7173
2009,05,10,5,0.7097164,143.3004
2009,05,10,6,0.9102552,168.6759
2009,05,10,7,0.6202444,130.9625
2009,05,11,0,0.5941898,127.3218
2009,05,11,1,0.5591961,122.0735
2009,05,11,2,0.512329,114.5073
2009,05,11,3,0.5696743,123.7451
2009,05,11,4,0.578824,125.1943
2009,05,11,5,0.5462402,119.7663
2009,05,11,6,0.3932043,93.56772
2009,05,11,7,0.3507366,85.4986
2009,05,12,0,0.3827224,91.31068
2009,05,12,1,0.4528339,103.8614
2009,05,12,2,0.4774244,108.0753
2009,05,12,3,0.5777491,124.4006
2009,05,12,4,0.613928,129.6595
2009,05,12,5,0.6044709,128.1372
2009,05,12,6,0.5994841,127.2605
2009,05,12,7,0.7904942,152.8193
2009,05,13,0,0.9123893,167.5385
2009,05,13,1,0.9015568,166.4636
2009,05,13,2,0.8746515,163.2902
2009,05,13,3,0.8199819,156.6827
2009,05,13,4,0.9763056,173.7094
2009,05,13,5,1.162009,191.1958
2009,05,13,6,0.9866642,175.1617
2009,05,13,7,0.9452185,171.0285
2009,05,14,0,0.9707716,173.6517
2009,05,14,1,1.124525,187.8987
2009,05,14,2,1.114489,187.0587
2009,05,14,3,1.233454,196.1693
2009,05,14,4,1.120668,186.7669
2009,05,14,5,0.9503832,171.2266
