####################################################################################################
# Month: 04Apr                                                                                     #
# Station: IRAM                                                                                    #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
9,04,1,0,0.484994
9,04,1,1,0.579571
9,04,1,2,0.584997
9,04,1,3,0.62683
9,04,1,4,0.604368
9,04,1,5,0.602887
9,04,1,6,0.636029
9,04,1,7,0.659269
9,04,2,0,0.776517
9,04,2,1,0.776761
9,04,2,2,0.701026
9,04,2,3,0.648163
9,04,2,4,0.645656
9,04,2,5,0.681579
9,04,2,6,0.777616
9,04,2,7,0.778915
9,04,3,0,0.737916
9,04,3,1,0.677781
9,04,3,2,0.658792
9,04,3,3,0.687343
9,04,3,4,0.711727
9,04,3,5,0.712945
9,04,3,6,0.546289
9,04,3,7,0.380588
9,04,4,0,0.287234
9,04,4,1,0.236138
9,04,4,2,0.17131
9,04,4,3,0.348113
9,04,4,4,0.510619
9,04,4,5,0.561562
9,04,4,6,0.504838
9,04,4,7,0.392977
9,04,5,0,0.523486
9,04,5,1,0.743092
9,04,5,2,0.796164
9,04,5,3,0.690828
9,04,5,4,0.680815
9,04,5,5,0.612547
9,04,5,6,0.503383
9,04,5,7,0.525979
9,04,6,0,0.687326
9,04,6,1,0.682675
9,04,6,2,0.645891
9,04,6,3,0.658463
9,04,6,4,0.666734
9,04,6,5,0.446967
9,04,6,6,0.457421
9,04,6,7,0.645515
9,04,7,0,0.606357
9,04,7,1,0.443382
9,04,7,2,0.505838
9,04,7,3,0.172833
9,04,7,4,0.135619
9,04,7,5,0.202434
9,04,7,6,0.440293
9,04,7,7,0.439806
9,04,8,0,0.169851
9,04,8,1,0.06009
9,04,8,2,0.068633
9,04,8,3,0.124078
9,04,8,4,0.335961
9,04,8,5,0.456666
9,04,8,6,0.533191
9,04,8,7,0.568026
9,04,9,0,0.536139
9,04,9,1,0.439494
9,04,9,2,0.357988
9,04,9,3,0.325671
9,04,9,4,0.363595
9,04,9,5,0.443329
9,04,9,6,0.430623
9,04,9,7,0.352183
9,04,10,0,0.389491
9,04,10,1,0.446963
9,04,10,2,0.422048
9,04,10,3,0.374088
9,04,10,4,0.51879
9,04,10,5,0.351413
9,04,10,6,0.349999
9,04,10,7,0.228887
9,04,11,0,0.302079
9,04,11,1,0.412978
9,04,11,2,0.430217
9,04,11,3,0.449902
9,04,11,4,0.629248
9,04,11,5,0.623221
9,04,11,6,0.442858
9,04,11,7,0.351394
9,04,12,0,0.462668
9,04,12,1,0.433101
9,04,12,2,0.324418
9,04,12,3,0.240521
9,04,12,4,0.266666
9,04,12,5,0.429225
9,04,12,6,0.533971
9,04,12,7,0.549853
9,04,13,0,0.549594
9,04,13,1,0.325246
9,04,13,2,0.297844
9,04,13,3,0.392679
9,04,13,4,0.411404
