####################################################################################################
# Month: 03Mar                                                                                     #
# Station: JELM                                                                                    #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,03,1,0,13.1526
2009,03,1,1,12.161328
2009,03,1,2,10.235329
2009,03,1,3,11.184079
2009,03,1,4,13.039156
2009,03,1,5,14.690122
2009,03,1,6,16.437986
2009,03,1,7,17.303055
2009,03,2,0,18.034109
2009,03,2,1,18.496982
2009,03,2,2,18.732706
2009,03,2,3,21.442198
2009,03,2,4,22.819619
2009,03,2,5,20.06753
2009,03,2,6,17.925337
2009,03,2,7,16.963384
2009,03,3,0,17.50102
2009,03,3,1,18.39205
2009,03,3,2,22.963331
2009,03,3,3,24.977265
2009,03,3,4,24.067435
2009,03,3,5,22.170663
2009,03,3,6,19.29552
2009,03,3,7,18.104665
2009,03,4,0,17.937848
2009,03,4,1,19.082881
2009,03,4,2,21.921702
2009,03,4,3,24.29956
2009,03,4,4,23.363723
2009,03,4,5,22.191163
2009,03,4,6,20.748311
2009,03,4,7,20.273455
2009,03,5,0,20.971914
2009,03,5,1,22.47082
2009,03,5,2,20.107276
2009,03,5,3,20.419963
2009,03,5,4,23.170005
2009,03,5,5,22.930413
2009,03,5,6,17.654541
2009,03,5,7,18.146672
2009,03,6,0,20.139912
2009,03,6,1,16.872024
2009,03,6,2,15.987965
2009,03,6,3,15.294147
2009,03,6,4,14.006969
2009,03,6,5,14.239184
2009,03,6,6,12.731664
2009,03,6,7,11.317373
2009,03,7,0,10.497559
2009,03,7,1,8.313065
2009,03,7,2,7.029282
2009,03,7,3,7.377382
2009,03,7,4,6.628462
2009,03,7,5,6.422906
2009,03,7,6,5.232414
2009,03,7,7,7.646537
2009,03,8,0,12.521883
2009,03,8,1,17.751599
2009,03,8,2,21.601911
2009,03,8,3,23.749605
2009,03,8,4,23.361432
2009,03,8,5,21.294069
2009,03,8,6,20.401079
2009,03,8,7,17.158996
2009,03,9,0,15.891958
2009,03,9,1,16.996091
2009,03,9,2,20.084182
2009,03,9,3,21.658409
2009,03,9,4,22.04045
2009,03,9,5,17.679634
2009,03,9,6,13.041447
2009,03,9,7,11.986844
2009,03,10,0,14.17608
2009,03,10,1,20.438141
2009,03,10,2,19.558739
2009,03,10,3,13.08176
2009,03,10,4,16.514118
2009,03,10,5,20.038306
2009,03,10,6,20.718922
2009,03,10,7,21.679035
2009,03,11,0,24.054074
2009,03,11,1,24.06424
2009,03,11,2,23.506108
2009,03,11,3,22.355276
2009,03,11,4,19.741163
2009,03,11,5,18.116114
2009,03,11,6,14.497586
2009,03,11,7,11.520066
2009,03,12,0,11.18994
2009,03,12,1,10.509482
2009,03,12,2,12.677863
2009,03,12,3,14.422839
2009,03,12,4,14.271842
2009,03,12,5,11.850529
2009,03,12,6,9.173317
2009,03,12,7,8.145922
2009,03,13,0,7.199694
2009,03,13,1,6.125132
2009,03,13,2,7.176268
2009,03,13,3,6.416332
2009,03,13,4,7.290981
2009,03,13,5,6.687726
2009,03,13,6,4.996582
2009,03,13,7,3.119059
2009,03,14,0,1.387288
2009,03,14,1,1.452682
2009,03,14,2,2.503607
2009,03,14,3,3.290799
2009,03,14,4,4.508137
2009,03,14,5,5.716619
2009,03,14,6,6.452853
2009,03,14,7,7.388944
2009,03,15,0,9.459069
2009,03,15,1,9.124907
2009,03,15,2,9.855315
2009,03,15,3,13.333496
2009,03,15,4,14.48526
2009,03,15,5,15.857887
2009,03,15,6,16.299753
2009,03,15,7,16.422456
2009,03,16,0,18.174816
2009,03,16,1,19.711271
2009,03,16,2,20.270358
2009,03,16,3,21.401732
2009,03,16,4,20.857224
2009,03,16,5,21.902568
2009,03,16,6,19.640132
2009,03,16,7,18.095966
2009,03,17,0,18.674711
2009,03,17,1,19.039614
2009,03,17,2,20.151243
2009,03,17,3,20.257521
2009,03,17,4,20.25955
2009,03,17,5,19.549089
2009,03,17,6,15.616835
2009,03,17,7,14.339381
2009,03,18,0,15.490173
2009,03,18,1,15.665852
2009,03,18,2,16.957945
2009,03,18,3,17.878704
2009,03,18,4,14.671354
2009,03,18,5,10.278816
2009,03,18,6,7.956505
2009,03,18,7,8.489223
2009,03,19,0,7.882814
2009,03,19,1,5.996723
2009,03,19,2,6.511933
2009,03,19,3,8.235891
2009,03,19,4,6.616739
2009,03,19,5,4.820484
2009,03,19,6,6.980636
2009,03,19,7,8.751501
2009,03,20,0,9.352388
2009,03,20,1,10.073321
2009,03,20,2,11.518466
2009,03,20,3,12.105181
2009,03,20,4,12.238682
2009,03,20,5,9.234176
2009,03,20,6,7.037267
2009,03,20,7,7.11937
2009,03,21,0,4.814456
2009,03,21,1,4.66241
2009,03,21,2,6.478948
2009,03,21,3,7.439427
2009,03,21,4,6.972351
2009,03,21,5,7.366316
2009,03,21,6,8.110138
2009,03,21,7,8.615053
2009,03,22,0,8.434033
2009,03,22,1,9.483706
2009,03,22,2,14.386944
2009,03,22,3,18.017535
2009,03,22,4,19.891569
2009,03,22,5,18.363905
2009,03,22,6,12.396216
2009,03,22,7,9.483721
2009,03,23,0,7.124599
2009,03,23,1,4.097939
2009,03,23,2,12.505619
2009,03,23,3,14.901864
2009,03,23,4,16.766753
2009,03,23,5,14.049723
2009,03,23,6,14.778625
2009,03,23,7,14.917719
2009,03,24,0,15.791764
2009,03,24,1,16.591023
2009,03,24,2,18.267109
2009,03,24,3,22.033514
2009,03,24,4,22.497097
2009,03,24,5,18.363181
2009,03,24,6,13.095741
