####################################################################################################
# Month: 01Jan                                                                                     #
# Station: KVNYS                                                                                   #
# Frequency: 345 GHz                                                                               #
# Columns are: year    day     tau     Tb (K)                                                      #
####################################################################################################
year,day,tau,Tb
2009,1,0.79860339,145.12045
2009,2,0.63949231,126.833025
2009,3,0.96026783,162.555225
2009,4,1.05944709,172.6782
2009,5,1.00736196,165.0569125
2009,6,0.74253375,137.6568
2009,7,0.9146792,159.1712875
2009,8,0.93238008,159.9851
2009,9,0.65636721,125.198375
2009,10,0.60350379,118.24758875
2009,11,0.62285228,120.5379875
2009,12,0.73731099,135.3006375
2009,13,0.8195975,145.068775
2009,14,0.38886365,86.0239325
2009,15,1.01972162,160.735025
2009,16,1.5171895,203.8936625
2009,17,1.93936925,224.1558375
2009,18,1.98571276,205.246825
2009,19,0.8452822,148.1919125
2009,20,1.45094774,196.1513125
2009,21,2.07077938,232.9938125
2009,22,1.77798426,198.0171375
2009,23,0.68210776,122.51143875
2009,24,0.9816077,159.4847875
2009,25,1.22314164,179.74265
2009,26,0.91707251,156.6351125
2009,27,1.01091853,165.9858625
2009,28,0.70272174,136.3517625
2009,29,0.94029824,163.9417125
2009,30,2.20960663,239.6497625
2009,31,1.93321738,228.0687375
2010,1,1.51763715,194.5443
2010,2,1.08914989,154.58276125
2010,3,1.02080007,159.128565
2010,4,1.50298005,196.3056375
2010,5,0.64510522,124.1016125
2010,6,0.72701341,134.795275
2010,7,0.98004394,162.5636
2010,8,1.10571975,174.5802
2010,9,1.52109338,205.488875
2010,10,1.27854075,192.7808375
2010,11,0.94488125,154.90248625
2010,12,0.60620172,115.42836375
2010,13,0.62235244,119.23401
2010,14,1.17618384,178.6831
2010,15,0.79852265,136.84767
2010,16,0.56237242,114.019105
2010,17,1.2332943,178.4732625
2010,18,1.67012446,209.1023625
2010,19,4.48564625,258.724725
2010,20,4.77095225,268.2505875
2010,21,0.61996458,123.7315625
2010,22,0.72740289,136.38175
2010,23,1.11121252,174.4826875
2010,24,1.60316068,206.01995
2010,25,0.50361571,105.362265
2010,26,0.94264648,155.76399125
2010,27,2.70254725,238.5491
2010,28,0.73331695,136.53006625
2010,29,1.23849638,188.55645
2010,30,1.57302812,208.69755
2010,31,1.53832038,201.0827125
2011,1,1.11411387,175.751375
2011,2,1.15106975,178.71245
2011,3,1.23307566,185.9129875
2011,4,1.28126587,188.2712875
2011,5,0.84556538,147.0129375
2011,6,0.54597256,110.915075
2011,7,0.64003925,118.9990725
2011,8,1.47484539,194.5464
2011,9,0.50219891,103.45533125
2011,10,0.85030541,143.95451625
2011,11,1.2258638,168.6523875
2011,12,0.62098519,121.30690875
2011,13,1.2313771,178.573375
2011,14,1.01419453,154.70110375
2011,15,0.36508411,80.142965
2011,16,0.44141702,94.13539375
2011,17,0.59194724,116.980785
2011,18,0.79797462,142.63175
2011,19,0.78469619,140.9747
2011,20,0.64844089,125.7412
2011,21,0.97930489,161.2809875
2011,22,0.99820268,161.3761125
2011,23,1.40740958,187.7045
2011,24,0.78916526,142.2059875
2011,25,0.68282246,127.59420375
2011,26,0.52818258,107.46199
2011,27,0.58189964,114.77944125
2011,28,0.6004802,117.0635225
2011,29,0.55089678,109.011785
2011,30,0.54167909,109.28383625
2011,31,1.04131654,168.5624875
2012,1,1.23816162,184.1666875
2012,2,1.06056152,171.008275
2012,3,1.06021122,166.1791375
2012,4,0.65588692,126.0824
2012,5,1.00539843,163.3235
2012,6,0.70655269,134.471225
2012,7,0.80106408,145.21565
2012,8,1.5026586,201.31515
2012,9,0.88348222,149.1319
2012,10,0.75575746,139.6897375
2012,11,0.6161744,120.59470875
2012,12,1.38561362,196.6037625
2012,13,0.82653284,146.8379875
2012,14,0.86430992,146.43735
2012,15,0.87137271,150.1017925
2012,16,1.90757412,225.3365875
2012,17,2.11512238,224.3275875
2012,18,1.68831725,213.208825
2012,19,2.56886762,246.257875
2012,20,2.35977225,240.336725
2012,21,1.65204374,187.59802875
2012,22,0.35953549,80.17295375
2012,23,0.4505866,95.21222
2012,24,0.61566571,117.5727425
2012,25,0.75324461,133.65405
2012,26,1.200572,182.9500625
2012,27,0.9372715,144.59097125
2012,28,0.73866369,135.90329125
2012,29,0.42810161,91.6179025
2012,30,0.4133333,88.792575
2012,31,1.00086531,140.747615
2013,1,1.25355934,168.64580375
2013,2,0.56981164,111.62767125
2013,3,0.40346238,89.39644875
2013,4,0.64365391,117.283665
2013,5,0.9354239,150.46384125
2013,6,0.51751807,108.08710125
2013,7,1.17042306,178.6417625
2013,8,0.59190483,117.00043625
2013,9,0.5612209,112.46339125
2013,10,0.97536314,158.763025
2013,11,1.88864362,217.6710625
2013,12,1.39054442,190.9278
2013,13,0.7203575,137.8247375
2013,14,1.01411084,161.4073
2013,15,1.09381848,173.2916125
2013,16,1.31804725,190.53135
2013,17,0.95960924,152.18928
2013,18,1.12779532,170.3376875
2013,19,1.17423346,177.1609875
2013,20,2.13747642,220.357875
2013,21,3.09994188,255.672125
2013,22,2.29549862,239.1437125
2013,23,2.53888262,237.8272875
2013,24,0.97829009,142.6840175
2013,25,0.51691872,104.36454375
2013,26,0.57769965,114.5896475
2013,27,0.72833236,134.4355625
2013,28,2.34448538,233.314425
2013,29,3.1594555,256.4683
2013,30,3.16389,257.2444
2013,31,3.25639888,260.2343
2014,1,1.08067136,163.676585
2014,2,1.00810392,163.6141875
2014,3,1.58159424,181.4228725
2014,4,1.80838838,218.525775
2014,5,1.56834162,208.26485
2014,6,1.91900838,226.2255375
2014,7,3.35101425,255.8906375
2014,8,0.59330284,111.03365375
2014,9,0.58304314,112.7840825
2014,10,0.92945078,157.768525
2014,11,1.33544406,191.3266
2014,12,0.55455761,106.6794275
2014,13,0.65914001,124.87339375
2014,14,0.76485799,140.076625
2014,15,1.24004229,184.818375
2014,16,1.47813212,201.01025
2014,17,1.32300325,193.2189125
2014,18,0.68579104,130.0250575
2014,19,1.5409199,183.66432125
2014,20,1.88386612,213.8917875
2014,21,1.17316119,177.8969375
2014,22,1.05647275,172.27275
2014,23,2.225432,231.9886125
2014,24,3.73864475,264.266175
2014,25,1.99794945,183.994675
2014,26,0.48662691,102.59099875
2014,27,1.58997609,192.9020125
2014,28,0.32292221,75.25886125
2014,29,1.74150466,154.03343
2014,30,1.52760964,161.56706125
2014,31,0.97504961,157.67275
2015,1,0.6934365,129.1534875
2015,2,0.58604704,117.2748325
2015,3,2.0418579,219.1094375
2015,4,1.63683565,209.0331
2015,5,2.14066463,213.6622
2015,6,0.33399464,78.99285375
2015,7,0.49617582,106.434995
2015,8,0.57816452,117.04924125
2015,9,0.8388019,149.7154125
2015,10,1.57742738,205.6721375
2015,11,0.71981585,131.73008
2015,12,0.62577146,125.5492625
2015,13,0.58832935,117.10072625
2015,14,1.39946438,199.1204625
2015,15,1.86934488,224.6208625
2015,16,1.30052195,176.7863625
2015,17,0.65750953,124.5341425
2015,18,2.0762785,226.0673
2015,19,1.00690855,169.1533625
2015,20,1.19701134,181.013525
2015,21,2.074075,231.689025
2015,22,1.65860675,215.68565
2015,23,1.63718162,213.7692375
2015,24,1.61993625,213.956
2015,25,3.53679538,258.7086
2015,26,1.85141176,204.66219
2015,27,0.4801908,101.93263375
2015,28,1.09567554,176.0335125
2015,29,1.66258908,205.60285
2015,30,0.66249799,126.2463125
2015,31,0.48791111,104.07175125
2016,1,2.13449675,228.96275
2016,5,0.80376035,142.1127125
2016,6,1.0296047,163.7954125
2016,7,0.75352935,138.8103875
2016,8,0.96430199,161.704375
2016,9,1.23255579,182.895
2016,10,0.72027796,135.00047875
2016,11,0.56119262,112.45935
2016,12,0.71374715,132.32252375
2016,13,1.06529204,164.4903125
2016,14,1.13786896,173.2521
2016,15,1.13874511,178.4397125
2016,16,1.85943038,221.01145
2016,17,1.87058925,223.1313875
2016,18,0.52835686,105.93757375
2016,19,0.46598979,98.15737375
2016,20,0.62818102,122.2549
2016,21,0.52443366,106.9724
2016,22,0.57424494,113.292095
2016,23,0.46699947,95.54085
2016,24,0.54982009,110.247725
2016,25,0.95923519,158.2798625
2016,26,1.20287574,183.711675
2016,27,0.84101566,150.3406375
2016,28,1.03326434,171.308825
2016,29,1.8175485,220.9811375
2016,30,1.34475672,184.3651625
2016,31,0.49951539,104.4614475
2017,1,2.54778825,234.7413125
2017,2,1.64504721,196.9722125
2017,3,1.3560758,196.4711625
2017,4,0.851402,153.9617625
2017,5,1.92725725,228.4844
2017,6,2.005327,233.131175
2017,7,2.52981562,244.1032
2017,8,3.23447038,257.1514375
2017,9,0.89325251,153.564125
2017,10,0.71592842,128.11598625
2017,11,1.16844197,178.1151375
2017,12,0.6730369,128.815225
2017,13,0.71180728,132.4756875
2017,14,0.49663126,104.1135375
2017,15,0.5856642,116.593155
2017,16,0.84323708,149.4921125
2017,17,1.33361015,190.5555125
2017,18,1.28273611,182.2545875
2017,19,1.18282404,177.8728875
2017,20,1.01504269,163.1679375
2017,21,1.17265631,174.131875
2017,22,0.59568379,116.74639125
2017,23,0.51912787,106.93798
2017,24,0.48726998,102.6943075
2017,25,0.44794926,94.9150725
2017,26,1.74962442,197.25000875
2017,27,0.55207256,113.50895375
2017,28,1.05810405,168.4606125
2017,29,2.53673575,237.4293125
2017,30,0.55935522,113.07441375
2017,31,0.8841621,152.4267875
2018,1,0.93545471,159.1711625
2018,2,0.62940108,123.681375
2018,3,0.72730799,136.7931375
