####################################################################################################
# Month: 07Jul                                                                                     #
# Station: KVNYS                                                                                   #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,07,1,5.72421462
2009,07,2,2.79066
2009,07,3,1.47833338
2009,07,4,1.78886575
2009,07,5,1.56400262
2009,07,6,2.1994765
2009,07,7,2.64520462
2009,07,8,3.30421938
2009,07,9,12.711751
2009,07,10,8.86454262
2009,07,11,7.11006062
2009,07,12,11.76058825
2009,07,13,10.07224762
2009,07,14,19.1209645
2009,07,15,6.30149737
2009,07,16,2.53498413
2009,07,17,12.487913
2009,07,18,16.13273038
2009,07,19,3.83616862
2009,07,20,6.2430255
2009,07,21,8.45918887
2009,07,22,2.53717688
2009,07,23,3.77880688
2009,07,24,9.87407462
2009,07,25,3.09077725
2009,07,26,1.45551138
2009,07,27,1.48329775
2009,07,28,3.8472035
2009,07,29,2.20384725
2009,07,30,1.171933
2009,07,31,2.32496362
