####################################################################################################
# Month: 12Dec                                                                                     #
# Station: LAS                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,12,1,0,0.3503312,85.63424
2009,12,1,1,0.3686235,88.94827
2009,12,1,2,0.362285,87.46388
2009,12,1,3,0.3459328,83.86611
2009,12,1,4,0.3523453,84.83708
2009,12,1,5,0.3688717,87.72448
2009,12,1,6,0.3660689,87.42577
2009,12,1,7,0.3545137,85.59182
2009,12,2,0,0.3369071,82.63381
2009,12,2,1,0.3076694,77.11144
2009,12,2,2,0.2932568,74.05029
2009,12,2,3,0.286162,72.40161
2009,12,2,4,0.2907286,73.30633
2009,12,2,5,0.2946903,74.21226
2009,12,2,6,0.2776791,71.03814
2009,12,2,7,0.2362362,62.46639
2009,12,3,0,0.2000828,54.5926
2009,12,3,1,0.2016501,54.95801
2009,12,3,2,0.1980279,54.18727
2009,12,3,3,0.1985036,54.21517
2009,12,3,4,0.1991263,54.19138
2009,12,3,5,0.1989138,54.07436
2009,12,3,6,0.2175606,58.43855
2009,12,3,7,0.2205943,59.26386
2009,12,4,0,0.1637331,46.24388
2009,12,4,1,0.1615966,45.6748
2009,12,4,2,0.1758145,49.03158
2009,12,4,3,0.1651807,46.49033
2009,12,4,4,0.1736004,48.3225
2009,12,4,5,0.1788796,49.38801
2009,12,4,6,0.191521,52.37742
2009,12,4,7,0.1898356,51.88272
2009,12,5,0,0.1770093,48.80509
2009,12,5,1,0.1736124,47.88468
2009,12,5,2,0.1978992,52.93861
2009,12,5,3,0.2167061,56.77558
2009,12,5,4,0.2277253,59.04913
2009,12,5,5,0.2255248,58.66584
2009,12,5,6,0.2426829,62.08971
2009,12,5,7,0.2607324,65.0392
2009,12,6,0,0.2226887,57.22802
2009,12,6,1,0.2218998,56.53816
2009,12,6,2,0.2768065,67.57605
2009,12,6,3,0.2597023,65.02581
2009,12,6,4,0.2361199,60.51387
2009,12,6,5,0.2573959,65.2237
2009,12,6,6,0.2787784,69.60206
2009,12,6,7,0.306281,74.53454
2009,12,7,0,0.2770181,68.89933
2009,12,7,1,0.2381826,61.2658
2009,12,7,2,0.2456379,62.83499
2009,12,7,3,0.2166107,56.87399
