####################################################################################################
# Month: 01Jan                                                                                     #
# Station: LMT                                                                                     #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
9,01,1,0.334852
9,01,2,0.18586275
9,01,3,0.26422912
9,01,4,0.19409062
9,01,5,0.05381212
9,01,6,0.0291255
9,01,7,0.08387663
9,01,8,0.03336375
9,01,9,0.01282638
9,01,10,0.02739588
9,01,11,0.0620925
9,01,12,0.2309015
9,01,13,0.44327938
9,01,14,0.64125512
9,01,15,0.94880688
9,01,16,0.97164438
9,01,17,0.62124138
9,01,18,0.213089
9,01,19,0.09141037
9,01,20,0.37263112
9,01,21,0.48239325
9,01,22,0.39382062
9,01,23,0.271082
9,01,24,0.29250975
9,01,25,0.2040535
9,01,26,0.105575
9,01,27,0.073031
9,01,28,0.16247725
9,01,29,0.16677688
9,01,30,0.28049975
9,01,31,0.13829712
