####################################################################################################
# Month: 09Sep                                                                                     #
# Station: LMT                                                                                     #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
9,09,1,0.639016
9,09,2,0.75011562
9,09,3,0.77786438
9,09,4,0.8806325
9,09,5,0.85274738
9,09,6,0.90328262
9,09,7,0.93398688
9,09,8,0.87314025
9,09,9,0.94742662
9,09,10,0.95182712
9,09,11,0.92482675
9,09,12,0.97327075
9,09,13,0.980199
9,09,14,0.90510762
9,09,15,0.884342
9,09,16,0.9519485
9,09,17,0.77242275
9,09,18,0.701253
9,09,19,0.67250812
9,09,20,0.56542262
9,09,21,0.71024275
9,09,22,0.62321675
9,09,23,0.72766362
9,09,24,0.64183775
9,09,25,0.807882
9,09,26,0.93893
9,09,27,0.82903012
9,09,28,0.3482
9,09,29,0.61735325
9,09,30,0.35378562
10,09,1,0.91686375
10,09,2,0.65757012
10,09,3,0.59512875
10,09,4,0.82124975
10,09,5,0.97020813
10,09,6,0.92732775
10,09,7,0.89853788
10,09,8,0.6883835
10,09,9,0.45966662
10,09,10,0.45897112
10,09,11,0.79776888
10,09,12,0.59799975
10,09,13,0.65613662
10,09,14,0.80532075
10,09,15,0.79169775
10,09,16,0.74470825
10,09,17,0.95353825
10,09,18,0.906621
10,09,19,0.8727355
10,09,20,0.67437938
10,09,21,0.32853525
10,09,22,0.37951
10,09,23,0.81410675
10,09,24,0.82143875
10,09,25,0.82290138
10,09,26,0.46605937
10,09,27,0.79369475
10,09,28,0.75101013
10,09,29,0.071486
10,09,30,0.06014262
11,09,1,0.9469155
11,09,2,0.9003015
11,09,3,0.85578175
11,09,4,0.9099475
11,09,5,0.86432725
11,09,6,0.73936212
11,09,7,0.850761
11,09,8,0.26228925
11,09,9,0.08545338
11,09,10,0.39317537
11,09,11,0.97516438
11,09,12,0.66265162
11,09,13,0.77559212
11,09,14,0.39283488
11,09,15,0.54640562
11,09,16,0.519926
11,09,17,0.18716638
11,09,18,0.109182
11,09,19,0.37305975
11,09,20,0.82218675
11,09,21,0.877065
11,09,22,0.91042
11,09,23,0.97325088
11,09,24,0.91541312
11,09,25,0.87416562
11,09,26,0.94557712
11,09,27,0.78584625
11,09,28,0.8966505
11,09,29,0.92280825
11,09,30,0.83000437
12,09,1,0.87230762
12,09,2,0.44780125
12,09,3,0.148011
12,09,4,0.25589175
12,09,5,0.49571075
12,09,6,0.75799688
12,09,7,0.60163925
12,09,8,0.49188388
12,09,9,0.76651638
12,09,10,0.877835
12,09,11,0.92630312
12,09,12,0.84108712
12,09,13,0.66654288
12,09,14,0.3745325
12,09,15,0.81671575
12,09,16,0.73562012
12,09,17,0.78482475
12,09,18,0.9472085
12,09,19,0.9570525
12,09,20,0.86488275
12,09,21,0.83832975
12,09,22,0.85706375
12,09,23,0.87950537
12,09,24,0.84627012
12,09,25,0.8298415
12,09,26,0.81176538
12,09,27,0.72222575
12,09,28,0.71196513
12,09,29,0.38626012
12,09,30,0.78497512
13,09,1,0.61269775
13,09,2,0.49655862
13,09,3,0.70261025
13,09,4,0.82118938
13,09,5,0.84609925
13,09,6,0.93646225
13,09,7,0.96822362
13,09,8,0.96003338
13,09,9,0.93283688
13,09,10,0.893901
13,09,11,0.83108038
13,09,12,0.80178825
13,09,13,0.93998325
13,09,14,0.95036888
13,09,15,0.92996387
13,09,16,0.92029825
13,09,17,0.95143512
13,09,18,0.9513685
13,09,19,0.659438
13,09,20,0.90899175
13,09,21,0.87096012
13,09,22,0.796282
13,09,23,0.79250025
13,09,24,0.65668675
13,09,25,0.87158938
13,09,26,0.91619225
13,09,27,0.796859
13,09,28,0.52037025
13,09,29,0.21690412
13,09,30,0.185659
14,09,1,0.865223
14,09,2,0.87840175
14,09,3,0.90994975
14,09,4,0.88474875
14,09,5,0.55767888
14,09,6,0.57424075
14,09,7,0.67737588
14,09,8,0.84841863
14,09,9,0.87587562
14,09,10,0.85325338
14,09,11,0.59283025
14,09,12,0.7107885
14,09,13,0.93875438
14,09,14,0.85334975
14,09,15,0.78198188
14,09,16,0.84632962
14,09,17,0.94634638
14,09,18,0.90683012
14,09,19,0.64224337
14,09,20,0.5509475
14,09,21,0.68158025
14,09,22,0.85714125
14,09,23,0.61188438
14,09,24,0.63430712
14,09,25,0.609229
14,09,26,0.6664325
14,09,27,0.69905813
14,09,28,0.87247025
14,09,29,0.89813288
14,09,30,0.9552855
15,09,1,0.85481462
15,09,2,0.84109462
15,09,3,0.95469712
15,09,4,0.78035538
15,09,5,0.632038
15,09,6,0.55932075
15,09,7,0.38808988
15,09,8,0.45208612
15,09,9,0.51213225
15,09,10,0.47584138
15,09,11,0.825145
15,09,12,0.71517625
15,09,13,0.871044
15,09,14,0.8236095
15,09,15,0.77671675
15,09,16,0.98933462
15,09,17,0.96367525
15,09,18,0.47968625
15,09,19,0.19529575
15,09,20,0.589018
15,09,21,0.48363788
15,09,22,0.37286675
15,09,23,0.16906225
15,09,24,0.47613025
15,09,25,0.62599563
15,09,26,0.88117825
15,09,27,0.94286662
15,09,28,0.98060038
15,09,29,0.97963862
