####################################################################################################
# Month: 07Jul                                                                                     #
# Station: NOB                                                                                     #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
9,07,1,0,0.882123
9,07,1,1,0.836504
9,07,1,2,0.821094
9,07,1,3,0.924275
9,07,1,4,0.88549
9,07,1,5,0.936776
9,07,1,6,0.879259
9,07,1,7,0.848402
9,07,2,0,0.897967
9,07,2,1,0.827704
9,07,2,2,0.799461
9,07,2,3,0.865389
9,07,2,4,0.948836
9,07,2,5,0.9562
9,07,2,6,0.916426
9,07,2,7,0.837221
9,07,3,0,0.851948
9,07,3,1,0.746236
9,07,3,2,0.802569
9,07,3,3,0.899924
9,07,3,4,0.82009
9,07,3,5,0.795935
9,07,3,6,0.798299
9,07,3,7,0.846743
9,07,4,0,0.943807
9,07,4,1,0.826209
9,07,4,2,0.799674
9,07,4,3,0.88003
9,07,4,4,0.897352
9,07,4,5,0.832496
9,07,4,6,0.737968
9,07,4,7,0.695441
9,07,5,0,0.872371
9,07,5,1,0.817121
9,07,5,2,0.827924
9,07,5,3,0.872322
9,07,5,4,0.914601
9,07,5,5,0.913958
9,07,5,6,0.931229
9,07,5,7,0.938332
9,07,6,0,0.962316
9,07,6,1,0.928026
9,07,6,2,0.894607
9,07,6,3,0.875574
9,07,6,4,0.777506
9,07,6,5,0.880681
9,07,6,6,0.926947
9,07,6,7,0.95424
9,07,7,0,0.939227
9,07,7,1,0.809503
9,07,7,2,0.820568
9,07,7,3,0.83321
9,07,7,4,0.761348
9,07,7,5,0.789254
9,07,7,6,0.797284
9,07,7,7,0.807798
9,07,8,0,0.872599
9,07,8,1,0.92501
9,07,8,2,0.937394
9,07,8,3,0.949608
9,07,8,4,0.911324
9,07,8,5,0.887694
9,07,8,6,0.880948
9,07,8,7,1.002522
9,07,9,0,0.929276
9,07,9,1,0.913893
9,07,9,2,0.944005
9,07,9,3,0.904437
9,07,9,4,0.854081
9,07,9,5,0.855924
9,07,9,6,0.880712
9,07,9,7,0.930858
9,07,10,0,0.910459
9,07,10,1,0.958183
9,07,10,2,0.814592
9,07,10,3,0.832969
9,07,10,4,0.823638
9,07,10,5,0.832634
9,07,10,6,0.842759
9,07,10,7,0.805482
9,07,11,0,0.856874
9,07,11,1,0.772608
9,07,11,2,0.733931
9,07,11,3,0.739407
9,07,11,4,0.774168
9,07,11,5,0.707516
9,07,11,6,0.590785
9,07,11,7,0.606367
9,07,12,0,0.644858
9,07,12,1,0.719971
9,07,12,2,0.900734
9,07,12,3,0.913355
9,07,12,4,0.83716
9,07,12,5,0.734777
9,07,12,6,0.776235
9,07,12,7,0.897891
9,07,13,0,0.925453
9,07,13,1,0.929475
9,07,13,2,0.903897
9,07,13,3,0.900478
9,07,13,4,0.801714
9,07,13,5,0.605425
9,07,13,6,0.631174
9,07,13,7,0.587558
9,07,14,0,0.829794
9,07,14,1,0.807851
9,07,14,2,0.787346
9,07,14,3,0.8512
9,07,14,4,0.811419
9,07,14,5,0.834875
9,07,14,6,0.711565
9,07,14,7,0.562687
9,07,15,0,0.666513
9,07,15,1,0.745944
9,07,15,2,0.858904
9,07,15,3,0.932459
9,07,15,4,0.932292
9,07,15,5,0.932742
9,07,15,6,0.673017
9,07,15,7,0.537316
9,07,16,0,0.697118
9,07,16,1,0.736056
9,07,16,2,0.847525
