####################################################################################################
# Month: 01Jan                                                                                     #
# Station: NOEMA                                                                                   #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,01,1,8.73597438
2009,01,2,4.3128865
2009,01,3,4.52240638
2009,01,4,6.17076262
2009,01,5,9.68301462
2009,01,6,8.677771
2009,01,7,7.2640665
2009,01,8,9.47793988
2009,01,9,6.24327612
2009,01,10,4.49959725
2009,01,11,3.888392
2009,01,12,2.29381363
2009,01,13,3.1197655
2009,01,14,6.366518
2009,01,15,3.85071512
2009,01,16,2.9360885
2009,01,17,10.0593345
2009,01,18,18.19336888
2009,01,19,16.5532255
2009,01,20,8.612938
2009,01,21,6.50840125
2009,01,22,7.83106012
2009,01,23,20.03275225
2009,01,24,13.75840375
2009,01,25,8.24019575
2009,01,26,9.74606038
2009,01,27,11.57966488
2009,01,28,8.37769075
2009,01,29,6.04287875
2009,01,30,4.36903588
2009,01,31,1.98927612
