####################################################################################################
# Month: 09Sep                                                                                     #
# Station: NOEMA                                                                                   #
# Frequency: 410 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,09,1,0,1.69489,226.034
2009,09,1,1,1.828329,231.9876
2009,09,1,2,2.004826,238.5554
2009,09,1,3,2.233136,245.614
2009,09,1,4,2.917072,260.1139
2009,09,1,5,3.797686,269.5161
2009,09,1,6,4.450621,272.7611
2009,09,1,7,4.204582,271.8564
2009,09,2,0,4.251047,271.6842
2009,09,2,1,3.74887,268.8817
2009,09,2,2,3.484574,266.7946
2009,09,2,3,3.433618,266.2767
2009,09,2,4,4.079834,270.5237
2009,09,2,5,4.437306,272.1825
2009,09,2,6,4.026829,269.866
2009,09,2,7,3.590453,267.3085
2009,09,3,0,3.589248,267.2741
2009,09,3,1,3.713718,267.5742
2009,09,3,2,3.78166,267.7245
2009,09,3,3,3.540051,265.4371
2009,09,3,4,2.894213,259.0861
2009,09,3,5,2.785521,258.0261
2009,09,3,6,2.26192,246.8551
2009,09,3,7,2.484398,252.3717
2009,09,4,0,2.739064,257.5064
2009,09,4,1,3.424516,265.9336
2009,09,4,2,4.092673,269.2525
2009,09,4,3,4.71855,270.3978
2009,09,4,4,1.146275,188.0318
2009,09,4,5,1.173643,189.5832
2009,09,4,6,0.9830061,171.8358
2009,09,4,7,0.9743284,171.1319
2009,09,5,0,0.7638571,147.348
2009,09,5,1,0.702734,138.3678
2009,09,5,2,0.7775977,147.8557
2009,09,5,3,0.9738437,169.6629
2009,09,5,4,1.146439,185.695
2009,09,5,5,0.9513924,167.5281
2009,09,5,6,0.917286,163.9588
2009,09,5,7,0.9131474,163.3474
2009,09,6,0,0.9202497,164.2304
2009,09,6,1,0.9473195,167.1106
2009,09,6,2,0.9452036,167.2108
2009,09,6,3,0.8493159,157.2968
2009,09,6,4,0.8984934,162.3553
2009,09,6,5,0.9898696,172.3411
2009,09,6,6,0.9794459,171.1364
2009,09,6,7,0.9949307,171.0182
2009,09,7,0,1.023493,174.063
2009,09,7,1,1.008823,173.2685
2009,09,7,2,0.9647364,168.697
2009,09,7,3,0.8789435,159.6668
2009,09,7,4,1.000094,172.9546
2009,09,7,5,1.268788,196.7901
2009,09,7,6,1.248924,195.6599
2009,09,7,7,1.299762,198.5473
2009,09,8,0,1.334577,201.9129
2009,09,8,1,1.271013,197.3852
2009,09,8,2,1.132975,186.2491
2009,09,8,3,0.9514105,169.4881
2009,09,8,4,1.321391,201.0212
2009,09,8,5,2.128304,239.473
2009,09,8,6,2.191142,241.831
2009,09,8,7,1.563546,216.0247
2009,09,9,0,1.455226,208.869
2009,09,9,1,1.622176,218.4855
2009,09,9,2,1.832029,228.2723
2009,09,9,3,1.86023,229.748
2009,09,9,4,2.127367,238.6975
2009,09,9,5,2.659668,251.3176
2009,09,9,6,2.817138,254.7659
2009,09,9,7,2.635884,251.5639
2009,09,10,0,2.302279,243.8304
2009,09,10,1,1.847042,228.9144
2009,09,10,2,1.650618,219.8487
2009,09,10,3,1.682291,221.4612
2009,09,10,4,2.100658,238.5491
2009,09,10,5,2.547091,250.3443
2009,09,10,6,2.675465,253.1131
2009,09,10,7,2.644677,252.4489
2009,09,11,0,2.923296,256.5439
2009,09,11,1,2.961973,256.661
2009,09,11,2,2.879433,255.5226
2009,09,11,3,3.191846,259.66
2009,09,11,4,3.791027,265.0214
2009,09,11,5,3.806547,265.7292
2009,09,11,6,3.440764,263.6669
2009,09,11,7,3.119315,260.6283
2009,09,12,0,2.983435,258.1969
2009,09,12,1,2.751275,254.1505
2009,09,12,2,2.692421,252.9847
2009,09,12,3,2.857945,255.1777
2009,09,12,4,3.487414,262.2252
2009,09,12,5,3.879975,265.42
2009,09,12,6,3.469487,262.6062
2009,09,12,7,3.415788,261.5933
