####################################################################################################
# Month: 02Feb                                                                                     #
# Station: NOR                                                                                     #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
9,02,1,0.18833212
9,02,2,0.46080875
9,02,3,0.28516225
9,02,4,0.20641975
9,02,5,0.4145155
9,02,6,0.12559263
9,02,7,0.23214812
9,02,8,0.08997075
9,02,9,0.62829012
9,02,10,0.3968465
9,02,11,0.60134575
9,02,12,0.23823
9,02,13,0.65206312
9,02,14,0.26488838
9,02,15,0.31531412
9,02,16,0.16056325
9,02,17,0.28645712
9,02,18,0.54933788
9,02,19,0.56963638
9,02,20,0.64038325
9,02,21,0.12310212
9,02,22,0.71835012
9,02,23,0.35352788
9,02,24,0.49583925
9,02,25,0.39721688
9,02,26,0.534896
9,02,27,0.63418512
9,02,28,0.283423
