####################################################################################################
# Month: 01Jan                                                                                     #
# Station: NZ                                                                                      #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
9,01,1,0.4460395
9,01,2,0.59869225
9,01,3,0.70439862
9,01,4,0.73761737
9,01,5,0.457702
9,01,6,0.59720375
9,01,7,0.63825525
9,01,8,0.40789325
9,01,9,0.50597487
9,01,10,0.76277038
9,01,11,0.78821563
9,01,12,0.93666812
9,01,13,0.56091525
9,01,14,0.42689162
9,01,15,0.44992925
9,01,16,0.47306225
9,01,17,0.61976763
9,01,18,0.82792788
9,01,19,0.69273262
9,01,20,0.72007675
9,01,21,0.50120688
9,01,22,0.22524138
9,01,23,0.17086112
9,01,24,0.21722125
9,01,25,0.732065
9,01,26,0.62176825
9,01,27,0.51607338
9,01,28,0.48946825
9,01,29,0.87130862
9,01,30,0.76841412
9,01,31,0.63231887
10,01,1,0.32128375
10,01,2,0.60186212
10,01,3,0.514512
10,01,4,0.73167012
10,01,5,0.52315388
10,01,6,0.70490125
10,01,7,0.59664412
10,01,8,0.84984762
10,01,9,0.71772375
10,01,10,0.86329038
10,01,11,0.87349312
10,01,12,0.67871125
10,01,13,0.85123312
10,01,14,0.78564688
10,01,15,0.686798
10,01,16,0.96266488
10,01,17,0.73932375
10,01,18,0.94258325
10,01,19,0.778023
10,01,20,0.86550212
10,01,21,0.98676338
10,01,22,0.9269395
10,01,23,0.65002
10,01,24,0.79277775
10,01,25,0.75611287
10,01,26,0.49354262
10,01,27,0.64607612
10,01,28,0.8778875
10,01,29,0.53359375
10,01,30,0.72469688
10,01,31,0.1965215
11,01,1,0.62528788
11,01,2,0.62413937
11,01,3,0.89279262
11,01,4,0.79081538
11,01,5,0.83091138
11,01,6,0.65939075
11,01,7,0.44058075
11,01,8,0.33834562
11,01,9,0.400071
11,01,10,0.69350212
11,01,11,0.4133585
11,01,12,0.50094362
11,01,13,0.53803112
11,01,14,0.29572888
11,01,15,0.4540485
11,01,16,0.728729
11,01,17,0.47354412
11,01,18,0.87343712
11,01,19,0.702014
11,01,20,0.80336212
11,01,21,0.88605162
11,01,22,0.72578988
11,01,23,0.29310762
11,01,24,0.31878938
11,01,25,0.66193575
11,01,26,0.51052038
11,01,27,0.41238088
11,01,28,0.6752005
11,01,29,0.547835
11,01,30,0.76313138
11,01,31,0.41717625
12,01,1,0.76975225
12,01,2,0.5919095
12,01,3,0.7602655
12,01,4,0.58267862
12,01,5,0.62401463
12,01,6,0.88972738
