####################################################################################################
# Month: 02Feb                                                                                     #
# Station: ORG                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,02,1,0,0.1558,41.14503
2009,02,1,1,0.1809059,46.611
2009,02,1,2,0.1529814,41.05611
2009,02,1,3,0.1038607,30.32455
2009,02,1,4,0.08657008,26.14801
2009,02,1,5,0.1007204,29.06205
2009,02,1,6,0.1200687,33.32202
2009,02,1,7,0.1872822,48.09217
2009,02,2,0,0.2280774,57.14327
2009,02,2,1,0.2842018,68.82805
2009,02,2,2,0.3649276,84.1369
2009,02,2,3,0.3914203,89.07509
2009,02,2,4,0.3607572,83.90896
2009,02,2,5,0.3757917,86.72035
2009,02,2,6,0.3628807,84.86505
2009,02,2,7,0.3290435,79.10214
2009,02,3,0,0.2656834,66.83592
2009,02,3,1,0.2228408,57.94526
2009,02,3,2,0.1924959,51.50774
2009,02,3,3,0.179732,48.72397
2009,02,3,4,0.1673104,45.8734
2009,02,3,5,0.1414146,39.88784
2009,02,3,6,0.1325071,37.73326
2009,02,3,7,0.130919,37.36899
2009,02,4,0,0.1230562,35.57175
2009,02,4,1,0.1122862,32.95944
2009,02,4,2,0.1177205,34.20849
2009,02,4,3,0.1452431,40.66808
2009,02,4,4,0.1677953,45.74353
2009,02,4,5,0.1809352,48.57032
2009,02,4,6,0.1872193,49.86591
2009,02,4,7,0.1824631,48.78044
2009,02,5,0,0.1718354,46.32191
2009,02,5,1,0.2085788,53.84201
2009,02,5,2,0.2011572,52.48717
2009,02,5,3,0.1711067,45.80896
2009,02,5,4,0.2118156,53.84011
2009,02,5,5,0.3550195,81.07376
2009,02,5,6,0.2960475,70.41576
2009,02,5,7,0.2655237,64.74454
2009,02,6,0,0.3952376,87.72726
2009,02,6,1,0.3956043,87.66181
2009,02,6,2,0.3089089,72.28329
2009,02,6,3,0.2916108,69.12477
2009,02,6,4,0.2776238,66.56709
2009,02,6,5,0.2117524,53.34866
2009,02,6,6,0.3243715,74.92748
2009,02,6,7,0.4425953,95.15639
2009,02,7,0,0.3351596,77.05134
2009,02,7,1,0.2429385,59.76487
2009,02,7,2,0.2207346,55.36784
2009,02,7,3,0.2161455,54.51984
2009,02,7,4,0.2046939,52.2395
2009,02,7,5,0.1969854,50.68449
2009,02,7,6,0.2471006,61.37134
2009,02,7,7,0.2409375,60.1292
2009,02,8,0,0.2084265,53.49354
2009,02,8,1,0.1948274,50.43058
2009,02,8,2,0.2468682,60.9832
2009,02,8,3,0.2387452,59.32157
2009,02,8,4,0.2110424,53.91022
2009,02,8,5,0.216701,55.27183
2009,02,8,6,0.2129901,54.41532
2009,02,8,7,0.2089185,53.5948
2009,02,9,0,0.1847716,48.41124
2009,02,9,1,0.3252306,75.56816
2009,02,9,2,0.5052955,105.5308
2009,02,9,3,0.3342397,77.0859
2009,02,9,4,0.329932,75.88243
2009,02,9,5,0.4066905,89.22734
2009,02,9,6,0.3221914,73.78628
2009,02,9,7,0.2248475,55.02261
2009,02,10,0,0.1516212,39.87616
2009,02,10,1,0.1151149,31.93908
2009,02,10,2,0.08907548,26.06392
2009,02,10,3,0.08911241,26.25032
2009,02,10,4,0.1038927,29.55989
2009,02,10,5,0.1422449,38.10139
2009,02,10,6,0.2501272,60.3335
2009,02,10,7,0.2894319,68.72402
2009,02,11,0,0.3249445,74.99123
2009,02,11,1,0.3613811,81.45727
