####################################################################################################
# Month: 01Jan                                                                                     #
# Station: OVRO                                                                                    #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
9,01,1,0,0.248607
9,01,1,1,0.159553
9,01,1,2,0.140105
9,01,1,3,0.121161
9,01,1,4,0.139179
9,01,1,5,0.183467
9,01,1,6,0.309053
9,01,1,7,0.343604
9,01,2,0,0.399094
9,01,2,1,0.472764
9,01,2,2,0.49892
9,01,2,3,0.481653
9,01,2,4,0.652476
9,01,2,5,0.545333
9,01,2,6,0.593866
9,01,2,7,0.70104
9,01,3,0,0.802408
9,01,3,1,0.732113
9,01,3,2,0.319564
9,01,3,3,0.356776
9,01,3,4,0.486005
9,01,3,5,0.678422
9,01,3,6,0.835376
9,01,3,7,0.587067
9,01,4,0,0.492476
9,01,4,1,0.478753
9,01,4,2,0.408729
9,01,4,3,0.249509
9,01,4,4,-0.02745
9,01,4,5,0.119865
9,01,4,6,0.099678
9,01,4,7,0.142977
9,01,5,0,0.173131
9,01,5,1,0.13183
9,01,5,2,0.098682
9,01,5,3,0.085752
9,01,5,4,0.232124
9,01,5,5,0.580731
9,01,5,6,0.652942
9,01,5,7,0.737489
9,01,6,0,0.769696
9,01,6,1,0.634684
9,01,6,2,0.305702
9,01,6,3,0.18674
9,01,6,4,0.56532
9,01,6,5,0.79526
9,01,6,6,0.845996
9,01,6,7,0.834076
9,01,7,0,0.683471
9,01,7,1,0.409404
9,01,7,2,0.312655
9,01,7,3,0.158826
9,01,7,4,0.136784
9,01,7,5,-0.131743
9,01,7,6,0.175403
9,01,7,7,0.355478
9,01,8,0,0.367548
9,01,8,1,0.32798
9,01,8,2,0.298655
9,01,8,3,0.266338
9,01,8,4,0.242317
9,01,8,5,0.338061
9,01,8,6,0.33692
9,01,8,7,0.408578
9,01,9,0,0.27664
9,01,9,1,0.39438
9,01,9,2,0.122721
9,01,9,3,0.051376
9,01,9,4,0.076922
9,01,9,5,0.057568
9,01,9,6,0.055434
9,01,9,7,0.149494
9,01,10,0,0.091854
9,01,10,1,0.133523
9,01,10,2,0.10281
9,01,10,3,0.072919
9,01,10,4,0.083348
9,01,10,5,0.15204
9,01,10,6,0.158202
9,01,10,7,0.142959
9,01,11,0,0.125845
9,01,11,1,0.113506
9,01,11,2,0.094795
9,01,11,3,0.08406
9,01,11,4,0.081068
9,01,11,5,0.070466
9,01,11,6,0.031897
9,01,11,7,0.079229
9,01,12,0,0.171901
9,01,12,1,0.307375
9,01,12,2,0.351524
9,01,12,3,0.561705
9,01,12,4,0.295051
9,01,12,5,0.395362
9,01,12,6,0.350652
9,01,12,7,0.398065
9,01,13,0,0.444342
9,01,13,1,0.39829
9,01,13,2,0.342794
9,01,13,3,0.362572
9,01,13,4,0.283088
9,01,13,5,0.100251
9,01,13,6,0.026412
9,01,13,7,0.059672
9,01,14,0,0.053037
9,01,14,1,0.058405
9,01,14,2,0.054926
9,01,14,3,0.043088
9,01,14,4,0.044974
9,01,14,5,0.042059
9,01,14,6,0.045392
9,01,14,7,0.082505
9,01,15,0,0.093731
9,01,15,1,0.0892
9,01,15,2,0.083401
9,01,15,3,0.085789
9,01,15,4,0.097599
9,01,15,5,0.104051
9,01,15,6,0.117408
9,01,15,7,0.150713
9,01,16,0,0.133027
9,01,16,1,0.152082
9,01,16,2,0.161087
9,01,16,3,0.170594
9,01,16,4,0.20022
9,01,16,5,0.245296
9,01,16,6,0.288362
9,01,16,7,0.303169
9,01,17,0,0.316493
9,01,17,1,0.298151
9,01,17,2,0.2738
9,01,17,3,0.222403
9,01,17,4,0.146946
9,01,17,5,0.143064
9,01,17,6,0.225947
9,01,17,7,0.242742
9,01,18,0,0.258194
9,01,18,1,0.23555
9,01,18,2,0.298664
9,01,18,3,0.263882
9,01,18,4,0.237725
9,01,18,5,0.197508
9,01,18,6,0.216396
9,01,18,7,0.243764
9,01,19,0,0.244443
9,01,19,1,0.216481
9,01,19,2,0.205756
