####################################################################################################
# Month: 04Apr                                                                                     #
# Station: OVRO                                                                                    #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
2014,04,27,0,0.270436
2014,04,27,1,0.387526
2014,04,27,2,0.468619
2014,04,27,3,0.493512
2014,04,27,4,0.534776
2014,04,27,5,0.55498
2014,04,27,6,0.386157
2014,04,27,7,0.263208
2014,04,28,0,0.236757
2014,04,28,1,0.355495
2014,04,28,2,0.374232
2014,04,28,3,0.142012
2014,04,28,4,0.496228
2014,04,28,5,0.641309
2014,04,28,6,0.464002
2014,04,28,7,0.309449
2014,04,29,0,0.268359
2014,04,29,1,0.306179
2014,04,29,2,0.250392
2014,04,29,3,0.264259
2014,04,29,4,0.274976
2014,04,29,5,0.282861
2014,04,29,6,0.215459
2014,04,29,7,0.15243
2014,04,30,0,0.129163
2014,04,30,1,0.136785
2014,04,30,2,0.14255
2014,04,30,3,0.171927
2014,04,30,4,0.195049
2014,04,30,5,0.21842
2014,04,30,6,0.129313
2014,04,30,7,0.080332
2015,04,1,0,0.142026
2015,04,1,1,0.120656
2015,04,1,2,0.140658
2015,04,1,3,0.276502
2015,04,1,4,0.291211
2015,04,1,5,0.266188
2015,04,1,6,0.195094
2015,04,1,7,0.091956
2015,04,2,0,0.089967
2015,04,2,1,0.133359
2015,04,2,2,0.180219
2015,04,2,3,0.328394
2015,04,2,4,0.436918
2015,04,2,5,0.437286
2015,04,2,6,0.306296
2015,04,2,7,0.199532
2015,04,3,0,0.156873
2015,04,3,1,0.153076
2015,04,3,2,0.149855
2015,04,3,3,0.157129
2015,04,3,4,0.178067
2015,04,3,5,0.179285
2015,04,3,6,0.166346
2015,04,3,7,0.132569
2015,04,4,0,0.122759
2015,04,4,1,0.155127
2015,04,4,2,0.186328
2015,04,4,3,0.169775
2015,04,4,4,0.144178
2015,04,4,5,0.131128
2015,04,4,6,0.116346
2015,04,4,7,0.096667
2015,04,5,0,0.10153
2015,04,5,1,0.150148
2015,04,5,2,0.143474
2015,04,5,3,0.141701
2015,04,5,4,0.200309
2015,04,5,5,0.225431
2015,04,5,6,0.186933
2015,04,5,7,0.183745
2015,04,6,0,0.24346
2015,04,6,1,0.443824
2015,04,6,2,0.49652
2015,04,6,3,0.499492
2015,04,6,4,0.426581
2015,04,6,5,0.361069
2015,04,6,6,0.254157
2015,04,6,7,0.171582
2015,04,7,0,0.194745
2015,04,7,1,0.339185
2015,04,7,2,0.326807
2015,04,7,3,0.375098
2015,04,7,4,0.412106
2015,04,7,5,0.408966
2015,04,7,6,0.341376
2015,04,7,7,0.387428
2015,04,8,0,0.404128
2015,04,8,1,0.465356
2015,04,8,2,0.465269
2015,04,8,3,0.448609
2015,04,8,4,0.486671
2015,04,8,5,0.50293
2015,04,8,6,0.370313
2015,04,8,7,0.247291
2015,04,9,0,0.180811
2015,04,9,1,0.175549
2015,04,9,2,0.230603
2015,04,9,3,0.338403
2015,04,9,4,0.431276
2015,04,9,5,0.483008
2015,04,9,6,0.402075
2015,04,9,7,0.283228
2015,04,10,0,0.255298
2015,04,10,1,0.266235
2015,04,10,2,0.267318
2015,04,10,3,0.26894
2015,04,10,4,0.272192
2015,04,10,5,0.290797
2015,04,10,6,0.245473
2015,04,10,7,0.189834
2015,04,11,0,0.173769
2015,04,11,1,0.223279
2015,04,11,2,0.296021
2015,04,11,3,0.286353
2015,04,11,4,0.284508
2015,04,11,5,0.365308
2015,04,11,6,0.313356
2015,04,11,7,0.218386
2015,04,12,0,0.166954
2015,04,12,1,0.194544
2015,04,12,2,0.238273
2015,04,12,3,0.419875
2015,04,12,4,0.53626
2015,04,12,5,0.527534
2015,04,12,6,0.314207
2015,04,12,7,0.191584
2015,04,13,0,0.152326
2015,04,13,1,0.160694
2015,04,13,2,0.166226
2015,04,13,3,0.171876
2015,04,13,4,0.194046
2015,04,13,5,0.222571
2015,04,13,6,0.165747
2015,04,13,7,0.118165
2015,04,14,0,0.127696
2015,04,14,1,0.262234
2015,04,14,2,0.358727
2015,04,14,3,0.368556
2015,04,14,4,0.296217
2015,04,14,5,0.183119
2015,04,14,6,0.080501
2015,04,14,7,0.067805
2015,04,15,0,0.085446
2015,04,15,1,0.152075
2015,04,15,2,0.243628
2015,04,15,3,0.279858
2015,04,15,4,0.322046
2015,04,15,5,0.317969
2015,04,15,6,0.200183
2015,04,15,7,0.12007
2015,04,16,0,0.137183
2015,04,16,1,0.173718
2015,04,16,2,0.205249
2015,04,16,3,0.256274
2015,04,16,4,0.302075
2015,04,16,5,0.339698
2015,04,16,6,0.244954
2015,04,16,7,0.196567
2015,04,17,0,0.162449
2015,04,17,1,0.186549
2015,04,17,2,0.256251
2015,04,17,3,0.311133
2015,04,17,4,0.348595
2015,04,17,5,0.372952
2015,04,17,6,0.238307
2015,04,17,7,0.122937
2015,04,18,0,0.086782
2015,04,18,1,0.091091
2015,04,18,2,0.113441
2015,04,18,3,0.138269
2015,04,18,4,0.148193
2015,04,18,5,0.157727
2015,04,18,6,0.143115
2015,04,18,7,0.123657
2015,04,19,0,0.112854
2015,04,19,1,0.1211
2015,04,19,2,0.149903
2015,04,19,3,0.187124
2015,04,19,4,0.20608
2015,04,19,5,0.26075
2015,04,19,6,0.229542
2015,04,19,7,0.180371
2015,04,20,0,0.155749
2015,04,20,1,0.202102
2015,04,20,2,0.241493
2015,04,20,3,0.142725
2015,04,20,4,0.110752
2015,04,20,5,0.155713
2015,04,20,6,0.148023
2015,04,20,7,0.135584
2015,04,21,0,0.132251
2015,04,21,1,0.163416
2015,04,21,2,0.186345
2015,04,21,3,0.192446
2015,04,21,4,0.192815
2015,04,21,5,0.223108
2015,04,21,6,0.260451
2015,04,21,7,0.224073
2015,04,22,0,0.204317
2015,04,22,1,0.253517
2015,04,22,2,0.25655
2015,04,22,3,0.281689
2015,04,22,4,0.360888
2015,04,22,5,0.46001
2015,04,22,6,0.390944
2015,04,22,7,0.306494
2015,04,23,0,0.278736
2015,04,23,1,0.293506
2015,04,23,2,0.330176
2015,04,23,3,0.415357
2015,04,23,4,0.547803
2015,04,23,5,0.621191
2015,04,23,6,0.525978
2015,04,23,7,0.417432
2015,04,24,0,0.437167
2015,04,24,1,0.636768
2015,04,24,2,0.771583
2015,04,24,3,0.690772
2015,04,24,4,0.581592
2015,04,24,5,0.48501
2015,04,24,6,0.380249
2015,04,24,7,0.290405
2015,04,25,0,0.31851
2015,04,25,1,0.436551
2015,04,25,2,0.416196
2015,04,25,3,0.429443
2015,04,25,4,0.530372
2015,04,25,5,0.567698
2015,04,25,6,0.476192
2015,04,25,7,0.318391
2015,04,26,0,0.26622
2015,04,26,1,0.330886
2015,04,26,2,0.473203
2015,04,26,3,0.576026
2015,04,26,4,0.705531
2015,04,26,5,0.696387
2015,04,26,6,0.466261
2015,04,26,7,0.31565
2015,04,27,0,0.304083
2015,04,27,1,0.365187
2015,04,27,2,0.412918
2015,04,27,3,0.41901
2015,04,27,4,0.373443
2015,04,27,5,0.338438
2015,04,27,6,0.226607
2015,04,27,7,0.135329
2015,04,28,0,0.108934
2015,04,28,1,0.114193
2015,04,28,2,0.126366
2015,04,28,3,0.163196
2015,04,28,4,0.216931
2015,04,28,5,0.259863
2015,04,28,6,0.220581
2015,04,28,7,0.172877
2015,04,29,0,0.154712
2015,04,29,1,0.181556
2015,04,29,2,0.230224
2015,04,29,3,0.253969
2015,04,29,4,0.259437
2015,04,29,5,0.290441
2015,04,29,6,0.245228
2015,04,29,7,0.207119
2015,04,30,0,0.210366
2015,04,30,1,0.266284
2015,04,30,2,0.299542
2015,04,30,3,0.29519
2015,04,30,4,0.345637
2015,04,30,5,0.322472
2015,04,30,6,0.373612
2015,04,30,7,0.329932
2016,04,1,0,0.337088
2016,04,1,1,0.361939
2016,04,1,2,0.399295
2016,04,1,3,0.417139
2016,04,1,4,0.454346
2016,04,1,5,0.486133
2016,04,1,6,0.45567
2016,04,1,7,0.343132
2016,04,2,0,0.288138
2016,04,2,1,0.300317
2016,04,2,2,0.320302
2016,04,2,3,0.341874
2016,04,2,4,0.370491
2016,04,2,5,0.408426
2016,04,2,6,0.382355
2016,04,2,7,0.322268
2016,04,3,0,0.31343
2016,04,3,1,0.368287
2016,04,3,2,0.434375
2016,04,3,3,0.444096
2016,04,3,4,0.445755
2016,04,3,5,0.430564
2016,04,3,6,0.402584
2016,04,3,7,0.315772
2016,04,4,0,0.282685
2016,04,4,1,0.321655
2016,04,4,2,0.391749
2016,04,4,3,0.360841
2016,04,4,4,0.341165
2016,04,4,5,0.354785
2016,04,4,6,0.33887
2016,04,4,7,0.229811
2016,04,5,0,0.164002
2016,04,5,1,0.142631
2016,04,5,2,0.152702
2016,04,5,3,0.222742
2016,04,5,4,0.221097
2016,04,5,5,0.376585
2016,04,5,6,0.284588
2016,04,5,7,0.18848
2016,04,6,0,0.133886
2016,04,6,1,0.127345
2016,04,6,2,0.154473
2016,04,6,3,0.231397
2016,04,6,4,0.258471
2016,04,6,5,0.265765
2016,04,6,6,0.259988
2016,04,6,7,0.185535
2016,04,7,0,0.160706
2016,04,7,1,0.165308
2016,04,7,2,0.199858
2016,04,7,3,0.220532
2016,04,7,4,0.243425
2016,04,7,5,0.206628
2016,04,7,6,0.207934
2016,04,7,7,0.187171
2016,04,8,0,0.204689
2016,04,8,1,0.226013
2016,04,8,2,0.256788
2016,04,8,3,0.284595
2016,04,8,4,0.370752
2016,04,8,5,0.495947
2016,04,8,6,0.547125
2016,04,8,7,0.79248
2016,04,9,0,0.889847
2016,04,9,1,0.977092
2016,04,9,2,0.96416
2016,04,9,3,0.971292
2016,04,9,4,0.982162
2016,04,9,5,0.91778
2016,04,9,6,0.826199
2016,04,9,7,0.649223
2016,04,10,0,0.552975
2016,04,10,1,0.608641
2016,04,10,2,0.762016
2016,04,10,3,0.87774
2016,04,10,4,0.940894
2016,04,10,5,0.93667
2016,04,10,6,0.824216
2016,04,10,7,0.671772
2016,04,11,0,0.609436
2016,04,11,1,0.679605
2016,04,11,2,0.746976
2016,04,11,3,0.813219
2016,04,11,4,0.869158
2016,04,11,5,0.919434
2016,04,11,6,0.807916
2016,04,11,7,0.683594
2016,04,12,0,0.625391
2016,04,12,1,0.679598
2016,04,12,2,0.71709
2016,04,12,3,0.714503
2016,04,12,4,0.651033
2016,04,12,5,0.605372
2016,04,12,6,0.560498
2016,04,12,7,0.463428
2016,04,13,0,0.425098
2016,04,13,1,0.458305
2016,04,13,2,0.506449
2016,04,13,3,0.532617
2016,04,13,4,0.534279
2016,04,13,5,0.325356
2016,04,13,6,0.437893
2016,04,13,7,0.342188
2016,04,14,0,0.309635
2016,04,14,1,0.387476
2016,04,14,2,0.359515
2016,04,14,3,0.31297
2016,04,14,4,0.201741
2016,04,14,5,0.231066
2016,04,14,6,0.224841
2016,04,14,7,0.160628
2016,04,15,0,0.198701
2016,04,15,1,0.289565
2016,04,15,2,0.330667
2016,04,15,3,0.493512
2016,04,15,4,0.645071
2016,04,15,5,0.630957
2016,04,15,6,0.45061
2016,04,15,7,0.324341
2016,04,16,0,0.239635
2016,04,16,1,0.246754
2016,04,16,2,0.356355
2016,04,16,3,0.424366
2016,04,16,4,0.431496
2016,04,16,5,0.376074
2016,04,16,6,0.286963
2016,04,16,7,0.184937
2016,04,17,0,0.140981
2016,04,17,1,0.138375
2016,04,17,2,0.174839
2016,04,17,3,0.235864
2016,04,17,4,0.271119
2016,04,17,5,0.251758
2016,04,17,6,0.192383
2016,04,17,7,0.142908
2016,04,18,0,0.118328
2016,04,18,1,0.117298
2016,04,18,2,0.126074
2016,04,18,3,0.162281
2016,04,18,4,0.192786
