####################################################################################################
# Month: 08Aug                                                                                     #
# Station: OVRO                                                                                    #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,08,1,0,3.027187,276.3246
2009,08,1,1,2.834525,273.0437
2009,08,1,2,2.767214,271.3621
2009,08,1,3,3.114533,276.0383
2009,08,1,4,3.223328,276.7865
2009,08,1,5,3.220982,276.0793
2009,08,1,6,2.942123,272.4453
2009,08,1,7,2.778547,270.7485
2009,08,2,0,2.774501,271.3659
2009,08,2,1,2.440883,263.7869
2009,08,2,2,2.076189,252.9969
2009,08,2,3,1.859734,243.8494
2009,08,2,4,1.64695,232.2736
2009,08,2,5,1.606862,229.2782
2009,08,2,6,1.544747,225.318
2009,08,2,7,1.495131,222.8742
2009,08,3,0,1.643685,231.9843
2009,08,3,1,1.684533,234.7615
2009,08,3,2,1.557062,227.3163
2009,08,3,3,1.115482,193.4405
2009,08,3,4,1.171836,197.9971
2009,08,3,5,1.349919,211.6986
2009,08,3,6,1.306215,207.1547
2009,08,3,7,1.163655,195.7604
2009,08,4,0,1.314703,208.7624
2009,08,4,1,1.637478,228.2846
2009,08,4,2,2.090424,249.1192
2009,08,4,3,5.34516,287.7182
2009,08,4,4,5.750731,287.8362
2009,08,4,5,3.686734,278.7875
2009,08,4,6,3.629986,278.8818
2009,08,4,7,3.575539,280.1672
2009,08,5,0,3.552215,280.7321
2009,08,5,1,4.069584,284.3059
2009,08,5,2,3.789962,280.6791
2009,08,5,3,7.797222,290.5531
2009,08,5,4,3.649966,279.8754
2009,08,5,5,3.427827,277.3809
2009,08,5,6,3.335814,276.9439
2009,08,5,7,3.423131,279.4246
2009,08,6,0,2.954208,273.3531
2009,08,6,1,2.362565,259.1161
2009,08,6,2,1.988862,246.2282
2009,08,6,3,1.614988,227.7033
2009,08,6,4,1.153173,193.8622
2009,08,6,5,1.263382,201.224
2009,08,6,6,1.286969,203.1261
2009,08,6,7,1.207565,197.4337
2009,08,7,0,1.511287,219.9484
2009,08,7,1,1.577942,223.869
2009,08,7,2,1.463893,216.1186
2009,08,7,3,1.689258,227.9802
2009,08,7,4,1.706115,227.9656
2009,08,7,5,1.824159,232.8137
2009,08,7,6,1.879516,235.5065
2009,08,7,7,1.885995,237.2191
2009,08,8,0,2.008143,243.176
2009,08,8,1,2.155172,248.0215
2009,08,8,2,2.230948,249.5545
2009,08,8,3,2.639864,259.064
2009,08,8,4,2.857637,263.5157
2009,08,8,5,2.839095,263.3869
2009,08,8,6,2.629232,261.0938
2009,08,8,7,2.521178,260.7027
2009,08,9,0,2.595765,263.1197
2009,08,9,1,2.474277,259.3307
2009,08,9,2,2.112777,248.0259
2009,08,9,3,2.04306,245.0894
2009,08,9,4,2.085502,246.438
2009,08,9,5,2.086817,246.6269
2009,08,9,6,2.012457,244.6533
2009,08,9,7,2.018935,246.3106
2009,08,10,0,2.224977,254.1049
2009,08,10,1,2.436688,259.7468
2009,08,10,2,2.260362,254.2982
2009,08,10,3,2.133692,249.9398
2009,08,10,4,2.090474,248.4492
2009,08,10,5,1.977471,244.8228
2009,08,10,6,2.173417,253.5335
2009,08,10,7,2.107711,251.626
2009,08,11,0,1.884273,242.0509
2009,08,11,1,1.916521,243.1152
2009,08,11,2,1.782634,237.5445
2009,08,11,3,1.653929,231.3432
2009,08,11,4,1.582463,228.0183
2009,08,11,5,1.568511,227.0163
2009,08,11,6,1.56481,226.993
2009,08,11,7,1.653765,232.1327
2009,08,12,0,1.799092,240.0437
2009,08,12,1,2.13312,253.5653
2009,08,12,2,2.226458,257.9238
2009,08,12,3,2.180134,254.8879
2009,08,12,4,2.052682,250.1004
2009,08,12,5,1.778448,238.7649
2009,08,12,6,1.878258,243.6752
2009,08,12,7,1.881019,243.1927
2009,08,13,0,2.25549,258.4429
2009,08,13,1,2.449441,263.4637
2009,08,13,2,2.494557,264.0198
2009,08,13,3,2.325012,259.0092
2009,08,13,4,2.183733,253.5622
2009,08,13,5,1.952194,244.6375
2009,08,13,6,1.862446,241.8692
2009,08,13,7,1.862833,242.7947
2009,08,14,0,2.062429,251.7047
2009,08,14,1,1.882429,242.9746
2009,08,14,2,1.981985,246.3061
2009,08,14,3,1.920136,243.5132
2009,08,14,4,1.762297,236.355
2009,08,14,5,1.576369,226.2012
2009,08,14,6,1.301977,207.8651
2009,08,14,7,1.239463,203.6539
2009,08,15,0,1.324029,210.6553
2009,08,15,1,1.314233,209.4513
2009,08,15,2,1.112615,191.5118
2009,08,15,3,1.015567,182.0759
2009,08,15,4,0.8963521,169.7246
2009,08,15,5,1.317591,208.3797
2009,08,15,6,1.326957,209.3462
2009,08,15,7,1.151711,196.0217
2009,08,16,0,1.104525,191.8402
2009,08,16,1,1.209139,200.3352
2009,08,16,2,1.583246,226.9895
2009,08,16,3,1.081837,188.3476
2009,08,16,4,1.042331,184.3497
2009,08,16,5,1.019226,182.062
2009,08,16,6,1.039916,184.4192
2009,08,16,7,1.042656,185.6925
2009,08,17,0,1.20585,201.7222
2009,08,17,1,1.242399,204.1422
2009,08,17,2,1.158714,196.824
2009,08,17,3,1.085585,189.8164
2009,08,17,4,1.123767,193.1674
2009,08,17,5,1.141574,194.585
2009,08,17,6,1.115803,192.4281
2009,08,17,7,1.140883,195.3167
2009,08,18,0,1.193949,200.4739
2009,08,18,1,1.420382,218.1163
2009,08,18,2,1.335625,211.6448
2009,08,18,3,1.340035,211.9469
2009,08,18,4,1.297062,208.3334
2009,08,18,5,1.256041,204.5462
2009,08,18,6,1.290823,207.1568
2009,08,18,7,1.355243,212.4282
2009,08,19,0,1.554929,226.1607
2009,08,19,1,1.515937,222.9691
2009,08,19,2,1.485151,220.9345
2009,08,19,3,1.455018,218.6725
2009,08,19,4,1.490301,220.4699
2009,08,19,5,1.488685,220.2578
2009,08,19,6,1.456392,218.3496
2009,08,19,7,1.52251,223.6328
2009,08,20,0,1.420037,217.1706
2009,08,20,1,1.446077,219.674
2009,08,20,2,1.683922,234.6622
2009,08,20,3,1.752118,237.9033
2009,08,20,4,1.811313,240.4357
2009,08,20,5,2.049259,250.2782
2009,08,20,6,2.228359,256.7956
2009,08,20,7,2.380809,262.2026
2009,08,21,0,2.397645,263.3
2009,08,21,1,2.258359,259.3157
2009,08,21,2,2.082528,253.5458
2009,08,21,3,2.12991,254.75
2009,08,21,4,2.135579,254.1933
2009,08,21,5,2.241517,257.0192
2009,08,21,6,2.351207,260.2249
2009,08,21,7,2.545679,266.0464
2009,08,22,0,2.969476,275.0446
2009,08,22,1,3.1678,278.1342
2009,08,22,2,3.135853,277.4916
2009,08,22,3,3.254102,278.4059
2009,08,22,4,3.432039,277.6876
2009,08,22,5,3.282775,275.1382
2009,08,22,6,3.916169,280.2742
2009,08,22,7,5.19454,284.6649
2009,08,23,0,6.072521,283.9976
2009,08,23,1,6.128777,284.0945
2009,08,23,2,6.538085,283.915
2009,08,23,3,6.295419,283.5335
2009,08,23,4,5.079669,282.5096
2009,08,23,5,4.420829,280.5267
2009,08,23,6,3.897044,278.9626
2009,08,23,7,3.644047,278.593
2009,08,24,0,3.678564,279.0572
2009,08,24,1,4.446378,281.1914
2009,08,24,2,4.856069,281.6811
2009,08,24,3,4.57999,280.2799
2009,08,24,4,4.307959,278.8484
2009,08,24,5,3.799737,276.2932
2009,08,24,6,3.590634,275.8534
2009,08,24,7,3.49446,276.868
2009,08,25,0,3.460601,277.8323
2009,08,25,1,3.338052,275.9518
2009,08,25,2,2.736004,266.8141
2009,08,25,3,2.178181,252.9941
2009,08,25,4,1.970677,245.454
2009,08,25,5,1.930386,243.8016
2009,08,25,6,1.759003,236.3688
2009,08,25,7,1.499262,222.6773
2009,08,26,0,1.364264,213.9812
2009,08,26,1,1.306793,209.3018
2009,08,26,2,1.250156,204.4548
2009,08,26,3,1.184144,198.6613
2009,08,26,4,1.081486,189.2142
2009,08,26,5,1.075041,189.176
2009,08,26,6,1.029049,184.6908
2009,08,26,7,1.016079,183.3971
2009,08,27,0,1.127688,194.7198
2009,08,27,1,1.24177,204.5189
2009,08,27,2,1.25025,205.8181
2009,08,27,3,1.205001,202.0648
2009,08,27,4,1.141288,196.3476
2009,08,27,5,1.115434,194.0596
2009,08,27,6,1.181199,200.0377
2009,08,27,7,1.310658,211.5778
2009,08,28,0,1.466645,223.4397
2009,08,28,1,1.540444,227.9171
2009,08,28,2,1.501701,225.5328
2009,08,28,3,1.640701,233.1129
2009,08,28,4,1.857028,243.0767
2009,08,28,5,1.882305,243.9795
2009,08,28,6,2.354554,261.391
2009,08,28,7,2.70258,270.9567
2009,08,29,0,2.578069,267.7478
2009,08,29,1,2.389392,262.8146
2009,08,29,2,2.372504,263.0979
2009,08,29,3,2.368702,262.275
2009,08,29,4,1.968752,247.0904
2009,08,29,5,1.79964,239.591
2009,08,29,6,1.847035,242.2002
2009,08,29,7,2.209193,258.2033
2009,08,30,0,2.149158,256.4754
2009,08,30,1,1.923058,247.3283
2009,08,30,2,2.123462,254.5225
2009,08,30,3,2.399324,262.5525
2009,08,30,4,2.53923,265.3387
2009,08,30,5,2.269611,258.0885
2009,08,30,6,1.779882,239.4796
2009,08,30,7,2.031043,251.3672
2009,08,31,0,2.131085,254.2403
2009,08,31,1,2.447693,262.9882
2009,08,31,2,2.526523,264.2266
2009,08,31,3,2.450244,261.6179
2009,08,31,4,2.386316,259.2859
2009,08,31,5,2.384867,259.0118
2009,08,31,6,2.360493,258.691
2009,08,31,7,2.699306,268.3171
2010,08,1,0,1.807324,243.0192
2010,08,1,1,1.719703,238.0923
2010,08,1,2,1.675386,233.3861
2010,08,1,3,1.608594,229.1934
2010,08,1,4,1.488859,221.6555
2010,08,1,5,1.376394,213.8338
2010,08,1,6,1.328246,211.1551
2010,08,1,7,1.424478,219.3964
2010,08,2,0,1.571308,229.5535
2010,08,2,1,1.791858,241.2317
2010,08,2,2,1.738195,237.5079
2010,08,2,3,2.815193,272.6377
2010,08,2,4,1.388568,216.0688
2010,08,2,5,1.346062,212.294
2010,08,2,6,1.503449,223.7083
2010,08,2,7,1.5127,225.2243
2010,08,3,0,1.411721,219.0635
2010,08,3,1,1.251569,206.0897
2010,08,3,2,1.130802,194.8794
2010,08,3,3,1.014768,183.1191
2010,08,3,4,0.9567601,177.3858
2010,08,3,5,0.9395241,175.8256
2010,08,3,6,1.002472,182.6312
2010,08,3,7,0.9991036,182.8441
2010,08,4,0,1.026719,186.0089
2010,08,4,1,1.058758,189.0962
2010,08,4,2,1.014409,184.9896
2010,08,4,3,0.9672902,180.3185
2010,08,4,4,0.9012634,172.8226
2010,08,4,5,0.8657394,168.4729
2010,08,4,6,0.8246516,163.6582
2010,08,4,7,0.8200936,162.7654
2010,08,5,0,0.9285873,174.8354
2010,08,5,1,1.081732,191.1122
2010,08,5,2,1.119224,195.1059
2010,08,5,3,1.100877,193.0446
2010,08,5,4,1.132595,195.8272
2010,08,5,5,1.090495,191.8249
2010,08,5,6,0.9448498,176.7831
2010,08,5,7,0.8771177,169.0757
2010,08,6,0,1.208985,203.1377
2010,08,6,1,1.232021,204.7821
2010,08,6,2,1.20757,202.742
2010,08,6,3,1.215189,202.2907
2010,08,6,4,1.387785,215.0256
2010,08,6,5,1.312926,209.6793
2010,08,6,6,1.284164,208.3112
2010,08,6,7,1.240193,204.7957
2010,08,7,0,1.273077,206.3903
2010,08,7,1,1.508515,223.1262
2010,08,7,2,1.55158,226.3391
2010,08,7,3,1.323707,210.6671
2010,08,7,4,1.477353,220.9613
2010,08,7,5,1.433557,217.6575
2010,08,7,6,1.373911,213.6913
2010,08,7,7,1.535969,224.0626
2010,08,8,0,1.727878,233.8883
2010,08,8,1,2.031559,248.1419
2010,08,8,2,2.135971,252.3015
2010,08,8,3,1.908984,242.7826
2010,08,8,4,1.693606,231.6911
2010,08,8,5,1.661535,228.9058
2010,08,8,6,1.542426,222.1358
2010,08,8,7,1.715653,231.6708
2010,08,9,0,2.098956,247.3522
2010,08,9,1,2.442583,257.4998
2010,08,9,2,2.520782,259.8873
2010,08,9,3,2.510549,259.3919
2010,08,9,4,2.237026,252.0108
2010,08,9,5,1.809507,236.1119
2010,08,9,6,1.583207,224.8827
2010,08,9,7,1.625365,227.6375
2010,08,10,0,1.653826,229.9251
2010,08,10,1,1.660643,230.2308
2010,08,10,2,1.665028,230.6607
2010,08,10,3,1.435179,217.6565
2010,08,10,4,1.410997,215.5571
2010,08,10,5,1.411895,214.7556
