####################################################################################################
# Month: 09Sep                                                                                     #
# Station: PAM                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,09,1,0,0.7001774,135.2829
2009,09,1,1,0.693788,133.6996
2009,09,1,2,0.6610976,129.7504
2009,09,1,3,0.5816477,119.0716
2009,09,1,4,0.6243948,124.6941
2009,09,1,5,0.5431195,113.2942
2009,09,1,6,0.3739853,86.00753
2009,09,1,7,0.3667193,84.43965
2009,09,2,0,0.391539,88.36472
2009,09,2,1,0.580884,116.7156
2009,09,2,2,0.5423116,111.4364
2009,09,2,3,0.5150065,108.021
2009,09,2,4,0.5184259,108.4161
2009,09,2,5,0.6384431,124.6307
2009,09,2,6,0.7865978,142.9598
2009,09,2,7,0.7247773,136.1903
2009,09,3,0,0.7437964,138.1465
2009,09,3,1,0.8271387,147.6475
2009,09,3,2,0.837455,148.6453
2009,09,3,3,0.8327252,148.6701
2009,09,3,4,0.8386857,149.479
2009,09,3,5,0.7829411,142.7268
2009,09,3,6,0.6443467,125.4482
2009,09,3,7,0.5631054,114.076
2009,09,4,0,0.4620176,98.79269
2009,09,4,1,0.5013318,104.3753
2009,09,4,2,0.3987753,88.58216
2009,09,4,3,0.3839258,86.03808
2009,09,4,4,0.4399039,94.87537
2009,09,4,5,0.4337291,93.62791
2009,09,4,6,0.3247084,75.59114
2009,09,4,7,0.2030127,52.71409
2009,09,5,0,0.1731175,46.45083
2009,09,5,1,0.2191275,55.90592
2009,09,5,2,0.2863029,68.81624
2009,09,5,3,0.3149463,74.03612
2009,09,5,4,0.3248028,75.70668
2009,09,5,5,0.3334866,77.45657
2009,09,5,6,0.2837446,68.59636
2009,09,5,7,0.1859006,49.28577
2009,09,6,0,0.1481198,41.1879
2009,09,6,1,0.1644956,44.69931
2009,09,6,2,0.1832343,48.65381
2009,09,6,3,0.1823956,48.48287
2009,09,6,4,0.1818448,48.35102
2009,09,6,5,0.1731886,46.70176
2009,09,6,6,0.1550412,42.92476
2009,09,6,7,0.1546772,42.90003
2009,09,7,0,0.1437827,40.52211
2009,09,7,1,0.1621128,44.34174
2009,09,7,2,0.1713155,46.24402
2009,09,7,3,0.1731687,46.58886
2009,09,7,4,0.1773058,47.37826
2009,09,7,5,0.1713083,46.20324
2009,09,7,6,0.1417259,39.88933
2009,09,7,7,0.1325852,37.81324
2009,09,8,0,0.1568194,43.23658
2009,09,8,1,0.1969699,51.78265
2009,09,8,2,0.2357936,59.81843
2009,09,8,3,0.2877383,69.92154
2009,09,8,4,0.3265249,76.77014
2009,09,8,5,0.2986624,71.62219
2009,09,8,6,0.2614637,64.34949
2009,09,8,7,0.2607245,64.02301
2009,09,9,0,0.3296697,76.93017
2009,09,9,1,0.4392761,95.8663
2009,09,9,2,0.4237251,93.38015
2009,09,9,3,0.3441605,80.20792
2009,09,9,4,0.1965634,51.68955
2009,09,9,5,0.0962884,29.74779
2009,09,9,6,0.0838296,26.76887
2009,09,9,7,0.07744438,25.27438
2009,09,10,0,0.08241461,26.43619
2009,09,10,1,0.09046298,28.36966
2009,09,10,2,0.09510649,29.51135
2009,09,10,3,0.09984416,30.63279
2009,09,10,4,0.1074407,32.12907
2009,09,10,5,0.1050743,31.61608
2009,09,10,6,0.1220085,35.41964
2009,09,10,7,0.159538,43.66157
2009,09,11,0,0.1775324,47.68041
2009,09,11,1,0.1732833,46.80879
2009,09,11,2,0.2176275,56.06542
2009,09,11,3,0.2908207,70.37307
2009,09,11,4,0.3230651,76.20608
2009,09,11,5,0.3123314,74.07719
2009,09,11,6,0.3541064,81.42069
2009,09,11,7,0.4377267,95.12362
2009,09,12,0,0.4491002,96.99434
2009,09,12,1,0.3903732,87.75323
2009,09,12,2,0.3485742,80.98307
2009,09,12,3,0.3688085,84.62061
2009,09,12,4,0.4233542,93.35462
2009,09,12,5,0.4676667,100.3346
2009,09,12,6,0.4211797,92.90577
2009,09,12,7,0.4257786,93.26442
2009,09,13,0,0.3588659,82.14361
2009,09,13,1,0.3457625,80.0651
2009,09,13,2,0.3584113,82.38815
2009,09,13,3,0.3902587,87.8293
2009,09,13,4,0.4282061,94.0986
2009,09,13,5,0.426483,93.97743
2009,09,13,6,0.4015459,90.06486
2009,09,13,7,0.4052377,90.51706
2009,09,14,0,0.3782453,85.81089
2009,09,14,1,0.3361824,78.4949
2009,09,14,2,0.3316356,77.67456
2009,09,14,3,0.3315501,77.61404
2009,09,14,4,0.3438308,79.78114
2009,09,14,5,0.3526976,81.58639
2009,09,14,6,0.3711576,85.03583
2009,09,14,7,0.3955608,89.27844
2009,09,15,0,0.3505954,81.37243
2009,09,15,1,0.3265003,76.96713
2009,09,15,2,0.3369383,78.78331
2009,09,15,3,0.3427773,79.84069
2009,09,15,4,0.416245,92.24921
2009,09,15,5,0.4655833,100.5728
2009,09,15,6,0.4428675,97.22992
2009,09,15,7,0.450384,97.73582
2009,09,16,0,0.4774008,101.7495
2009,09,16,1,0.5359137,110.7011
2009,09,16,2,0.5951442,119.1495
2009,09,16,3,0.6371255,125.1416
2009,09,16,4,0.6297653,124.5019
2009,09,16,5,0.6018464,120.6462
2009,09,16,6,0.5599856,114.8333
2009,09,16,7,0.4998735,106.2567
2009,09,17,0,0.477034,102.4581
2009,09,17,1,0.610661,121.1443
2009,09,17,2,0.8540639,150.5694
2009,09,17,3,0.7225302,136.4192
2009,09,17,4,0.6894576,132.3463
2009,09,17,5,0.5746189,117.0924
2009,09,17,6,0.3938301,89.57239
2009,09,17,7,0.2874112,70.28927
2009,09,18,0,0.3402983,79.98139
2009,09,18,1,0.4017271,91.06741
2009,09,18,2,0.4268255,95.43354
2009,09,18,3,0.5038335,107.5747
2009,09,18,4,0.6725799,130.6114
2009,09,18,5,0.7630634,141.8691
2009,09,18,6,0.6734494,131.5414
2009,09,18,7,0.4816182,104.432
2009,09,19,0,0.3558002,83.04908
2009,09,19,1,0.3544609,82.66137
2009,09,19,2,0.3953555,89.62324
2009,09,19,3,0.4547561,99.08283
2009,09,19,4,0.5277967,110.4395
2009,09,19,5,0.5832271,118.3894
