####################################################################################################
# Month: 02Feb                                                                                     #
# Station: PAR                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,02,1,0,0.113721,34.30292
2009,02,1,1,0.1207401,35.88663
2009,02,1,2,0.1576108,44.40301
2009,02,1,3,0.1901698,51.68013
2009,02,1,4,0.2140814,56.91887
2009,02,1,5,0.3002917,75.30743
2009,02,1,6,0.3501463,85.59114
2009,02,1,7,0.3011723,76.34348
2009,02,2,0,0.1911385,51.98756
2009,02,2,1,0.1662549,46.12339
2009,02,2,2,0.1845594,50.21168
2009,02,2,3,0.2130268,56.47084
2009,02,2,4,0.219563,57.97969
2009,02,2,5,0.2847002,72.17798
2009,02,2,6,0.3178293,79.29395
2009,02,2,7,0.3035004,76.63698
2009,02,3,0,0.2216847,58.93116
2009,02,3,1,0.2162241,57.63512
2009,02,3,2,0.2411542,62.96347
2009,02,3,3,0.2692207,68.71842
2009,02,3,4,0.2664215,68.16897
2009,02,3,5,0.2862098,72.66873
2009,02,3,6,0.2943652,74.71194
2009,02,3,7,0.2286803,60.82894
2009,02,4,0,0.1812432,50.25255
2009,02,4,1,0.1486212,42.58197
2009,02,4,2,0.1513441,43.10319
2009,02,4,3,0.1686583,47.04152
2009,02,4,4,0.1773608,49.02749
2009,02,4,5,0.2242103,59.64408
2009,02,4,6,0.2616352,67.89356
2009,02,4,7,0.2282037,60.46051
2009,02,5,0,0.2025219,54.59842
2009,02,5,1,0.1939675,52.61526
2009,02,5,2,0.1724224,47.854
2009,02,5,3,0.1548506,43.9198
2009,02,5,4,0.1470508,42.14741
2009,02,5,5,0.1536143,43.81399
2009,02,5,6,0.1608814,45.80623
2009,02,5,7,0.1107179,33.68304
2009,02,6,0,0.06462608,21.89964
2009,02,6,1,0.04109972,15.50478
2009,02,6,2,0.05091582,18.12803
2009,02,6,3,0.05671036,19.63659
2009,02,6,4,0.0516586,18.31722
2009,02,6,5,0.1036105,31.82029
2009,02,6,6,0.1569297,44.82254
2009,02,6,7,0.1600945,45.83234
2009,02,7,0,0.1083191,33.10923
2009,02,7,1,0.1076103,32.94394
2009,02,7,2,0.1144334,34.61118
2009,02,7,3,0.1159787,34.87563
2009,02,7,4,0.1029923,31.59713
2009,02,7,5,0.180408,50.15978
2009,02,7,6,0.242769,64.21316
2009,02,7,7,0.2440979,64.88526
2009,02,8,0,0.1371466,40.24381
2009,02,8,1,0.128566,37.99069
2009,02,8,2,0.1606296,45.72758
2009,02,8,3,0.148813,42.83567
2009,02,8,4,0.1218153,36.18456
2009,02,8,5,0.16906,47.3593
2009,02,8,6,0.2337654,61.97118
2009,02,8,7,0.2325205,62.12718
2009,02,9,0,0.1890482,52.1576
2009,02,9,1,0.2288074,60.95339
2009,02,9,2,0.2326946,61.63769
2009,02,9,3,0.2109899,56.65071
2009,02,9,4,0.2208246,58.84905
2009,02,9,5,0.3406989,83.70954
2009,02,9,6,0.3755191,90.52878
2009,02,9,7,0.318768,79.69357
2009,02,10,0,0.2027514,55.31272
2009,02,10,1,0.1491141,42.71812
2009,02,10,2,0.1474066,42.09582
2009,02,10,3,0.2234147,59.41659
2009,02,10,4,0.2214278,59.08625
2009,02,10,5,0.2439971,64.00427
2009,02,10,6,0.2699848,69.69613
2009,02,10,7,0.283305,72.57987
2009,02,11,0,0.2317472,61.95139
2009,02,11,1,0.2268414,60.70973
2009,02,11,2,0.1954216,53.73796
2009,02,11,3,0.1483257,42.74285
2009,02,11,4,0.1190915,35.71194
2009,02,11,5,0.1609296,45.71713
2009,02,11,6,0.2246805,60.45349
2009,02,11,7,0.1868288,52.01211
2009,02,12,0,0.08773942,27.89672
2009,02,12,1,0.08372103,26.91694
2009,02,12,2,0.1031737,32.00377
2009,02,12,3,0.1242424,37.21242
2009,02,12,4,0.1389791,40.80498
2009,02,12,5,0.1891689,52.59935
2009,02,12,6,0.2340908,62.74088
2009,02,12,7,0.1803639,50.88746
2009,02,13,0,0.07530986,24.77592
2009,02,13,1,0.05227725,18.60955
2009,02,13,2,0.05922465,20.41397
2009,02,13,3,0.06707875,22.3621
2009,02,13,4,0.06689661,22.36121
2009,02,13,5,0.1357879,39.6537
2009,02,13,6,0.2219167,59.48682
2009,02,13,7,0.2884319,73.58161
2009,02,14,0,0.2618423,68.21693
2009,02,14,1,0.269268,69.50726
2009,02,14,2,0.2566447,66.76591
2009,02,14,3,0.2409677,63.32636
2009,02,14,4,0.2486413,64.80946
2009,02,14,5,0.2544578,65.9619
2009,02,14,6,0.2808446,71.43452
2009,02,14,7,0.326855,80.67575
2009,02,15,0,0.3108581,77.71135
2009,02,15,1,0.307454,76.64431
2009,02,15,2,0.260229,67.05537
2009,02,15,3,0.2390172,62.60707
2009,02,15,4,0.2492972,64.703
2009,02,15,5,0.3003066,75.17981
2009,02,15,6,0.3731154,89.37376
2009,02,15,7,0.6054511,127.8811
2009,02,16,0,0.456671,103.9917
2009,02,16,1,0.3408382,82.54541
2009,02,16,2,0.2938301,73.29763
2009,02,16,3,0.2710461,68.61275
2009,02,16,4,0.2564868,65.77192
2009,02,16,5,0.2951429,73.81648
2009,02,16,6,0.3478303,84.44537
2009,02,16,7,0.3571107,86.47701
2009,02,17,0,0.3323634,82.10427
2009,02,17,1,0.3710861,89.32304
2009,02,17,2,0.3804228,91.09901
2009,02,17,3,0.3817195,91.14091
2009,02,17,4,0.4014385,94.63206
2009,02,17,5,0.44629,102.7019
2009,02,17,6,0.5011372,112.3165
2009,02,17,7,0.5095914,113.7639
2009,02,18,0,0.5247414,116.2833
2009,02,18,1,0.4944142,111.1443
2009,02,18,2,0.3998959,94.68202
2009,02,18,3,0.3447574,84.13617
2009,02,18,4,0.3016949,75.5861
2009,02,18,5,0.3426997,83.61581
2009,02,18,6,0.3876549,92.41368
2009,02,18,7,0.4142867,97.49731
2009,02,19,0,0.3628093,88.35541
2009,02,19,1,0.3542136,86.59542
2009,02,19,2,0.331169,82.00039
2009,02,19,3,0.3241786,80.44014
2009,02,19,4,0.2872713,73.17933
2009,02,19,5,0.2850188,72.67191
2009,02,19,6,0.3299178,81.97583
2009,02,19,7,0.3524167,86.634
2009,02,20,0,0.2850007,73.40805
2009,02,20,1,0.2690126,69.87737
2009,02,20,2,0.2692207,69.98959
2009,02,20,3,0.2276895,60.93506
2009,02,20,4,0.173584,48.72668
2009,02,20,5,0.2067543,56.2445
2009,02,20,6,0.28706,73.57358
2009,02,20,7,0.2884634,74.37942
2009,02,21,0,0.1919668,53.10418
2009,02,21,1,0.2094921,56.94394
2009,02,21,2,0.1807481,50.40006
2009,02,21,3,0.1846835,51.00856
