####################################################################################################
# Month: 05May                                                                                     #
# Station: PAR                                                                                     #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
9,05,1,0,0.064664
9,05,1,1,0.056812
9,05,1,2,0.056666
9,05,1,3,0.063034
9,05,1,4,0.065804
9,05,1,5,0.078345
9,05,1,6,0.133701
9,05,1,7,0.086406
9,05,2,0,0.061559
9,05,2,1,0.062981
9,05,2,2,0.077005
9,05,2,3,0.089435
9,05,2,4,0.091405
9,05,2,5,0.100673
9,05,2,6,0.092081
9,05,2,7,0.110329
9,05,3,0,0.099421
9,05,3,1,0.112688
9,05,3,2,0.12511
9,05,3,3,0.121646
9,05,3,4,0.126473
9,05,3,5,0.15899
9,05,3,6,0.240737
9,05,3,7,0.160667
9,05,4,0,0.125584
9,05,4,1,0.148891
9,05,4,2,0.142913
9,05,4,3,0.159481
9,05,4,4,0.179116
9,05,4,5,0.186105
9,05,4,6,0.201445
9,05,4,7,0.218376
9,05,5,0,0.219997
9,05,5,1,0.258675
9,05,5,2,0.233884
9,05,5,3,0.249524
9,05,5,4,0.236938
9,05,5,5,0.244411
9,05,5,6,0.256093
9,05,5,7,0.297422
9,05,6,0,0.247393
9,05,6,1,0.227468
9,05,6,2,0.169615
9,05,6,3,0.203309
9,05,6,4,0.254692
9,05,6,5,0.301974
9,05,6,6,0.290219
9,05,6,7,0.314467
9,05,7,0,0.244474
9,05,7,1,0.231485
9,05,7,2,0.285261
9,05,7,3,0.323778
9,05,7,4,0.38414
9,05,7,5,0.461561
9,05,7,6,0.451446
9,05,7,7,0.426649
9,05,8,0,0.302187
9,05,8,1,0.296897
9,05,8,2,0.252533
9,05,8,3,0.225356
9,05,8,4,0.225527
9,05,8,5,0.207877
9,05,8,6,0.183553
9,05,8,7,0.18595
9,05,9,0,0.151648
9,05,9,1,0.12258
9,05,9,2,0.134879
9,05,9,3,0.147963
9,05,9,4,0.161506
9,05,9,5,0.16856
9,05,9,6,0.140343
9,05,9,7,0.170266
9,05,10,0,0.162718
9,05,10,1,0.156771
9,05,10,2,0.142928
9,05,10,3,0.146222
9,05,10,4,0.13998
9,05,10,5,0.098642
9,05,10,6,0.087385
9,05,10,7,0.157315
9,05,11,0,0.100476
9,05,11,1,0.079584
9,05,11,2,0.075599
9,05,11,3,0.070365
9,05,11,4,0.073531
9,05,11,5,0.103838
9,05,11,6,0.135405
9,05,11,7,0.127156
9,05,12,0,0.171408
9,05,12,1,0.138174
9,05,12,2,0.235606
9,05,12,3,0.245957
9,05,12,4,0.232562
9,05,12,5,0.163987
9,05,12,6,0.172457
9,05,12,7,0.077324
9,05,13,0,0.048603
9,05,13,1,0.081835
9,05,13,2,0.257822
9,05,13,3,0.357511
9,05,13,4,0.339216
9,05,13,5,0.384188
9,05,13,6,0.31373
9,05,13,7,0.344493
9,05,14,0,0.417701
9,05,14,1,0.506785
9,05,14,2,0.521041
9,05,14,3,0.411024
9,05,14,4,0.328235
9,05,14,5,0.247288
9,05,14,6,0.246467
9,05,14,7,0.208848
9,05,15,0,0.150431
9,05,15,1,0.138071
9,05,15,2,0.161278
9,05,15,3,0.207529
9,05,15,4,0.259236
9,05,15,5,0.283251
9,05,15,6,0.290153
9,05,15,7,0.223727
9,05,16,0,0.212001
9,05,16,1,0.235465
9,05,16,2,0.20912
9,05,16,3,0.242377
9,05,16,4,0.235134
