####################################################################################################
# Month: 10Oct                                                                                     #
# Station: PER                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,10,1,0,0.4686265,103.5225
2009,10,1,1,0.5771059,119.7835
2009,10,1,2,0.5824118,121.1615
2009,10,1,3,0.5751708,120.2739
2009,10,1,4,0.6334629,127.7665
2009,10,1,5,0.7183487,139.3846
2009,10,1,6,0.7003327,136.777
2009,10,1,7,0.5760222,120.043
2009,10,2,0,0.5689915,118.453
2009,10,2,1,0.5024065,108.9307
2009,10,2,2,0.9074842,161.9197
2009,10,2,3,0.9292608,165.0285
2009,10,2,4,1.087921,180.5761
2009,10,2,5,1.020972,174.7997
2009,10,2,6,1.021051,174.1099
2009,10,2,7,1.102231,180.8441
2009,10,3,0,0.9773561,168.364
2009,10,3,1,0.8263173,151.8367
2009,10,3,2,0.6959077,135.7177
2009,10,3,3,0.5893446,121.0123
2009,10,3,4,0.5596937,116.4584
2009,10,3,5,0.5704372,118.0026
2009,10,3,6,0.5618818,116.71
2009,10,3,7,0.5409908,113.4467
2009,10,4,0,0.5347327,112.5864
2009,10,4,1,0.5797884,119.4365
2009,10,4,2,0.6087246,123.3827
2009,10,4,3,0.6217151,125.3028
2009,10,4,4,0.5444952,114.2394
2009,10,4,5,0.531959,112.438
2009,10,4,6,0.5646955,117.1079
2009,10,4,7,0.5789384,119.0654
2009,10,5,0,0.7751283,145.7658
2009,10,5,1,0.5805461,119.502
2009,10,5,2,0.5357575,112.6963
2009,10,5,3,0.4599729,99.9518
2009,10,5,4,0.38495,87.49394
2009,10,5,5,0.3625629,83.86957
2009,10,5,6,0.4499179,99.06003
2009,10,5,7,0.4770801,103.295
2009,10,6,0,0.6130919,123.3329
2009,10,6,1,0.5901461,118.7657
2009,10,6,2,0.5738614,115.0
2009,10,6,3,0.4517587,96.43422
2009,10,6,4,0.4206803,91.88098
2009,10,6,5,0.4114299,90.43545
2009,10,6,6,0.3435571,78.48859
2009,10,6,7,0.2824115,67.63559
2009,10,7,0,0.2835102,68.22574
2009,10,7,1,0.4363437,95.77215
2009,10,7,2,0.3811298,86.33542
2009,10,7,3,0.3864008,87.67967
2009,10,7,4,0.194561,50.56613
2009,10,7,5,0.0952376,28.26343
2009,10,7,6,0.07072009,22.31855
2009,10,7,7,0.06812313,21.59625
2009,10,8,0,0.06839786,21.62413
2009,10,8,1,0.1761975,46.58554
2009,10,8,2,0.2436991,60.89964
2009,10,8,3,0.1394935,38.50863
2009,10,8,4,0.1007993,29.47487
2009,10,8,5,0.1162374,33.09155
2009,10,8,6,0.1499944,40.80726
2009,10,8,7,0.191071,49.77888
2009,10,9,0,0.2162692,55.03677
2009,10,9,1,0.3338085,78.31988
2009,10,9,2,0.2984829,71.87627
2009,10,9,3,0.2237764,57.107
2009,10,9,4,0.1374864,38.32125
2009,10,9,5,0.08984025,27.11295
2009,10,9,6,0.09289386,27.79315
2009,10,9,7,0.1167224,33.37959
2009,10,10,0,0.1385325,38.41398
2009,10,10,1,0.2105588,54.28869
2009,10,10,2,0.280058,68.43392
2009,10,10,3,0.3461296,80.85868
2009,10,10,4,0.3614533,83.57434
2009,10,10,5,0.3131674,74.36575
2009,10,10,6,0.3053054,73.02181
2009,10,10,7,0.3968279,89.4489
2009,10,11,0,0.6574169,128.8445
2009,10,11,1,0.7512437,141.4035
2009,10,11,2,0.8449141,151.6163
2009,10,11,3,0.4879495,104.8439
2009,10,11,4,0.2690131,66.54843
2009,10,11,5,0.2180059,56.08571
2009,10,11,6,0.4333689,97.29466
2009,10,11,7,0.5466654,115.4103
2009,10,12,0,0.6840093,134.9551
2009,10,12,1,0.5903768,122.3655
2009,10,12,2,0.725032,141.2412
2009,10,12,3,0.9491864,166.6966
2009,10,12,4,0.4174273,93.13691
2009,10,12,5,0.5133428,108.9389
2009,10,12,6,0.304946,73.25411
2009,10,12,7,0.5516509,115.1004
2009,10,13,0,0.5475892,113.7182
2009,10,13,1,0.6734787,132.0626
2009,10,13,2,0.7343251,138.8213
2009,10,13,3,0.5341578,112.2859
2009,10,13,4,0.5596384,116.1358
2009,10,13,5,0.6353303,127.1865
2009,10,13,6,0.6665234,131.2855
2009,10,13,7,0.764417,143.2252
2009,10,14,0,0.6019918,121.8117
2009,10,14,1,0.7077183,134.6886
2009,10,14,2,0.5949436,120.7117
2009,10,14,3,0.5696533,117.8477
2009,10,14,4,0.6425151,128.7795
2009,10,14,5,0.4579704,99.70469
2009,10,14,6,0.5496572,114.8354
2009,10,14,7,0.7418306,141.4752
2009,10,15,0,0.5310497,111.9319
2009,10,15,1,0.6605828,127.9467
2009,10,15,2,0.6714792,127.7065
2009,10,15,3,0.7441638,138.8959
2009,10,15,4,0.547966,111.6598
2009,10,15,5,0.4483707,97.34563
2009,10,15,6,0.1707793,44.93648
2009,10,15,7,0.154881,41.43374
2009,10,16,0,0.2105732,53.49379
2009,10,16,1,0.5874357,120.0651
2009,10,16,2,0.5517004,114.6892
2009,10,16,3,0.6542335,129.7901
2009,10,16,4,0.5374037,112.4758
2009,10,16,5,0.5159849,109.5672
2009,10,16,6,0.299698,72.09311
2009,10,16,7,0.2245398,57.13976
2009,10,17,0,0.2048033,53.07189
2009,10,17,1,0.4263236,95.49684
2009,10,17,2,0.4314636,96.58433
2009,10,17,3,0.3563697,83.33311
2009,10,17,4,0.341758,80.51426
2009,10,17,5,0.2910648,70.94149
2009,10,17,6,0.2000148,51.99616
2009,10,17,7,0.1963225,50.86263
2009,10,18,0,0.2283483,57.56916
2009,10,18,1,0.2623186,64.6725
2009,10,18,2,0.2634706,65.07707
2009,10,18,3,0.2762708,67.56343
2009,10,18,4,0.267783,66.27212
2009,10,18,5,0.2669147,66.11265
2009,10,18,6,0.2661054,65.82373
2009,10,18,7,0.3075255,74.29108
2009,10,19,0,0.2912584,71.54912
2009,10,19,1,0.26677,66.67626
2009,10,19,2,0.220349,57.16517
2009,10,19,3,0.2225539,57.60207
2009,10,19,4,0.218618,56.80566
2009,10,19,5,0.2368256,61.04692
2009,10,19,6,0.2588892,65.78036
2009,10,19,7,0.2292617,59.7389
2009,10,20,0,0.1805142,49.03943
2009,10,20,1,0.1569777,43.79284
2009,10,20,2,0.222323,58.25095
2009,10,20,3,0.3005992,74.08824
2009,10,20,4,0.3439113,82.04219
2009,10,20,5,0.3681301,85.97439
2009,10,20,6,0.4492058,99.21033
2009,10,20,7,0.3702442,85.80597
2009,10,21,0,0.4175554,94.14727
2009,10,21,1,0.6093256,124.1224
2009,10,21,2,0.5995911,123.5711
2009,10,21,3,0.4825525,106.6055
2009,10,21,4,0.3988123,92.11829
2009,10,21,5,0.4358674,98.89689
2009,10,21,6,0.3567923,84.68997
2009,10,21,7,0.3229837,78.65935
2009,10,22,0,0.4097642,94.81504
2009,10,22,1,0.4924622,108.3848
2009,10,22,2,0.5038686,110.4434
2009,10,22,3,0.2328644,60.62132
2009,10,22,4,0.2039845,54.31217
2009,10,22,5,0.2891097,71.48472
2009,10,22,6,0.3242594,77.95193
2009,10,22,7,0.379904,88.5974
2009,10,23,0,0.1709476,46.36109
2009,10,23,1,0.2326533,59.4654
2009,10,23,2,0.2198406,57.26674
2009,10,23,3,0.1823162,49.21707
2009,10,23,4,0.1216164,35.31873
2009,10,23,5,0.1177669,34.34423
2009,10,23,6,0.1035536,30.90233
2009,10,23,7,0.06621337,21.64884
2009,10,24,0,0.07786262,24.41747
2009,10,24,1,0.1235912,35.59767
2009,10,24,2,0.2318851,59.89611
2009,10,24,3,0.276129,68.96957
2009,10,24,4,0.4028819,92.55369
2009,10,24,5,0.3840488,89.30405
2009,10,24,6,0.3597895,84.58649
2009,10,24,7,0.3295449,78.79512
2009,10,25,0,0.5730206,119.1826
2009,10,25,1,0.8795358,158.8319
2009,10,25,2,0.9317542,164.4214
2009,10,25,3,0.5624495,118.0512
2009,10,25,4,0.5044903,109.4308
2009,10,25,5,0.3845889,89.17051
2009,10,25,6,0.3215738,77.71771
2009,10,25,7,0.2553586,64.70193
2009,10,26,0,0.2055988,54.26952
2009,10,26,1,0.1511277,42.11747
2009,10,26,2,0.1681662,46.15615
2009,10,26,3,0.09004942,27.77556
2009,10,26,4,0.06702357,21.90226
2009,10,26,5,0.05879509,19.76771
2009,10,26,6,0.09060455,27.62701
2009,10,26,7,0.1940302,51.32781
2009,10,27,0,0.3449679,81.72252
2009,10,27,1,0.5813167,121.7281
2009,10,27,2,0.6942757,137.9397
2009,10,27,3,0.7285631,142.5324
2009,10,27,4,0.7124714,140.6478
2009,10,27,5,0.6269272,129.2645
2009,10,27,6,0.6509968,132.3785
2009,10,27,7,0.509032,111.4678
2009,10,28,0,0.4547786,102.6863
2009,10,28,1,0.7298491,143.1293
2009,10,28,2,0.8198253,154.5149
2009,10,28,3,0.8812332,160.9476
2009,10,28,4,1.027883,175.8662
2009,10,28,5,1.126793,185.3185
2009,10,28,6,1.038711,177.1332
2009,10,28,7,0.7577967,145.9828
2009,10,29,0,0.6660431,133.64
2009,10,29,1,0.8458674,155.8115
2009,10,29,2,1.045334,177.2898
2009,10,29,3,0.8449038,154.4306
2009,10,29,4,0.7568013,144.5981
2009,10,29,5,0.6967416,137.8024
2009,10,29,6,0.7314453,143.3757
2009,10,29,7,0.9292286,167.1595
2009,10,30,0,0.8238568,155.2616
2009,10,30,1,0.900383,163.2295
2009,10,30,2,1.092398,182.0104
2009,10,30,3,0.8983021,162.4419
2009,10,30,4,0.7430161,145.0009
2009,10,30,5,0.6880801,137.9804
2009,10,30,6,0.7022005,139.5081
2009,10,30,7,0.6473558,131.9697
2009,10,31,0,0.6397315,131.0898
2009,10,31,1,0.6251146,129.1868
2009,10,31,2,0.6061378,126.4575
2009,10,31,3,0.5973754,124.9886
2009,10,31,4,0.5358343,116.0536
2009,10,31,5,0.4242879,97.993
2009,10,31,6,0.4603002,104.6075
2009,10,31,7,0.6035373,127.2324
2010,10,1,0,0.101519,28.90382
2010,10,1,1,0.09791504,28.25374
2010,10,1,2,0.1474417,39.78865
2010,10,1,3,0.1588659,42.26276
2010,10,1,4,0.1706997,45.0112
2010,10,1,5,0.1585831,42.07893
2010,10,1,6,0.184745,48.07495
2010,10,1,7,0.226708,57.1007
2010,10,2,0,0.3675337,85.06268
2010,10,2,1,0.903101,160.3754
2010,10,2,2,0.6676915,131.7668
2010,10,2,3,0.7217527,139.8901
2010,10,2,4,0.5617566,118.273
2010,10,2,5,0.4520814,100.8735
2010,10,2,6,0.4611988,102.1308
2010,10,2,7,0.4649074,102.5079
2010,10,3,0,0.4449902,99.26206
2010,10,3,1,0.6391199,129.5
2010,10,3,2,0.8072021,150.8435
2010,10,3,3,0.5840878,121.8288
2010,10,3,4,0.3313574,79.41519
2010,10,3,5,0.3131327,76.04957
2010,10,3,6,0.3186541,77.23227
2010,10,3,7,0.2736449,68.35961
2010,10,4,0,0.3191938,77.44195
2010,10,4,1,0.6640979,134.2709
2010,10,4,2,0.6474775,131.8527
2010,10,4,3,0.7102281,139.8136
2010,10,4,4,0.6053622,125.6452
2010,10,4,5,0.3953399,92.03521
2010,10,4,6,0.3398098,81.99483
2010,10,4,7,0.3803213,89.29744
2010,10,5,0,0.4064211,93.97244
2010,10,5,1,0.6999259,138.4461
2010,10,5,2,0.7576836,146.2254
2010,10,5,3,0.5843805,122.8359
2010,10,5,4,0.5974273,125.1584
2010,10,5,5,0.3968622,92.79003
2010,10,5,6,0.3597314,85.92424
2010,10,5,7,0.3572277,85.43106
2010,10,6,0,0.415087,95.67138
2010,10,6,1,0.5977151,123.7761
2010,10,6,2,0.5622927,117.4532
2010,10,6,3,0.9176512,161.8551
2010,10,6,4,1.164236,185.1624
2010,10,6,5,1.139671,185.4672
2010,10,6,6,0.08676954,26.51357
2010,10,6,7,0.06586566,21.17683
2010,10,7,0,0.09217769,27.52322
2010,10,7,1,0.1190948,33.95689
2010,10,7,2,0.1569215,42.91635
2010,10,7,3,0.2147947,55.85345
2010,10,7,4,0.2449262,62.02587
2010,10,7,5,0.2454775,62.31063
2010,10,7,6,0.2460138,62.64132
2010,10,7,7,0.2364269,61.05069
2010,10,8,0,0.2346346,60.24106
2010,10,8,1,0.231042,59.53287
2010,10,8,2,0.2225933,57.95526
2010,10,8,3,0.1862616,50.12276
2010,10,8,4,0.1738009,47.2986
2010,10,8,5,0.1127447,33.08861
2010,10,8,6,0.07477464,23.75444
2010,10,8,7,0.06753424,21.91309
2010,10,9,0,0.06630694,21.57659
2010,10,9,1,0.1932846,51.78179
2010,10,9,2,0.2332221,60.40117
2010,10,9,3,0.2614651,66.31813
2010,10,9,4,0.225579,58.77997
2010,10,9,5,0.2039328,53.9678
2010,10,9,6,0.2441578,62.40211
2010,10,9,7,0.2291714,59.20066
2010,10,10,0,0.1658509,45.36381
2010,10,10,1,0.2268117,58.87565
2010,10,10,2,0.3155913,77.04832
2010,10,10,3,0.1618823,44.69956
2010,10,10,4,0.09777966,29.55078
2010,10,10,5,0.09249259,28.23256
2010,10,10,6,0.1051852,31.38631
2010,10,10,7,0.1169627,33.92755
2010,10,11,0,0.2564052,64.10567
2010,10,11,1,0.6935346,137.0204
2010,10,11,2,0.7988008,150.9281
2010,10,11,3,0.6273441,128.8692
2010,10,11,4,0.5360238,115.2559
2010,10,11,5,0.5910682,123.3072
2010,10,11,6,0.7204141,140.9331
2010,10,11,7,0.8323247,155.0346
2010,10,12,0,0.9522681,168.8159
2010,10,12,1,0.9684904,170.615
2010,10,12,2,0.7227107,141.5056
2010,10,12,3,0.8986188,161.7395
2010,10,12,4,1.289402,197.3035
2010,10,12,5,1.064844,176.5423
2010,10,12,6,0.7441144,142.9938
2010,10,12,7,1.10139,181.5757
2010,10,13,0,1.010524,172.6693
2010,10,13,1,1.419068,205.0797
2010,10,13,2,1.479218,208.6996
2010,10,13,3,1.242297,193.7726
2010,10,13,4,1.226245,192.3843
2010,10,13,5,0.6422718,131.3361
2010,10,13,6,0.3138859,76.93889
2010,10,13,7,0.07568783,23.9448
2010,10,14,0,0.09785588,29.44721
2010,10,14,1,0.08628263,26.69032
2010,10,14,2,0.09108877,27.64298
2010,10,14,3,0.1145214,33.01072
2010,10,14,4,0.2467873,62.00044
2010,10,14,5,0.7314582,141.2798
2010,10,14,6,1.377719,203.4478
2010,10,14,7,1.22831,193.1804
2010,10,15,0,1.339705,202.5111
2010,10,15,1,1.707876,226.032
2010,10,15,2,1.06764,180.8114
2010,10,15,3,1.357293,201.9403
2010,10,15,4,0.8818116,159.0611
2010,10,15,5,0.5438825,113.1762
2010,10,15,6,0.6018573,120.1791
2010,10,15,7,0.383574,85.82379
2010,10,16,0,0.2488982,61.07043
2010,10,16,1,0.3484887,80.75356
2010,10,16,2,0.2861827,69.81195
2010,10,16,3,0.3661379,85.04058
2010,10,16,4,0.4119715,93.38278
2010,10,16,5,0.3481334,81.28109
2010,10,16,6,0.3407529,80.20449
2010,10,16,7,0.3722657,85.83537
2010,10,17,0,0.3902475,88.93921
2010,10,17,1,0.4057385,91.48408
2010,10,17,2,0.3669082,84.61533
2010,10,17,3,0.2901905,69.95321
2010,10,17,4,0.2717611,66.3127
2010,10,17,5,0.2252793,56.84437
2010,10,17,6,0.1774793,46.60693
2010,10,17,7,0.1332013,37.24746
2010,10,18,0,0.1011738,29.42822
2010,10,18,1,0.1112122,31.77629
2010,10,18,2,0.1095948,31.82661
2010,10,18,3,0.1355166,38.05626
2010,10,18,4,0.2019435,53.33253
2010,10,18,5,0.0610601,20.0925
2010,10,18,6,0.06136654,19.97579
2010,10,18,7,0.1022456,29.61226
2010,10,19,0,0.1544746,41.31739
2010,10,19,1,0.185539,48.31652
2010,10,19,2,0.2818602,68.44249
2010,10,19,3,0.2965274,71.49006
2010,10,19,4,0.2736005,66.97088
2010,10,19,5,0.2634467,64.91592
2010,10,19,6,0.2513259,62.40981
2010,10,19,7,0.2407012,60.28653
2010,10,20,0,0.2644464,65.08189
2010,10,20,1,0.2992237,71.97324
2010,10,20,2,0.3053302,73.27515
2010,10,20,3,0.3228558,76.90863
2010,10,20,4,0.3551239,83.08957
2010,10,20,5,0.3372014,79.69813
2010,10,20,6,0.2678458,66.19987
2010,10,20,7,0.219619,56.18404
2010,10,21,0,0.2028175,52.52325
2010,10,21,1,0.2103857,54.28898
2010,10,21,2,0.2212582,56.63113
2010,10,21,3,0.1947573,50.93392
2010,10,21,4,0.157092,42.75613
2010,10,21,5,0.1468044,40.74258
2010,10,21,6,0.2172279,56.69029
2010,10,21,7,0.3022605,74.2499
