####################################################################################################
# Month: 08Aug                                                                                     #
# Station: PIKE                                                                                    #
# Frequency: 345 GHz                                                                               #
# Columns are: year    day     tau     Tb (K)                                                      #
####################################################################################################
year,day,tau,Tb
2009,1,0.52820081,107.4627
2009,2,0.52619039,109.188845
2009,3,0.78494254,144.54765
2009,4,0.86986212,152.5457
2009,5,0.82129845,149.897425
2009,6,1.0649491,172.1869375
2009,7,0.66472389,121.89225
2009,8,0.20961248,53.63715
2009,9,0.16372089,44.22714
2009,10,0.30979064,73.26268375
2009,11,0.42948184,94.8995975
2009,12,0.48245141,103.33651875
2009,13,0.93844179,159.7064
2009,14,1.3594035,197.790325
2009,15,0.70634646,132.07369375
2009,16,0.36273086,82.60657625
2009,17,0.51222992,106.81642375
2009,18,0.65512213,125.2802925
2009,19,0.49131461,104.1039725
2009,20,0.27293039,66.2761475
2009,21,0.28024279,68.8419525
2009,22,0.47354924,103.28950375
2009,23,0.60736975,122.82035625
2009,24,1.13356435,178.944425
2009,25,1.09848314,176.128575
2009,26,0.88406437,156.2808375
2009,27,0.56995018,110.199645
2009,28,0.33246996,78.0771525
2009,29,0.65951248,127.72348
2009,30,0.81813803,147.7640875
2009,31,0.78971324,142.7548625
2010,1,1.13006648,178.8443625
2010,2,1.2495255,190.628325
2010,3,1.10516682,175.9343
2010,4,1.04782169,168.4945125
2010,5,1.08384135,173.1215125
2010,6,1.16720024,182.7657375
2010,7,0.94566326,160.9393875
2010,8,1.03257878,168.7804875
2010,9,1.16238712,183.10305
2010,10,0.50605332,101.42126125
2010,11,0.44827885,92.56139125
2010,12,0.78694694,144.3622625
2010,13,0.38989245,79.5628325
2010,14,0.37855539,87.12137875
2010,15,0.50321904,106.8210275
2010,16,0.85780076,150.6456125
2010,17,0.4694769,94.98010875
2010,18,0.32099595,74.3572975
2010,19,0.96610036,164.5722875
2010,20,0.41300674,89.6091075
2010,21,0.44499828,98.56215875
2010,22,0.65071871,124.55261375
2010,23,1.5557855,211.7588125
2010,24,0.65205191,120.83543
2010,25,0.35941664,81.94031375
2010,26,0.38208654,88.66898125
2010,27,0.64048284,128.095225
2010,28,0.91698876,159.037275
2010,29,0.56123312,107.5404275
2010,30,0.50679235,102.68268
2010,31,0.20365714,53.84819875
2011,1,1.419798,203.675525
2011,2,2.06999025,235.7564625
2011,3,1.81418937,223.3932125
2011,4,1.54331238,208.1722875
2011,5,0.99127322,162.760475
2011,6,0.64170459,122.59572875
2011,7,0.54115259,109.14721125
2011,8,0.3502221,80.89679125
2011,9,0.48944894,105.29436375
2011,10,0.44963379,99.28742625
2011,11,0.58612191,119.14633625
2011,12,0.7058131,133.2280375
2011,13,0.5909664,117.92474875
