####################################################################################################
# Month: 01Jan                                                                                     #
# Station: ROB                                                                                     #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,01,1,0,2.547003
2009,01,1,1,0.605132
2009,01,1,2,1.594839
2009,01,1,3,2.430817
2009,01,1,4,2.417534
2009,01,1,5,3.031501
2009,01,1,6,3.04028
2009,01,1,7,1.378934
2009,01,2,0,1.228119
2009,01,2,1,3.336244
2009,01,2,2,3.290442
2009,01,2,3,3.494961
2009,01,2,4,3.786999
2009,01,2,5,2.286635
2009,01,2,6,3.344864
2009,01,2,7,4.678842
2009,01,3,0,6.070055
2009,01,3,1,4.889607
2009,01,3,2,4.262241
2009,01,3,3,4.39536
2009,01,3,4,3.062884
2009,01,3,5,3.953607
2009,01,3,6,4.157802
2009,01,3,7,3.953396
2009,01,4,0,4.833359
2009,01,4,1,3.489825
2009,01,4,2,3.831397
2009,01,4,3,3.544441
2009,01,4,4,4.528337
2009,01,4,5,4.866108
2009,01,4,6,5.765872
2009,01,4,7,6.008269
2009,01,5,0,6.719787
2009,01,5,1,6.834815
2009,01,5,2,6.71548
2009,01,5,3,8.223241
2009,01,5,4,7.946386
2009,01,5,5,5.921857
2009,01,5,6,5.967561
2009,01,5,7,5.502464
2009,01,6,0,2.48985
2009,01,6,1,1.424895
2009,01,6,2,2.283609
2009,01,6,3,1.925495
2009,01,6,4,0.789016
2009,01,6,5,2.038974
2009,01,6,6,2.85037
2009,01,6,7,2.706671
2009,01,7,0,2.198376
2009,01,7,1,2.945175
2009,01,7,2,2.397121
2009,01,7,3,1.24145
2009,01,7,4,1.516714
2009,01,7,5,3.034391
2009,01,7,6,2.88861
2009,01,7,7,1.451752
2009,01,8,0,1.825737
2009,01,8,1,2.050869
2009,01,8,2,1.230125
2009,01,8,3,0.854563
2009,01,8,4,2.146795
2009,01,8,5,0.764111
2009,01,8,6,2.438923
2009,01,8,7,2.971959
2009,01,9,0,4.845494
2009,01,9,1,4.045339
2009,01,9,2,3.360578
2009,01,9,3,3.570568
2009,01,9,4,3.318926
2009,01,9,5,1.524715
2009,01,9,6,2.982801
2009,01,9,7,3.290566
2009,01,10,0,3.150177
2009,01,10,1,1.755071
2009,01,10,2,1.074716
2009,01,10,3,0.829724
2009,01,10,4,0.156378
2009,01,10,5,1.47833
2009,01,10,6,2.369041
2009,01,10,7,1.269895
2009,01,11,0,0.9263
2009,01,11,1,0.376176
2009,01,11,2,0.679841
2009,01,11,3,1.542865
2009,01,11,4,0.268595
2009,01,11,5,0.905985
2009,01,11,6,2.420292
2009,01,11,7,0.661092
2009,01,12,0,1.43124
2009,01,12,1,1.23315
2009,01,12,2,1.778423
2009,01,12,3,1.684547
2009,01,12,4,1.655642
2009,01,12,5,0.78425
2009,01,12,6,1.635879
2009,01,12,7,2.267577
2009,01,13,0,2.322362
2009,01,13,1,2.487154
2009,01,13,2,3.503216
2009,01,13,3,4.526201
2009,01,13,4,1.078396
2009,01,13,5,1.99954
2009,01,13,6,3.129092
2009,01,13,7,1.874958
2009,01,14,0,1.287881
2009,01,14,1,2.888939
2009,01,14,2,3.910501
2009,01,14,3,4.399079
2009,01,14,4,3.946797
2009,01,14,5,2.36134
2009,01,14,6,1.08577
2009,01,14,7,0.477235
2009,01,15,0,0.872149
2009,01,15,1,0.683102
2009,01,15,2,0.93544
2009,01,15,3,1.725531
2009,01,15,4,3.014497
2009,01,15,5,2.621516
2009,01,15,6,1.151643
2009,01,15,7,1.768673
2009,01,16,0,3.445911
2009,01,16,1,2.548517
2009,01,16,2,2.307283
2009,01,16,3,2.931531
2009,01,16,4,3.7401
2009,01,16,5,2.73167
2009,01,16,6,2.76821
2009,01,16,7,4.079508
2009,01,17,0,4.793976
2009,01,17,1,4.446604
2009,01,17,2,3.705463
2009,01,17,3,3.130498
2009,01,17,4,2.031896
2009,01,17,5,2.39164
2009,01,17,6,2.981274
2009,01,17,7,0.667552
2009,01,18,0,1.584029
2009,01,18,1,2.390021
2009,01,18,2,0.595376
2009,01,18,3,4.363308
2009,01,18,4,1.70778
2009,01,18,5,1.19789
2009,01,18,6,3.202851
2009,01,18,7,4.204246
2009,01,19,0,4.763615
2009,01,19,1,5.3176
2009,01,19,2,5.523461
2009,01,19,3,5.558327
2009,01,19,4,4.441284
2009,01,19,5,2.581233
2009,01,19,6,2.370821
2009,01,19,7,4.615163
2009,01,20,0,7.100315
2009,01,20,1,3.563934
2009,01,20,2,2.364974
2009,01,20,3,1.608258
2009,01,20,4,0.439466
2009,01,20,5,0.985879
2009,01,20,6,2.605419
2009,01,20,7,2.821136
2009,01,21,0,3.956917
2009,01,21,1,4.18655
2009,01,21,2,3.905929
2009,01,21,3,3.354777
2009,01,21,4,2.235112
2009,01,21,5,1.460068
2009,01,21,6,3.06355
2009,01,21,7,2.98955
2009,01,22,0,3.331782
2009,01,22,1,1.537071
2009,01,22,2,0.91381
2009,01,22,3,1.127735
2009,01,22,4,0.734224
2009,01,22,5,1.667871
2009,01,22,6,3.464935
2009,01,22,7,2.900878
2009,01,23,0,2.779004
2009,01,23,1,2.920946
2009,01,23,2,3.044028
2009,01,23,3,2.293684
2009,01,23,4,1.83513
2009,01,23,5,1.371701
2009,01,23,6,2.486281
2009,01,23,7,3.464462
2009,01,24,0,1.473234
2009,01,24,1,2.854559
2009,01,24,2,2.827039
2009,01,24,3,3.515309
2009,01,24,4,2.854888
2009,01,24,5,1.675845
2009,01,24,6,2.752315
2009,01,24,7,2.62536
2009,01,25,0,1.053944
2009,01,25,1,0.410518
2009,01,25,2,0.618855
2009,01,25,3,0.995249
2009,01,25,4,1.111755
2009,01,25,5,1.510115
2009,01,25,6,1.949625
2009,01,25,7,1.015778
2009,01,26,0,0.235866
2009,01,26,1,1.414512
2009,01,26,2,1.969536
2009,01,26,3,2.184657
2009,01,26,4,1.55527
2009,01,26,5,1.258355
2009,01,26,6,1.392508
2009,01,26,7,2.413366
2009,01,27,0,3.16163
2009,01,27,1,2.26699
2009,01,27,2,1.389999
2009,01,27,3,2.604335
2009,01,27,4,2.211768
2009,01,27,5,2.687325
2009,01,27,6,2.748712
2009,01,27,7,2.299583
2009,01,28,0,1.944269
2009,01,28,1,1.877671
2009,01,28,2,1.985365
2009,01,28,3,2.666542
2009,01,28,4,1.722213
2009,01,28,5,0.445942
2009,01,28,6,2.49537
2009,01,28,7,3.678417
2009,01,29,0,4.273277
2009,01,29,1,3.11064
