####################################################################################################
# Month: 05May                                                                                     #
# Station: RPU                                                                                     #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
2014,05,1,0,0.187581
2014,05,1,1,0.11088
2014,05,1,2,0.101713
2014,05,1,3,0.122064
2014,05,1,4,0.13121
2014,05,1,5,0.111166
2014,05,1,6,0.115606
2014,05,1,7,0.131666
2014,05,2,0,0.133552
2014,05,2,1,0.134096
2014,05,2,2,0.11654
2014,05,2,3,0.105598
2014,05,2,4,0.102544
2014,05,2,5,0.09563
2014,05,2,6,0.088219
2014,05,2,7,0.14753
2014,05,3,0,0.276116
2014,05,3,1,0.547398
2014,05,3,2,0.44011
2014,05,3,3,0.223133
2014,05,3,4,0.29101
2014,05,3,5,0.343436
2014,05,3,6,0.278235
2014,05,3,7,0.26272
2014,05,4,0,0.271239
2014,05,4,1,0.210669
2014,05,4,2,0.217503
2014,05,4,3,0.169421
2014,05,4,4,0.147188
2014,05,4,5,0.108972
2014,05,4,6,0.064921
2014,05,4,7,0.657808
2014,05,5,0,0.898656
2014,05,5,1,1.010896
2014,05,5,2,0.945768
2014,05,5,3,0.767219
2014,05,5,4,0.437758
2014,05,5,5,0.631589
2014,05,5,6,0.523819
2014,05,5,7,0.377383
2014,05,6,0,0.445761
2014,05,6,1,0.44997
2014,05,6,2,0.425473
2014,05,6,3,0.551939
2014,05,6,4,0.566467
2014,05,6,5,0.672243
2014,05,6,6,0.735477
2014,05,6,7,0.913587
2014,05,7,0,0.977042
2014,05,7,1,0.844628
2014,05,7,2,0.762907
2014,05,7,3,0.904889
2014,05,7,4,0.877809
2014,05,7,5,0.615951
2014,05,7,6,0.32009
2014,05,7,7,0.331553
2014,05,8,0,0.564683
2014,05,8,1,0.674363
2014,05,8,2,0.760104
2014,05,8,3,0.943847
2014,05,8,4,0.848383
2014,05,8,5,0.761165
2014,05,8,6,0.643246
2014,05,8,7,0.726547
2014,05,9,0,0.669973
2014,05,9,1,0.851286
2014,05,9,2,0.855751
2014,05,9,3,0.80998
2014,05,9,4,0.76885
2014,05,9,5,0.606741
2014,05,9,6,0.474331
2014,05,9,7,0.445543
2014,05,10,0,0.519732
2014,05,10,1,0.777475
2014,05,10,2,0.783371
2014,05,10,3,0.473829
2014,05,10,4,0.454393
2014,05,10,5,0.554697
2014,05,10,6,0.423485
2014,05,10,7,0.320994
2014,05,11,0,0.431536
2014,05,11,1,0.571348
2014,05,11,2,0.380183
2014,05,11,3,-0.061621
2014,05,11,4,0.103189
2014,05,11,5,0.103047
2014,05,11,6,0.07555
2014,05,11,7,0.050085
2014,05,12,0,0.143982
2014,05,12,1,0.50047
2014,05,12,2,0.258432
2014,05,12,3,0.131207
2014,05,12,4,0.055876
2014,05,12,5,0.030276
2014,05,12,6,0.056376
2014,05,12,7,0.16347
2014,05,13,0,0.325069
2014,05,13,1,0.819687
2014,05,13,2,0.910829
2014,05,13,3,0.957329
2014,05,13,4,0.972788
2014,05,13,5,0.914936
2014,05,13,6,0.791708
2014,05,13,7,0.590116
2014,05,14,0,0.75529
2014,05,14,1,0.964883
2014,05,14,2,0.974482
2014,05,14,3,0.876257
2014,05,14,4,0.886541
2014,05,14,5,0.853197
2014,05,14,6,0.812589
2014,05,14,7,0.801476
2014,05,15,0,0.863646
2014,05,15,1,0.861861
2014,05,15,2,0.86675
2014,05,15,3,0.870435
2014,05,15,4,0.802796
2014,05,15,5,0.709613
2014,05,15,6,0.419995
2014,05,15,7,0.201835
2014,05,16,0,0.136637
2014,05,16,1,0.14358
2014,05,16,2,0.088834
2014,05,16,3,0.071151
2014,05,16,4,0.113002
2014,05,16,5,0.117741
2014,05,16,6,0.080672
2014,05,16,7,0.057147
2014,05,17,0,0.052006
2014,05,17,1,0.058077
2014,05,17,2,0.066146
2014,05,17,3,0.102039
2014,05,17,4,0.14219
2014,05,17,5,0.190923
2014,05,17,6,0.209068
2014,05,17,7,0.225491
2014,05,18,0,0.220141
2014,05,18,1,0.193173
2014,05,18,2,0.117966
2014,05,18,3,0.117088
2014,05,18,4,0.127468
2014,05,18,5,0.154992
2014,05,18,6,0.233354
2014,05,18,7,0.261929
2014,05,19,0,0.261062
2014,05,19,1,0.258085
2014,05,19,2,0.248986
2014,05,19,3,0.226112
2014,05,19,4,0.233268
2014,05,19,5,0.213017
2014,05,19,6,0.192146
2014,05,19,7,0.283176
2014,05,20,0,0.286021
2014,05,20,1,0.237956
2014,05,20,2,0.112032
2014,05,20,3,0.075283
2014,05,20,4,0.065259
2014,05,20,5,0.168932
2014,05,20,6,0.499287
2014,05,20,7,0.635694
2014,05,21,0,0.817441
2014,05,21,1,0.720988
2014,05,21,2,0.890056
2014,05,21,3,0.919951
2014,05,21,4,0.795833
2014,05,21,5,0.499896
2014,05,21,6,0.05259
2014,05,21,7,0.045363
2014,05,22,0,0.045637
2014,05,22,1,0.066128
