####################################################################################################
# Month: 11Nov                                                                                     #
# Station: RPU                                                                                     #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,11,1,0,11.120549
2009,11,1,1,8.726904
2009,11,1,2,8.88413
2009,11,1,3,10.144519
2009,11,1,4,8.709139
2009,11,1,5,9.960922
2009,11,1,6,13.19697
2009,11,1,7,12.465703
2009,11,2,0,13.315393
2009,11,2,1,11.233682
2009,11,2,2,8.483672
2009,11,2,3,6.234497
2009,11,2,4,3.993433
2009,11,2,5,6.464442
2009,11,2,6,8.560602
2009,11,2,7,5.806976
2009,11,3,0,3.977909
2009,11,3,1,1.575779
2009,11,3,2,2.26878
2009,11,3,3,4.435487
2009,11,3,4,6.436433
2009,11,3,5,8.34658
2009,11,3,6,8.743533
2009,11,3,7,11.786032
2009,11,4,0,15.662014
2009,11,4,1,14.708882
2009,11,4,2,15.510119
2009,11,4,3,11.308552
2009,11,4,4,12.599134
2009,11,4,5,16.831022
2009,11,4,6,17.102787
2009,11,4,7,19.539436
2009,11,5,0,20.723966
2009,11,5,1,20.862223
2009,11,5,2,20.587747
2009,11,5,3,19.49211
2009,11,5,4,19.809869
2009,11,5,5,20.719661
2009,11,5,6,21.116072
2009,11,5,7,17.021123
2009,11,6,0,11.913709
2009,11,6,1,5.151095
2009,11,6,2,3.011299
2009,11,6,3,6.586335
2009,11,6,4,8.891576
2009,11,6,5,9.904001
2009,11,6,6,9.914892
2009,11,6,7,9.670064
2009,11,7,0,9.660896
2009,11,7,1,10.595878
2009,11,7,2,12.108423
2009,11,7,3,10.867324
2009,11,7,4,8.211093
2009,11,7,5,6.846555
2009,11,7,6,6.400453
2009,11,7,7,4.810824
2009,11,8,0,2.723427
2009,11,8,1,3.873426
2009,11,8,2,5.414277
2009,11,8,3,7.813054
2009,11,8,4,9.883292
2009,11,8,5,13.040631
2009,11,8,6,16.046741
2009,11,8,7,13.779893
2009,11,9,0,8.207999
2009,11,9,1,5.461794
2009,11,9,2,7.347263
2009,11,9,3,12.567068
2009,11,9,4,12.33083
2009,11,9,5,10.475732
2009,11,9,6,8.494783
2009,11,9,7,7.004528
2009,11,10,0,7.649983
2009,11,10,1,7.465525
2009,11,10,2,9.623005
2009,11,10,3,13.288764
2009,11,10,4,15.141596
2009,11,10,5,16.892058
2009,11,10,6,17.931674
2009,11,10,7,18.292464
2009,11,11,0,14.824496
2009,11,11,1,11.318306
2009,11,11,2,6.135606
2009,11,11,3,8.54756
2009,11,11,4,10.963266
2009,11,11,5,9.044028
2009,11,11,6,3.660545
2009,11,11,7,6.663517
2009,11,12,0,4.414278
2009,11,12,1,5.528574
2009,11,12,2,6.40959
2009,11,12,3,11.568769
2009,11,12,4,14.507889
2009,11,12,5,14.709816
2009,11,12,6,14.209084
2009,11,12,7,16.846383
2009,11,13,0,14.790155
2009,11,13,1,13.799329
2009,11,13,2,14.49018
2009,11,13,3,11.505985
2009,11,13,4,7.664296
2009,11,13,5,7.756298
2009,11,13,6,8.004037
2009,11,13,7,10.420944
2009,11,14,0,11.248875
2009,11,14,1,12.314295
2009,11,14,2,14.837701
2009,11,14,3,14.169769
