####################################################################################################
# Month: 12Dec                                                                                     #
# Station: RPU                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,12,1,0,1.783588,226.4746
2009,12,1,1,0.9116581,164.2216
2009,12,1,2,0.4594942,102.3568
2009,12,1,3,0.3790496,87.99361
2009,12,1,4,0.3989613,91.80532
2009,12,1,5,0.4762115,105.7891
2009,12,1,6,0.5084432,111.2195
2009,12,1,7,0.6002141,124.5366
2009,12,2,0,1.049654,175.8857
2009,12,2,1,1.394135,204.8571
2009,12,2,2,1.245734,194.3151
2009,12,2,3,1.254794,195.7973
2009,12,2,4,1.343603,202.5421
2009,12,2,5,1.108486,183.1038
2009,12,2,6,0.9162329,163.0253
2009,12,2,7,0.8562775,155.4865
2009,12,3,0,0.8238232,151.5372
2009,12,3,1,0.7689251,145.5858
2009,12,3,2,0.7084114,138.8999
2009,12,3,3,1.162339,187.4888
2009,12,3,4,1.096645,181.8056
2009,12,3,5,0.956939,168.5045
2009,12,3,6,0.8585382,157.8105
2009,12,3,7,0.8217025,152.562
2009,12,4,0,0.6456437,130.0531
2009,12,4,1,0.8938054,161.4306
2009,12,4,2,0.5330668,114.5189
2009,12,4,3,0.4198081,95.68291
2009,12,4,4,0.5537853,115.7703
2009,12,4,5,0.651638,129.052
2009,12,4,6,0.7372888,140.485
2009,12,4,7,0.6326825,127.5258
2009,12,5,0,0.8291565,153.4876
2009,12,5,1,0.8714421,158.4854
2009,12,5,2,1.093454,181.7016
2009,12,5,3,0.6113876,126.4975
2009,12,5,4,0.4792627,106.1142
2009,12,5,5,0.3251689,78.33954
2009,12,5,6,0.3775232,87.57708
2009,12,5,7,0.3870038,89.50842
2009,12,6,0,0.4433622,99.78156
2009,12,6,1,0.6568853,132.2996
2009,12,6,2,0.803799,150.8449
2009,12,6,3,0.9513955,165.8009
2009,12,6,4,1.091904,180.6962
2009,12,6,5,0.186463,49.72067
2009,12,6,6,0.290469,71.65638
2009,12,6,7,0.2822396,70.03987
2009,12,7,0,0.5441997,116.5669
2009,12,7,1,0.719432,141.9057
2009,12,7,2,0.5274864,114.2622
2009,12,7,3,0.356604,84.42754
2009,12,7,4,0.2094216,54.81513
2009,12,7,5,0.1691735,46.12824
2009,12,7,6,0.1834582,49.50662
2009,12,7,7,0.2361577,60.88791
2009,12,8,0,0.2948753,73.08582
2009,12,8,1,0.3525745,84.49209
2009,12,8,2,0.382276,90.14432
2009,12,8,3,0.345187,83.41115
2009,12,8,4,0.3199289,78.05746
2009,12,8,5,0.2966875,73.22871
2009,12,8,6,0.2774196,69.00447
2009,12,8,7,0.252015,63.7634
2009,12,9,0,0.2139137,55.92597
2009,12,9,1,0.2256829,58.42474
2009,12,9,2,0.164769,44.42773
2009,12,9,3,0.2431856,62.16844
2009,12,9,4,0.394639,92.83126
2009,12,9,5,0.5205353,114.5717
2009,12,9,6,0.6696375,136.3277
2009,12,9,7,0.7587024,148.2322
2009,12,10,0,0.7602433,148.1628
2009,12,10,1,0.7537629,146.957
2009,12,10,2,1.001892,175.5241
2009,12,10,3,0.715907,141.6696
2009,12,10,4,0.6356802,131.2243
2009,12,10,5,0.5332334,116.0901
2009,12,10,6,0.4382474,100.4101
2009,12,10,7,0.4516116,102.9792
2009,12,11,0,0.6902598,140.1427
2009,12,11,1,0.8769994,164.9648
2009,12,11,2,0.5946422,124.9857
2009,12,11,3,0.9027764,165.3923
2009,12,11,4,0.647533,132.6085
2009,12,11,5,0.6661184,136.0279
2009,12,11,6,1.108127,186.4102
2009,12,11,7,1.426638,208.6555
