####################################################################################################
# Month: 04Apr                                                                                     #
# Station: SAL                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,04,1,0,1.366365,210.9492
2009,04,1,1,1.48658,218.1539
2009,04,1,2,1.846362,235.7068
2009,04,1,3,2.616086,258.9472
2009,04,1,4,2.815569,263.8273
2009,04,1,5,2.883757,265.6008
2009,04,1,6,2.644517,260.6615
2009,04,1,7,2.430688,255.854
2009,04,2,0,2.523311,258.0459
2009,04,2,1,2.571529,259.4971
2009,04,2,2,2.544873,259.3016
2009,04,2,3,2.736625,263.28
2009,04,2,4,3.125944,269.8681
2009,04,2,5,3.458305,273.8995
2009,04,2,6,3.836516,276.3121
2009,04,2,7,3.89289,276.4078
2009,04,3,0,3.386703,272.6523
2009,04,3,1,3.152931,270.0551
2009,04,3,2,3.102258,269.1453
2009,04,3,3,3.107323,269.1874
2009,04,3,4,3.130529,270.1188
2009,04,3,5,3.168326,270.8943
2009,04,3,6,3.307321,272.2239
2009,04,3,7,3.729635,275.7298
2009,04,4,0,3.502771,273.9411
2009,04,4,1,3.23131,270.9786
2009,04,4,2,3.470715,272.9467
2009,04,4,3,4.465045,277.6705
2009,04,4,4,4.673595,278.0556
2009,04,4,5,4.439037,278.7543
2009,04,4,6,4.162465,278.1016
2009,04,4,7,3.97265,277.235
2009,04,5,0,3.999097,277.3152
2009,04,5,1,3.902647,276.1086
2009,04,5,2,3.750415,275.0945
2009,04,5,3,4.204548,277.6636
2009,04,5,4,4.402096,278.7164
2009,04,5,5,4.108179,278.206
2009,04,5,6,4.366373,279.0539
2009,04,5,7,4.500533,278.7999
2009,04,6,0,4.405085,277.0884
2009,04,6,1,3.15634,269.9169
2009,04,6,2,1.394825,212.1852
2009,04,6,3,1.346824,208.3317
2009,04,6,4,1.147176,192.7715
2009,04,6,5,1.116027,190.2385
2009,04,6,6,1.179048,195.6541
2009,04,6,7,0.952958,174.1977
2009,04,7,0,0.7695533,153.0131
2009,04,7,1,0.6884944,142.364
2009,04,7,2,0.5928203,128.2294
2009,04,7,3,0.8277911,160.0278
2009,04,7,4,0.7988512,156.6803
2009,04,7,5,0.816375,158.816
2009,04,7,6,0.7660388,152.7839
2009,04,7,7,1.01478,180.9368
2009,04,8,0,1.48885,218.6973
2009,04,8,1,1.685766,229.8432
2009,04,8,2,2.372336,254.5699
2009,04,8,3,3.630399,272.9654
2009,04,8,4,4.319609,276.0856
2009,04,8,5,3.375466,271.8663
2009,04,8,6,3.070393,269.1309
2009,04,8,7,2.902507,266.5209
2009,04,9,0,2.699639,263.1745
2009,04,9,1,2.515228,259.4323
2009,04,9,2,2.261429,252.5097
2009,04,9,3,2.333242,253.9599
2009,04,9,4,2.246901,251.8613
2009,04,9,5,1.85903,238.0594
2009,04,9,6,1.484679,218.071
2009,04,9,7,1.422335,213.456
2009,04,10,0,1.446599,215.0105
2009,04,10,1,1.302275,205.0562
2009,04,10,2,1.230486,199.302
2009,04,10,3,1.40299,212.1225
2009,04,10,4,1.394715,211.6237
2009,04,10,5,1.521316,218.9889
2009,04,10,6,1.416916,212.1476
2009,04,10,7,1.282585,202.9138
2009,04,11,0,1.2336,199.6084
2009,04,11,1,1.029571,182.2394
2009,04,11,2,0.8470783,162.3262
2009,04,11,3,0.9076068,169.1343
2009,04,11,4,0.928372,171.2065
2009,04,11,5,0.9356782,172.2855
2009,04,11,6,0.9820057,177.7384
2009,04,11,7,0.9220503,171.1954
2009,04,12,0,0.9163105,170.5502
2009,04,12,1,1.042228,182.1263
2009,04,12,2,1.310746,203.459
2009,04,12,3,1.351895,207.0946
2009,04,12,4,1.20778,196.8697
2009,04,12,5,1.347725,209.8319
2009,04,12,6,1.648334,228.5414
2009,04,12,7,1.117533,190.9884
2009,04,13,0,0.9954867,178.8609
2009,04,13,1,0.8382587,160.659
2009,04,13,2,0.8651657,162.3408
2009,04,13,3,1.335831,206.503
2009,04,13,4,1.292853,203.6534
2009,04,13,5,1.228244,199.3185
2009,04,13,6,1.183069,195.7755
2009,04,13,7,1.118386,190.2482
2009,04,14,0,1.06588,185.6272
2009,04,14,1,0.9976289,179.3067
2009,04,14,2,0.9950365,178.9931
2009,04,14,3,1.105915,189.3572
2009,04,14,4,1.395927,212.9791
2009,04,14,5,1.509021,220.5187
2009,04,14,6,1.713708,230.7493
2009,04,14,7,1.82046,234.7061
2009,04,15,0,1.784355,232.3636
2009,04,15,1,1.864573,235.5524
2009,04,15,2,2.040794,242.1782
2009,04,15,3,2.29403,250.3025
2009,04,15,4,2.518758,257.4918
2009,04,15,5,2.657758,261.1898
2009,04,15,6,2.728623,262.3489
2009,04,15,7,3.494249,273.2664
2009,04,16,0,2.583514,259.699
2009,04,16,1,2.945011,266.0322
2009,04,16,2,2.998952,265.8811
2009,04,16,3,3.150588,267.2934
2009,04,16,4,3.156994,268.2231
2009,04,16,5,3.346996,270.9374
2009,04,16,6,3.496577,272.5103
2009,04,16,7,3.072416,268.5666
2009,04,17,0,3.544869,272.7633
2009,04,17,1,3.894912,274.8259
2009,04,17,2,4.047047,274.9996
2009,04,17,3,4.174709,274.9305
2009,04,17,4,4.380899,275.4375
2009,04,17,5,4.081529,274.8603
2009,04,17,6,4.142815,275.2686
2009,04,17,7,3.746934,272.4421
2009,04,18,0,2.628439,258.3903
2009,04,18,1,1.424945,210.9331
2009,04,18,2,1.068388,182.2883
2009,04,18,3,1.637356,223.3594
2009,04,18,4,1.937376,238.8475
2009,04,18,5,1.9622,240.7469
2009,04,18,6,1.651711,225.7404
2009,04,18,7,1.046038,180.9309
2009,04,19,0,0.8555774,160.8425
2009,04,19,1,0.6868668,139.5688
2009,04,19,2,0.8120122,155.0504
2009,04,19,3,1.200045,194.137
2009,04,19,4,2.449977,253.258
2009,04,19,5,3.010515,263.7378
2009,04,19,6,3.002206,263.4474
2009,04,19,7,2.8693,261.2435
2009,04,20,0,2.885244,260.7763
2009,04,20,1,2.594895,254.9864
2009,04,20,2,2.321554,247.8368
2009,04,20,3,2.218524,244.0921
2009,04,20,4,2.147465,241.8904
2009,04,20,5,2.024601,237.2632
2009,04,20,6,2.071156,237.9756
2009,04,20,7,1.881636,230.102
2009,04,21,0,1.50928,211.6988
2009,04,21,1,1.401357,204.6557
2009,04,21,2,1.199825,187.9901
2009,04,21,3,1.047458,174.297
2009,04,21,4,1.851324,229.8691
2009,04,21,5,1.873252,233.2008
2009,04,21,6,1.635189,224.195
2009,04,21,7,1.637329,224.8897
2009,04,22,0,1.978598,239.9237
2009,04,22,1,2.294137,249.9821
2009,04,22,2,2.726431,259.9116
2009,04,22,3,2.80973,261.3165
2009,04,22,4,3.415387,270.0525
2009,04,22,5,3.731384,273.2323
2009,04,22,6,4.401951,275.511
2009,04,22,7,4.141718,275.0104
