####################################################################################################
# Month: 11Nov                                                                                     #
# Station: SAL                                                                                     #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
9,11,1,0.21850588
9,11,2,0.283716
9,11,3,0.56787638
9,11,4,0.454431
9,11,5,0.37644388
9,11,6,0.17122463
9,11,7,0.35335088
9,11,8,0.55517338
9,11,9,0.895894
9,11,10,0.53136588
9,11,11,0.95107375
9,11,12,0.864418
9,11,13,0.62588175
9,11,14,0.41388238
9,11,15,0.39058725
9,11,16,0.45135575
9,11,17,0.27954712
9,11,18,0.45035175
9,11,19,0.46953875
9,11,20,0.38631638
9,11,21,0.50176362
9,11,22,0.29781163
9,11,23,0.28642075
9,11,24,0.27907088
9,11,25,0.3143085
9,11,26,0.134018
9,11,27,0.129176
9,11,28,0.0857615
9,11,29,0.31754888
9,11,30,0.53610738
10,11,1,0.26786663
10,11,2,0.24617412
10,11,3,0.57645712
10,11,4,0.80517825
10,11,5,0.523394
10,11,6,0.34583212
10,11,7,0.19129412
10,11,8,0.44826862
10,11,9,0.71794075
10,11,10,0.38868012
10,11,11,0.33875388
10,11,12,0.50496313
10,11,13,0.37324325
10,11,14,0.08542975
10,11,15,0.12355888
10,11,16,0.25678838
10,11,17,0.3508575
10,11,18,0.30745562
10,11,19,0.33601312
10,11,20,0.53037012
10,11,21,0.55026712
10,11,22,0.52434275
10,11,23,0.32362388
10,11,24,0.23967225
10,11,25,0.288692
10,11,26,0.30594775
10,11,27,0.172038
10,11,28,0.40653637
10,11,29,0.13717288
10,11,30,0.19008712
11,11,1,0.51455
11,11,2,0.25616588
11,11,3,0.168778
11,11,4,0.49102375
11,11,5,0.50502587
11,11,6,0.27269362
11,11,7,0.13926587
11,11,8,0.16586337
11,11,9,0.49601425
11,11,10,0.4189365
11,11,11,0.38676038
11,11,12,0.43418875
11,11,13,0.58610512
11,11,14,0.27887788
11,11,15,0.2394045
11,11,16,0.222631
11,11,17,0.21933688
11,11,18,0.24233912
11,11,19,0.278142
11,11,20,0.65170638
11,11,21,0.50024587
11,11,22,0.36260075
11,11,23,0.53502388
11,11,24,0.52510812
11,11,25,0.36615188
11,11,26,0.27040113
11,11,27,0.54716862
11,11,28,0.1547
11,11,29,0.17046162
11,11,30,0.33177025
12,11,1,0.1437145
12,11,2,0.15507688
12,11,3,0.25970463
12,11,4,0.25903387
12,11,5,0.24958525
12,11,6,0.39461162
12,11,7,0.5293965
12,11,8,0.2107115
12,11,9,0.2399505
12,11,10,0.11864038
12,11,11,0.15254462
12,11,12,0.19679875
12,11,13,0.57374912
12,11,14,0.29060062
12,11,15,0.23675988
12,11,16,0.306217
12,11,17,0.49455775
12,11,18,0.32707225
12,11,19,0.22972162
12,11,20,0.36592988
12,11,21,0.46538675
12,11,22,0.19289238
12,11,23,0.1425025
12,11,24,0.54326863
12,11,25,0.20991825
12,11,26,0.240361
12,11,27,0.21577875
12,11,28,0.140382
12,11,29,0.36910738
12,11,30,0.61355425
13,11,1,0.84114963
13,11,2,0.285143
13,11,3,0.22444162
13,11,4,0.15902425
13,11,5,0.12064938
13,11,6,0.28750937
13,11,7,0.25085362
13,11,8,0.20905375
13,11,9,0.40252262
13,11,10,0.21068938
13,11,11,0.1294445
13,11,12,0.17617188
13,11,13,0.23542963
13,11,14,0.3386915
13,11,15,0.56729725
13,11,16,0.65875537
13,11,17,0.78604775
13,11,18,0.47845462
13,11,19,0.43754737
13,11,20,0.79572362
13,11,21,0.26292088
13,11,22,0.17969712
13,11,23,0.26326788
13,11,24,0.24782088
13,11,25,0.19170037
13,11,26,0.25252063
13,11,27,0.64394938
13,11,28,0.42349013
13,11,29,0.27871212
13,11,30,0.50450062
14,11,1,0.4572365
14,11,2,0.5816015
14,11,3,0.83641713
14,11,4,0.79349762
14,11,5,0.59512863
14,11,6,0.344533
14,11,7,0.23385938
14,11,8,0.20229162
14,11,9,0.52480062
14,11,10,0.37465425
14,11,11,0.42377388
14,11,12,0.78741938
14,11,13,0.70887762
14,11,14,0.50824812
14,11,15,0.6271045
14,11,16,0.345585
14,11,17,0.195688
14,11,18,0.30353475
14,11,19,0.23277112
14,11,20,0.3528465
14,11,21,0.22837362
14,11,22,0.24869312
14,11,23,0.5142195
14,11,24,0.5833815
14,11,25,0.4124765
14,11,26,0.36632525
14,11,27,0.65825375
14,11,28,0.46572975
14,11,29,0.34330425
14,11,30,0.227694
15,11,1,0.75203362
15,11,2,0.514217
15,11,3,0.26417212
15,11,4,0.14853688
15,11,5,0.22558075
15,11,6,0.46275812
15,11,7,0.180521
15,11,8,0.25390912
15,11,9,0.4562525
15,11,10,0.24132212
15,11,11,0.34558038
15,11,12,0.33670638
15,11,13,0.36256462
15,11,14,0.40382838
15,11,15,0.37961075
15,11,16,0.147127
15,11,17,0.22316388
15,11,18,0.17559925
15,11,19,0.16586763
15,11,20,0.567686
15,11,21,0.78054525
15,11,22,0.28155588
15,11,23,0.32023912
15,11,24,0.23428038
15,11,25,0.344946
15,11,26,0.421177
15,11,27,0.14902562
15,11,28,0.12340412
15,11,29,0.12972475
15,11,30,0.128761
16,11,1,0.21868538
16,11,2,0.20489325
16,11,3,0.22125688
16,11,4,0.4480125
16,11,5,0.2441465
16,11,6,0.36242138
16,11,7,0.23571325
16,11,8,0.41174512
16,11,9,0.48025775
16,11,10,0.47234738
16,11,11,0.45232512
16,11,12,0.32851612
16,11,13,0.3241465
16,11,14,0.22454912
16,11,15,0.12539763
16,11,16,0.11206325
16,11,17,0.64374425
16,11,18,0.14387225
16,11,19,0.14787225
16,11,20,0.157004
16,11,21,0.3067795
16,11,22,0.52576513
16,11,23,0.8905705
16,11,24,0.37779175
16,11,25,0.34522288
16,11,26,0.2881755
16,11,27,0.20889625
16,11,28,0.17677962
16,11,29,0.20510613
16,11,30,0.12959762
17,11,1,0.53382525
17,11,2,0.32706675
17,11,3,0.517061
17,11,4,0.13628988
17,11,5,0.1628695
17,11,6,0.17865825
17,11,7,0.16809788
17,11,8,0.17718762
17,11,9,0.3894565
17,11,10,0.36196938
17,11,11,0.30383075
17,11,12,0.24923537
17,11,13,0.3445555
17,11,14,0.75569688
17,11,15,0.8613145
17,11,16,0.63730275
17,11,17,0.39754075
17,11,18,0.2226885
17,11,19,0.20082325
17,11,20,0.22892662
17,11,21,0.782837
17,11,22,0.42329012
17,11,23,0.30600275
17,11,24,0.48236462
17,11,25,0.28738288
17,11,26,0.28388163
17,11,27,0.12079625
17,11,28,0.15300812
17,11,29,0.20460425
17,11,30,0.218079
18,11,1,0.257448
18,11,2,0.16248237
18,11,3,0.11247862
18,11,4,0.48798463
18,11,5,0.71412475
18,11,6,0.60173412
18,11,7,0.11955612
18,11,8,0.13420362
18,11,9,0.1151495
18,11,10,0.11152975
18,11,11,0.14839712
18,11,12,0.15754062
18,11,13,0.11898312
18,11,14,0.155374
18,11,15,0.16635288
18,11,16,0.284203
18,11,17,0.19949462
18,11,18,0.2185875
18,11,19,0.27957263
18,11,20,0.54952162
18,11,21,0.4629435
18,11,22,0.15199775
18,11,23,0.1731105
18,11,24,0.20416588
18,11,25,0.24941012
18,11,26,0.235925
18,11,27,0.60006425
18,11,28,0.413573
18,11,29,0.18027962
18,11,30,0.12472
