####################################################################################################
# Month: 09Sep                                                                                     #
# Station: SAN                                                                                     #
# Frequency: 410 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,09,1,0,3.501862,269.5263
2009,09,1,1,3.777012,271.5012
2009,09,1,2,4.229628,273.0807
2009,09,1,3,4.210038,272.8699
2009,09,1,4,3.190715,264.8577
2009,09,1,5,2.53826,252.7375
2009,09,1,6,2.541714,253.8375
2009,09,1,7,3.570767,269.374
2009,09,2,0,4.87422,276.3237
2009,09,2,1,4.873439,276.3882
2009,09,2,2,3.854662,271.9651
2009,09,2,3,3.488287,268.784
2009,09,2,4,3.593949,269.8306
2009,09,2,5,3.597213,270.1827
2009,09,2,6,3.595523,270.531
2009,09,2,7,4.780932,276.4942
2009,09,3,0,5.395489,278.0731
2009,09,3,1,4.454608,276.2133
2009,09,3,2,3.643824,271.9172
2009,09,3,3,3.697771,271.903
2009,09,3,4,3.510784,270.2411
2009,09,3,5,3.518813,270.0147
2009,09,3,6,3.686813,271.4547
2009,09,3,7,4.242035,275.2138
2009,09,4,0,4.415092,276.3298
2009,09,4,1,4.250416,275.8306
2009,09,4,2,3.791142,273.1474
2009,09,4,3,3.436811,270.2472
2009,09,4,4,3.386243,269.187
2009,09,4,5,3.303458,267.9331
2009,09,4,6,3.503694,269.5127
2009,09,4,7,3.934604,272.136
2009,09,5,0,3.429895,268.5185
2009,09,5,1,2.738566,259.4909
2009,09,5,2,2.38826,251.5798
2009,09,5,3,2.242789,247.2614
2009,09,5,4,2.233104,246.6554
2009,09,5,5,2.47535,252.838
2009,09,5,6,2.578019,255.3096
2009,09,5,7,2.280497,248.5151
2009,09,6,0,1.696293,227.1966
2009,09,6,1,0.9069481,168.0857
2009,09,6,2,0.752773,149.3164
2009,09,6,3,0.7561955,148.2893
2009,09,6,4,0.7256102,143.181
2009,09,6,5,0.9721195,171.1188
2009,09,6,6,1.170933,188.37
2009,09,6,7,1.317448,201.7647
2009,09,7,0,1.424139,209.8332
2009,09,7,1,1.447093,211.3847
2009,09,7,2,1.596413,220.5868
2009,09,7,3,1.770925,229.5235
2009,09,7,4,1.915067,235.6679
2009,09,7,5,2.015011,239.4881
2009,09,7,6,1.993675,238.5211
2009,09,7,7,1.990938,238.2138
2009,09,8,0,2.016664,239.7917
2009,09,8,1,2.021489,240.3928
2009,09,8,2,1.991636,239.2545
2009,09,8,3,2.009791,239.8668
2009,09,8,4,2.081348,242.1727
2009,09,8,5,2.158335,244.4929
2009,09,8,6,2.059839,241.12
2009,09,8,7,1.930439,236.144
2009,09,9,0,2.060066,241.2607
2009,09,9,1,2.104105,243.1052
