####################################################################################################
# Month: 10Oct                                                                                     #
# Station: SAN                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    day     tau     Tb (K)                                                      #
####################################################################################################
year,day,tau,Tb
2009,1,0.23673305,62.22199125
2009,2,0.65122342,120.956365
2009,3,0.56081573,116.234095
2009,4,0.48201076,106.40445375
2009,5,0.24583734,62.45861625
2009,6,0.19460075,52.54207
2009,7,0.39165665,89.0897825
2009,8,0.60107576,122.04441
2009,9,0.42892985,98.58617
2009,10,0.36872091,86.995975
2009,11,0.29093291,72.37076375
2009,12,0.34298931,75.521795
2009,13,1.21163786,182.261775
2009,14,1.5552175,216.8004375
2009,15,1.16459786,186.7682375
2009,16,0.32610334,80.980355
2009,17,0.33979639,83.55757375
2009,18,0.53302121,114.90174625
2009,19,0.51954218,111.71511
2009,20,0.30749034,72.37938375
2009,21,0.47787019,104.05495375
2009,22,0.54255718,116.045755
2009,23,0.53388091,114.91507375
2009,24,0.87058962,159.4580375
2009,25,0.82454995,152.9460125
2009,26,0.5175826,110.00336
2009,27,0.62670541,125.59996125
2009,28,0.26771408,63.36988875
2009,29,0.39572606,86.0735775
2009,30,1.02881016,173.92445
2009,31,0.27621186,69.40166375
2010,1,2.36242812,248.5907625
2010,2,1.97640125,236.3105125
2010,3,1.40375125,202.4608125
2010,4,1.24587361,193.4507875
2010,5,0.29391988,67.3204575
2010,6,0.93690374,160.87465
2010,7,0.57588863,116.2668475
2010,8,0.30593848,75.0868925
2010,9,0.38409559,90.02759625
2010,10,1.08804656,174.5424625
2010,11,1.07464225,182.5747125
2010,12,1.15365862,188.2807125
2010,13,1.04847408,171.76825
2010,14,1.26311549,190.364125
2010,15,1.47650325,209.5637875
2010,16,1.28694462,197.5830875
2010,17,1.4530195,207.9363625
2010,18,0.80065824,145.688075
2010,19,1.16424,184.527025
2010,20,1.14532728,181.748475
2010,21,1.12478745,179.819875
2010,22,1.19229615,177.934575
2010,23,1.16180229,181.7206875
2010,24,1.6311335,218.0214875
2010,25,1.35693761,202.794725
2010,26,0.71270109,140.826125
2010,27,0.29702379,72.65880875
2010,28,0.54330409,116.0879625
2010,29,0.40038502,92.16114
2010,30,0.50994834,107.9793675
2010,31,0.49666505,106.53963125
2011,1,1.8917555,232.65055
2011,2,1.66694763,222.1251625
2011,3,2.15684662,243.3801
2011,4,1.16805492,178.69147
2011,5,1.86776668,223.8137625
2011,6,0.49055734,90.75255375
2011,7,0.5146696,109.48945125
2011,8,0.58479091,122.33049625
2011,9,0.5371337,115.20022
2011,10,0.66129804,129.3712
2011,11,1.127671,186.03155
2011,12,0.77408,150.351825
2011,13,0.51588021,114.381375
2011,14,0.52528666,115.1096225
2011,15,0.54769391,117.9061425
2011,16,0.82784486,154.24345
2011,17,0.33868852,82.2378525
2011,18,0.29257265,73.52123125
2011,19,0.23849248,62.87952875
2011,20,0.19126646,52.8326225
2011,21,0.22279072,59.66236125
2011,22,0.28712548,71.8278575
2011,23,0.4711993,105.8662675
2011,24,0.99486417,161.1030375
2011,25,0.71586988,133.93734625
2011,26,0.29602734,70.58445
2011,27,0.29756324,73.2944775
2011,28,0.32848347,80.25751375
2011,29,0.25485046,65.11397375
2011,30,0.32409595,79.32562875
2011,31,0.4750412,104.52100375
2012,1,0.63937947,132.6865875
2012,2,0.62218328,130.3572125
2012,3,0.58342088,123.4682875
2012,4,0.3963076,90.719295
2012,5,0.41576601,93.60755
2012,6,0.7047615,136.7104375
2012,7,0.63515366,129.0711
2012,8,0.74997951,144.9022
2012,9,1.01293035,171.6498625
2012,10,0.88126996,153.061875
2012,11,0.55228369,113.08978125
2012,12,0.77951866,144.410425
2012,13,0.64379451,129.22777
2012,14,0.69326479,138.063175
2012,15,0.34713734,84.2333375
2012,16,0.54988889,117.57647125
2012,17,0.71149454,143.1000125
2012,18,0.60206026,128.0479625
2012,19,0.28326331,71.99284375
2012,20,0.38471231,90.59228875
2012,21,0.5108004,107.07467625
2012,22,1.06309207,172.0053625
2012,23,0.73330578,134.777305
2012,24,0.65212296,130.988875
2012,25,0.87870542,157.5577375
2012,26,0.49485108,107.58583375
2012,27,0.53197821,114.2251
2012,28,0.4108782,95.657455
2012,29,0.33068418,81.17370625
2012,30,0.35679216,85.56436
2012,31,0.34285831,82.56507875
2013,1,0.24527626,64.35557375
2013,2,0.45664231,103.456625
2013,3,0.60642136,122.3343075
2013,4,0.49943129,111.4598125
