####################################################################################################
# Month: 10Oct                                                                                     #
# Station: SKS                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,10,1,0,0.1953917,52.87095
2009,10,1,1,0.2117778,56.57401
2009,10,1,2,0.2344369,61.41767
2009,10,1,3,0.2453048,63.67382
2009,10,1,4,0.2716563,69.02156
2009,10,1,5,0.3034332,75.20705
2009,10,1,6,0.2972422,73.74459
2009,10,1,7,0.2478189,64.0106
2009,10,2,0,0.2293565,60.16767
2009,10,2,1,0.2296986,60.12313
2009,10,2,2,0.2338231,60.82577
2009,10,2,3,0.229705,59.87255
2009,10,2,4,0.2709661,68.06074
2009,10,2,5,0.3571271,84.85914
2009,10,2,6,0.4176325,96.22141
2009,10,2,7,0.5629092,120.3732
2009,10,3,0,0.6787484,137.1739
2009,10,3,1,0.8285985,157.2471
2009,10,3,2,0.8190678,156.874
2009,10,3,3,0.6956277,141.26
2009,10,3,4,0.4191091,97.47786
2009,10,3,5,0.4654438,104.8905
2009,10,3,6,0.5544605,119.8093
2009,10,3,7,0.6162572,129.5267
2009,10,4,0,0.6531891,134.5768
2009,10,4,1,0.6411434,132.3566
2009,10,4,2,0.5957077,125.7432
2009,10,4,3,0.5266117,115.4653
2009,10,4,4,0.5096465,112.5301
2009,10,4,5,0.5526502,119.0598
2009,10,4,6,0.5693721,121.8656
2009,10,4,7,0.4773751,107.2669
2009,10,5,0,0.4172236,96.83719
2009,10,5,1,0.3802065,89.45756
2009,10,5,2,0.3719753,87.04736
2009,10,5,3,0.803779,148.3817
2009,10,5,4,0.843609,154.8107
2009,10,5,5,0.4308473,99.13581
2009,10,5,6,0.3531336,85.06053
2009,10,5,7,0.2552337,65.77618
2009,10,6,0,0.2248335,59.35447
2009,10,6,1,0.243596,63.50492
2009,10,6,2,0.4576314,105.1363
2009,10,6,3,0.4629325,107.2429
2009,10,6,4,0.4577355,106.3281
2009,10,6,5,0.3025525,76.25072
2009,10,6,6,0.2015176,54.65276
2009,10,6,7,0.1538989,43.65055
2009,10,7,0,0.1301755,37.94235
2009,10,7,1,0.1253705,36.74781
2009,10,7,2,0.1366843,39.47526
2009,10,7,3,0.1405007,40.44063
2009,10,7,4,0.1385611,39.91047
2009,10,7,5,0.1504495,42.44621
2009,10,7,6,0.1767814,48.64523
2009,10,7,7,0.2359267,61.9626
2009,10,8,0,0.2592764,66.80743
2009,10,8,1,0.3181559,78.55881
2009,10,8,2,0.34307,83.36006
2009,10,8,3,0.3482959,84.4442
2009,10,8,4,0.3310635,81.15279
2009,10,8,5,0.2877258,72.61138
2009,10,8,6,0.281285,71.45075
2009,10,8,7,0.294428,74.16182
2009,10,9,0,0.2841982,71.90794
2009,10,9,1,0.2792094,70.83506
2009,10,9,2,0.2563208,66.25446
2009,10,9,3,0.2357346,61.97546
2009,10,9,4,0.2652123,68.13752
2009,10,9,5,0.2783197,70.84287
2009,10,9,6,0.2687426,68.92937
2009,10,9,7,0.2547958,66.11117
2009,10,10,0,0.2628168,67.81666
2009,10,10,1,0.2691627,69.07823
2009,10,10,2,0.2362274,62.02107
2009,10,10,3,0.2086669,55.9467
2009,10,10,4,0.2259209,59.82156
2009,10,10,5,0.2313171,61.12263
2009,10,10,6,0.2136816,57.27092
2009,10,10,7,0.2111846,56.68811
2009,10,11,0,0.2261779,59.95676
2009,10,11,1,0.2436975,63.6229
2009,10,11,2,0.2456092,63.95078
2009,10,11,3,0.236761,62.01082
2009,10,11,4,0.2396302,62.62308
2009,10,11,5,0.2343864,61.56906
2009,10,11,6,0.2338031,61.54945
2009,10,11,7,0.2833275,71.91001
2009,10,12,0,0.30086,75.25822
2009,10,12,1,0.3030162,75.61191
2009,10,12,2,0.2678239,68.41489
2009,10,12,3,0.2191164,57.9465
2009,10,12,4,0.2572333,66.16914
2009,10,12,5,0.2548373,65.62176
2009,10,12,6,0.2446541,63.57825
2009,10,12,7,0.2451621,63.96002
2009,10,13,0,0.1588518,44.38347
2009,10,13,1,0.6153686,129.2411
2009,10,13,2,0.6135647,127.8233
2009,10,13,3,0.8888686,162.8987
2009,10,13,4,0.9251902,166.4756
2009,10,13,5,0.8878283,162.0695
2009,10,13,6,0.8766011,161.253
2009,10,13,7,0.6578223,135.4559
2009,10,14,0,0.5896954,125.4188
2009,10,14,1,0.4478148,101.9734
2009,10,14,2,0.303822,74.9555
2009,10,14,3,0.2702511,68.18414
2009,10,14,4,0.2399125,61.81364
2009,10,14,5,0.2308809,59.7832
2009,10,14,6,0.2148784,56.28922
2009,10,14,7,0.2372734,61.21445
2009,10,15,0,0.4566088,103.4776
2009,10,15,1,0.5116422,112.7345
2009,10,15,2,0.4227577,97.70377
2009,10,15,3,0.5185287,113.2764
2009,10,15,4,0.6889752,137.0893
2009,10,15,5,0.7787996,149.1968
2009,10,15,6,0.7546195,146.895
2009,10,15,7,0.8145245,154.0542
2009,10,16,0,0.8633766,159.9794
2009,10,16,1,0.8247598,155.8692
2009,10,16,2,0.7848946,150.7879
2009,10,16,3,0.7275339,143.5153
2009,10,16,4,0.6149803,128.5361
2009,10,16,5,0.6495444,133.4959
2009,10,16,6,0.7133096,142.1431
2009,10,16,7,0.7474033,146.7628
2009,10,17,0,0.7338381,145.3751
2009,10,17,1,0.7103572,141.6318
2009,10,17,2,0.6358343,130.6099
2009,10,17,3,1.021023,175.0455
2009,10,17,4,0.797514,151.5624
2009,10,17,5,1.066356,178.8629
2009,10,17,6,0.925565,167.0551
2009,10,17,7,0.9883216,173.5793
2009,10,18,0,0.6757088,135.9889
2009,10,18,1,0.5572938,119.4597
2009,10,18,2,0.6165861,128.4972
2009,10,18,3,0.7802195,150.3808
2009,10,18,4,0.8813288,163.1216
2009,10,18,5,0.970532,173.2069
2009,10,18,6,0.8962256,165.1591
2009,10,18,7,0.7215317,144.0242
2009,10,19,0,0.6841564,139.4053
2009,10,19,1,0.494783,110.8103
2009,10,19,2,0.3450698,83.8619
2009,10,19,3,0.5407596,117.4249
2009,10,19,4,0.5932311,126.013
2009,10,19,5,0.5322867,116.7359
2009,10,19,6,0.463546,105.4654
2009,10,19,7,0.3397003,82.93335
2009,10,20,0,0.1345314,38.68658
2009,10,20,1,0.166891,46.15522
2009,10,20,2,0.2239708,58.85963
2009,10,20,3,0.3425415,83.04563
2009,10,20,4,0.450278,102.5478
2009,10,20,5,0.4380583,100.3008
2009,10,20,6,0.3864457,90.83805
2009,10,20,7,0.3216303,78.62561
2009,10,21,0,0.1897271,50.91381
