####################################################################################################
# Month: 09Sep                                                                                     #
# Station: SMA                                                                                     #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
9,09,1,0,0.046913
9,09,1,1,0.033955
9,09,1,2,0.04872
9,09,1,3,0.074602
9,09,1,4,0.079075
9,09,1,5,0.078436
9,09,1,6,0.076121
9,09,1,7,0.065627
9,09,2,0,0.064469
9,09,2,1,0.066716
9,09,2,2,0.075689
9,09,2,3,0.095176
9,09,2,4,0.108605
9,09,2,5,0.119891
9,09,2,6,0.118113
9,09,2,7,0.110994
9,09,3,0,0.11871
9,09,3,1,0.167429
9,09,3,2,0.225291
9,09,3,3,0.226758
9,09,3,4,0.197413
9,09,3,5,0.146406
9,09,3,6,0.121891
9,09,3,7,0.125653
9,09,4,0,0.118077
9,09,4,1,0.101178
9,09,4,2,0.101005
9,09,4,3,0.103457
9,09,4,4,0.092763
9,09,4,5,0.093808
9,09,4,6,0.095203
9,09,4,7,0.080491
9,09,5,0,0.072132
9,09,5,1,0.05958
9,09,5,2,0.047514
9,09,5,3,0.042218
9,09,5,4,0.043566
9,09,5,5,0.043521
9,09,5,6,0.062336
9,09,5,7,0.073596
9,09,6,0,0.072246
9,09,6,1,0.065722
9,09,6,2,0.066082
9,09,6,3,0.075158
9,09,6,4,0.072417
9,09,6,5,0.07401
9,09,6,6,0.091943
9,09,6,7,0.102796
9,09,7,0,0.123001
9,09,7,1,0.147613
9,09,7,2,0.140625
9,09,7,3,0.13085
9,09,7,4,0.106425
9,09,7,5,0.079681
9,09,7,6,0.058625
9,09,7,7,0.044447
9,09,8,0,0.036314
9,09,8,1,0.027316
9,09,8,2,0.02805
9,09,8,3,0.029951
9,09,8,4,0.023981
9,09,8,5,0.022055
9,09,8,6,0.028664
9,09,8,7,0.031809
9,09,9,0,0.030171
9,09,9,1,0.033808
9,09,9,2,0.036226
9,09,9,3,0.036101
9,09,9,4,0.030927
9,09,9,5,0.02727
9,09,9,6,0.027534
9,09,9,7,0.027358
9,09,10,0,0.023364
9,09,10,1,0.02609
9,09,10,2,0.044627
9,09,10,3,0.063539
9,09,10,4,0.072609
9,09,10,5,0.083249
9,09,10,6,0.100936
9,09,10,7,0.120158
9,09,11,0,0.148527
9,09,11,1,0.193899
9,09,11,2,0.155866
9,09,11,3,0.125839
9,09,11,4,0.079291
9,09,11,5,0.050311
