####################################################################################################
# Month: 02Feb                                                                                     #
# Station: SMT                                                                                     #
# Columns are: year    day     windspeed (m/s)                                                     #
####################################################################################################
year,day,windspeed
2009,1,8.91959213
2009,2,6.4950735
2009,3,2.22860862
2009,4,6.10533725
2009,5,7.46249188
2009,6,19.78958212
2009,7,23.4560345
2009,8,21.50397288
2009,9,15.72185088
2009,10,20.92824487
2009,11,15.00785475
2009,12,14.4349265
2009,13,17.5682325
2009,14,19.21537438
2009,15,10.7449085
2009,16,13.90598913
2009,17,23.46479
2009,18,18.854246
2009,19,8.098564
2009,20,5.610046
2009,21,8.58274225
2009,22,6.18007125
2009,23,12.21430088
2009,24,17.13139225
2009,25,14.6357745
2009,26,23.630249
2009,27,18.71403762
2009,28,9.511443
