####################################################################################################
# Month: 12Dec                                                                                     #
# Station: SMT                                                                                     #
# Frequency: 410 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,12,1,0,1.352646,194.8156
2009,12,1,1,1.18383,181.6978
2009,12,1,2,1.058664,171.5093
2009,12,1,3,1.171977,182.6994
2009,12,1,4,1.179413,183.9534
2009,12,1,5,1.039506,173.2303
2009,12,1,6,0.4478943,99.72216
2009,12,1,7,0.4526312,99.52908
2009,12,2,0,0.3885024,88.52054
2009,12,2,1,0.4208561,94.21038
2009,12,2,2,0.4579285,100.1984
2009,12,2,3,0.4937074,105.378
2009,12,2,4,0.510673,107.7558
2009,12,2,5,0.5260906,109.9222
2009,12,2,6,0.5919667,119.4979
2009,12,2,7,0.6749217,130.8234
2009,12,3,0,0.7029439,134.6421
2009,12,3,1,0.6193443,124.1883
2009,12,3,2,0.5282683,111.5565
2009,12,3,3,0.4606794,100.9116
2009,12,3,4,0.462886,101.0321
2009,12,3,5,0.4946264,105.8261
2009,12,3,6,0.4982363,106.5002
2009,12,3,7,0.4676372,101.8097
2009,12,4,0,0.3868736,88.58958
2009,12,4,1,0.322554,77.09148
2009,12,4,2,0.2246377,58.11458
2009,12,4,3,0.1595767,44.45056
2009,12,4,4,0.1593002,44.01283
2009,12,4,5,0.2121609,54.88477
2009,12,4,6,0.3026937,72.40243
2009,12,4,7,0.3944294,89.72659
2009,12,5,0,0.4953871,106.7242
2009,12,5,1,0.4513896,99.81686
2009,12,5,2,0.3672471,85.77175
2009,12,5,3,0.346359,82.3005
2009,12,5,4,0.3394976,81.18194
2009,12,5,5,0.4570389,99.54784
2009,12,5,6,0.4795886,103.0831
2009,12,5,7,0.4790556,101.9708
2009,12,6,0,0.7089496,132.7199
2009,12,6,1,0.9968156,164.3513
2009,12,6,2,0.5886877,118.7073
2009,12,6,3,0.5019175,107.9856
2009,12,6,4,0.4480669,100.1296
2009,12,6,5,0.2535143,64.41627
2009,12,6,6,0.1943396,51.67297
2009,12,6,7,0.2430881,60.70891
2009,12,7,0,0.4841121,101.4665
2009,12,7,1,0.9486808,159.7078
2009,12,7,2,0.9387811,160.1638
2009,12,7,3,0.9979142,166.6027
2009,12,7,4,1.373293,196.1255
2009,12,7,5,1.560608,207.0175
2009,12,7,6,1.896694,222.8638
2009,12,7,7,2.074975,228.9088
2009,12,8,0,2.140373,232.714
2009,12,8,1,2.061469,231.614
2009,12,8,2,1.618856,213.7622
2009,12,8,3,1.199062,186.201
2009,12,8,4,0.4964126,107.2184
2009,12,8,5,0.161561,45.41798
2009,12,8,6,0.1429419,41.38232
2009,12,8,7,0.1661072,46.46584
2009,12,9,0,0.1991219,53.30055
2009,12,9,1,0.2568503,64.58743
2009,12,9,2,0.4180627,93.81298
2009,12,9,3,0.6619487,129.4027
2009,12,9,4,0.8636346,153.7085
2009,12,9,5,1.225694,185.9118
2009,12,9,6,1.263445,189.129
2009,12,9,7,1.064654,172.9076
2009,12,10,0,0.8207126,148.4923
2009,12,10,1,0.4286326,95.62648
2009,12,10,2,0.3983892,90.52466
2009,12,10,3,0.5603015,115.8751
