####################################################################################################
# Month: 03Mar                                                                                     #
# Station: SPT                                                                                     #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
2015,03,1,0,1.002717
2015,03,1,1,1.021482
2015,03,1,2,1.045982
2015,03,1,3,1.037627
2015,03,1,4,1.022476
2015,03,1,5,1.006915
2015,03,1,6,0.98156
2015,03,1,7,0.987364
2015,03,2,0,0.995468
2015,03,2,1,0.990051
2015,03,2,2,1.014987
2015,03,2,3,1.057455
2015,03,2,4,1.027235
2015,03,2,5,0.982834
2015,03,2,6,0.971018
2015,03,2,7,0.950327
2015,03,3,0,0.978604
2015,03,3,1,1.035489
2015,03,3,2,1.158292
2015,03,3,3,1.278913
2015,03,3,4,1.33708
2015,03,3,5,1.320588
2015,03,3,6,1.216135
2015,03,3,7,1.038735
2015,03,4,0,0.990569
2015,03,4,1,0.989993
2015,03,4,2,1.004064
2015,03,4,3,1.002574
2015,03,4,4,0.976033
2015,03,4,5,0.975071
2015,03,4,6,0.991361
2015,03,4,7,0.98663
2015,03,5,0,0.918424
2015,03,5,1,0.850223
2015,03,5,2,0.874472
2015,03,5,3,0.908998
2015,03,5,4,1.025181
2015,03,5,5,1.066779
2015,03,5,6,1.041576
2015,03,5,7,1.021105
2015,03,6,0,0.967138
2015,03,6,1,0.936334
2015,03,6,2,0.933154
2015,03,6,3,0.934286
2015,03,6,4,0.987554
2015,03,6,5,1.003905
2015,03,6,6,1.024981
2015,03,6,7,1.057787
2015,03,7,0,1.040644
2015,03,7,1,0.999606
2015,03,7,2,1.00417
2015,03,7,3,0.992302
2015,03,7,4,1.015557
2015,03,7,5,1.028593
2015,03,7,6,0.983494
2015,03,7,7,0.967063
2015,03,8,0,0.973774
2015,03,8,1,0.964527
2015,03,8,2,0.976408
2015,03,8,3,0.982656
2015,03,8,4,0.971314
2015,03,8,5,0.973729
2015,03,8,6,0.974155
2015,03,8,7,0.967334
2015,03,9,0,0.973582
2015,03,9,1,0.986901
2015,03,9,2,0.984855
2015,03,9,3,0.969324
2015,03,9,4,0.964003
2015,03,9,5,0.969177
2015,03,9,6,0.985506
2015,03,9,7,0.980767
2015,03,10,0,0.928307
2015,03,10,1,0.855898
2015,03,10,2,0.861366
2015,03,10,3,0.97186
2015,03,10,4,0.987094
2015,03,10,5,1.057758
2015,03,10,6,0.998459
2015,03,10,7,0.978009
2015,03,11,0,0.931323
2015,03,11,1,0.903158
2015,03,11,2,0.970588
2015,03,11,3,0.978601
2015,03,11,4,0.992842
2015,03,11,5,0.996888
2015,03,11,6,0.980312
2015,03,11,7,0.982262
2015,03,12,0,0.940122
2015,03,12,1,0.862593
2015,03,12,2,0.956529
2015,03,12,3,0.989048
2015,03,12,4,0.97942
2015,03,12,5,0.983982
2015,03,12,6,0.991116
2015,03,12,7,0.992844
2015,03,13,0,0.986012
2015,03,13,1,0.986644
2015,03,13,2,0.993521
2015,03,13,3,0.991366
2015,03,13,4,0.987859
2015,03,13,5,0.986216
2015,03,13,6,0.983402
2015,03,13,7,0.982951
2015,03,14,0,0.95351
2015,03,14,1,0.908207
2015,03,14,2,0.94617
2015,03,14,3,0.991101
2015,03,14,4,1.022642
2015,03,14,5,1.022814
