####################################################################################################
# Month: 11Nov                                                                                     #
# Station: SPX                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    day     tau     Tb (K)                                                      #
####################################################################################################
year,day,tau,Tb
2009,1,0.52942396,103.92297125
2009,2,0.8888514,144.82769375
2009,3,0.4517246,92.7868125
2009,4,0.41021075,87.8989125
2009,5,0.35747762,79.284205
2009,6,0.26573255,63.3799425
2009,7,0.4476845,93.58912
2009,8,0.5647296,112.35624625
2009,9,0.58470859,115.5610625
2009,10,0.27628772,65.262295
2009,11,0.30098792,70.84468875
2009,12,0.42164032,88.08991375
2009,13,0.53217699,108.5305225
2009,14,0.7329345,136.7655125
2009,15,0.87351559,145.92066625
2009,16,1.04917646,165.22391625
2009,17,0.47228381,97.569625
2009,18,0.30487847,66.3787925
2009,19,0.41479269,84.17211875
2009,20,0.56333162,114.25567125
2009,21,0.57847376,117.0117
2009,22,0.65259741,119.3179825
2009,23,0.42251569,88.45238875
2009,24,0.50926692,103.2366975
2009,25,0.1955994,49.0849325
2009,26,0.25579149,60.12033875
2009,27,0.29482294,67.83457125
2009,28,0.39436191,85.3270475
2009,29,0.5074659,103.27101875
2009,30,0.78104616,140.3164375
2010,1,0.83933042,149.4988125
2010,2,0.58691398,115.66555875
2010,3,0.5072457,106.7555625
2010,4,0.47390618,100.71354625
2010,5,0.28545332,69.33788875
2010,6,0.2785457,67.4580875
2010,7,0.57273056,112.96767875
2010,8,0.52543434,106.26439875
2010,9,0.54713945,110.2477775
2010,10,0.51785846,105.53207875
2010,11,0.51842955,92.88003375
2010,12,0.80882186,140.92261125
2010,13,0.75545192,140.6746875
2010,14,0.60863535,119.67928375
2010,15,0.89497176,154.9358375
2010,16,0.7970441,142.688675
2010,17,0.3229799,75.77195
2010,18,0.40534206,87.13048875
2010,19,0.28454676,66.57018875
2010,20,0.51355236,104.78373625
2010,21,0.48572722,100.7063925
2010,22,0.45640762,95.58066875
2010,23,0.3142963,71.90802875
2010,24,0.17063605,44.3278525
2010,25,0.25383049,59.92569125
2010,26,0.20002746,49.18984125
2010,27,0.22537342,54.25103875
2010,28,0.35496225,78.50684375
2010,29,0.13479123,36.118475
2010,30,0.30016168,65.64056875
2011,1,0.56778234,114.3344425
2011,2,0.51670076,105.85014125
2011,3,1.05863269,171.2740125
2011,4,1.17526712,182.16175
2011,5,1.13354325,178.7608875
2011,6,0.77257374,142.5465875
2011,7,0.89463811,155.5327125
2011,8,0.68882658,130.393625
2011,9,0.5592112,114.1269375
2011,10,0.26332625,64.366815
2011,11,0.19800661,51.5299525
2011,12,0.08614872,27.18232
2011,13,0.13561136,38.48202
2011,14,0.13187259,37.5918925
2011,15,0.16428862,44.42838625
2011,16,0.27029498,65.872365
2011,17,0.25664032,63.66444125
2011,18,0.1961498,51.4562925
2011,19,0.31511016,72.9403175
2011,20,0.53452675,109.71322375
2011,21,0.4389125,95.64101875
2011,22,0.33632438,78.13548875
2011,23,0.35479145,80.61894875
2011,24,0.24649591,59.665505
2011,25,0.42185541,92.89664375
2011,26,0.50627905,106.19153375
2011,27,0.4308145,94.14376
2011,28,0.35677072,80.03441375
2011,29,0.61207799,120.19936
2011,30,0.31724965,71.4909725
2012,1,0.63215135,119.62570875
2012,2,0.45117461,95.275905
2012,3,0.49385567,101.57005
2012,4,0.87874028,145.97677125
2012,5,0.47751685,95.2474775
2012,6,0.31725139,71.6095175
2012,7,0.51101489,106.312085
2012,8,0.66225629,126.31426875
2012,9,0.43643398,86.30901625
2012,10,1.01090303,166.695625
2012,11,0.89520892,152.3659175
2012,12,0.22190534,56.4456075
2012,13,0.21008649,53.89271875
2012,14,0.30253218,72.78185375
2012,15,0.25736326,64.12139375
2012,16,0.23925251,60.54045375
2012,17,0.19345602,50.698835
2012,18,0.36865555,82.40070375
2012,19,0.3426309,78.92186125
2012,20,0.26581775,64.80673
2012,21,0.32041096,70.6784075
2012,22,0.32180159,71.17848125
2012,23,0.40548712,81.1898925
2012,24,0.87330504,153.0044375
2012,25,0.42542329,90.38155
2012,26,1.01872598,167.69385
2012,27,0.81027266,145.2610875
2012,28,0.82499138,146.9923
2012,29,0.58618581,111.4703225
2012,30,0.17477525,45.26186625
2013,1,0.61576594,114.3399275
2013,2,0.66333428,113.6210875
2013,3,0.5438381,104.18737875
2013,4,0.74000261,136.1320125
2013,5,0.47192788,98.08262
2013,6,0.86968052,150.002125
2013,7,0.43346925,95.1598575
2013,8,0.72885374,132.620445
2013,9,0.3964604,80.612705
2013,10,0.4147908,88.35225
2013,11,0.12301613,34.92094875
2013,12,0.26344845,64.68502125
2013,13,0.60025503,118.01150125
2013,14,0.39017929,83.14039875
2013,15,0.32021166,71.74049375
2013,16,0.22704244,57.33557625
2013,17,0.28157486,66.933795
2013,18,0.56651415,113.6603125
2013,19,0.7035012,130.86617
2013,20,0.4997376,103.259575
2013,21,0.44301148,93.51928
2013,22,0.30524132,68.78915625
2013,23,0.38525054,82.27328625
2013,24,0.39502388,85.85595
2013,25,0.1662765,43.30422625
2013,26,0.19821541,50.59574
2013,27,0.13067982,36.426685
2013,28,0.48477382,100.13377375
2013,29,0.46078784,96.2537925
2013,30,0.28857605,64.45999
2014,1,0.34530058,80.2938675
2014,2,0.24994099,61.67765875
2014,3,0.47469175,98.4597375
2014,4,0.68957691,130.56570375
2014,5,1.01521742,166.4602875
2014,6,0.58996912,115.8532675
2014,7,0.38828935,82.7124375
2014,8,0.17790151,46.74625
2014,9,0.53247491,104.83551125
2014,10,0.86533614,151.0997
2014,11,0.82783849,147.6971
2014,12,0.94335361,160.1234
2014,13,0.53967522,107.427225
2014,14,0.57629114,110.80149
2014,15,0.88517487,153.116475
2014,16,0.49698799,101.9576625
2014,17,0.5531158,110.5272
2014,18,0.33800236,75.87587625
2014,19,0.23801232,59.08032375
2014,20,0.55938816,109.4960475
2014,21,0.50343039,106.192955
2014,22,0.50620131,106.55108875
2014,23,0.76946476,141.5133
2014,24,0.84757779,149.9835125
2014,25,0.77087226,141.6054125
2014,26,0.66072792,127.678025
2014,27,0.57984384,113.87803625
2014,28,0.64357288,124.86462
2014,29,0.37589034,83.62130625
2014,30,0.71499286,132.3080825
2015,1,0.0778096,25.1893025
2015,2,0.17600054,46.63438625
2015,3,0.66593716,124.6207425
2015,4,0.522995,108.4350825
2015,5,0.4084426,90.37304375
2015,6,0.38930068,82.34745125
2015,7,0.76432604,141.8114375
2015,8,0.44740211,97.70193125
2015,9,0.55050825,109.547015
2015,10,0.50634828,105.0120025
2015,11,0.26809776,66.4572025
2015,12,0.30161329,72.01059375
2015,13,0.50922935,106.14668875
2015,14,0.58421942,112.41447125
2015,15,0.67890685,128.35762125
2015,16,0.2817925,68.00931125
2015,17,0.44742786,95.77170625
2015,18,0.16018862,42.949315
2015,19,0.35785233,78.70103875
2015,20,1.00140249,162.64695
2015,21,0.29349721,64.23590875
2015,22,0.18118482,46.36485625
2015,23,0.12124747,33.7030425
2015,24,0.4202774,86.15780375
2015,25,0.4527904,93.25490625
2015,26,0.15602579,41.71481375
2015,27,0.105785,31.42766875
2015,28,0.31747109,70.67084625
2015,29,0.47165954,98.3424875
2015,30,0.32236244,71.79071375
2016,1,0.52772458,110.79509875
2016,2,0.40555332,88.18202625
2016,3,0.38309661,84.93403375
2016,4,0.52364594,107.01149375
2016,5,0.9477314,159.66325
2016,6,0.5820068,108.33232625
2016,7,0.21271276,52.9173075
2016,8,0.17713057,45.70202875
2016,9,0.48786631,97.51712125
2016,10,0.40906468,87.71259
2016,11,0.38238259,82.77080625
2016,12,0.31732442,69.986695
2016,13,0.67753022,127.9490125
2016,14,0.2891682,68.2088025
2016,15,0.65623908,125.66529625
2016,16,0.85206111,151.284075
2016,17,0.33439067,77.96271
2016,18,0.55480115,111.3759625
2016,19,0.50198599,100.75866125
2016,20,0.46587885,96.8004625
2016,21,1.01421953,165.44505
2016,22,0.91184016,155.7725875
2016,23,0.83379148,147.2713625
2016,24,0.67119181,128.7197375
2016,25,0.94787579,160.8705875
2016,26,0.56490835,111.14561875
