####################################################################################################
# Month: 02Feb                                                                                     #
# Station: SUF                                                                                     #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
9,02,1,0,0.892521
9,02,1,1,0.921253
9,02,1,2,0.963175
9,02,1,3,0.895951
9,02,1,4,0.834304
9,02,1,5,0.814078
9,02,1,6,0.749118
9,02,1,7,0.755208
9,02,2,0,0.683856
9,02,2,1,0.715835
9,02,2,2,0.902235
9,02,2,3,0.966557
9,02,2,4,0.936279
9,02,2,5,0.968761
9,02,2,6,0.931252
9,02,2,7,0.892333
9,02,3,0,0.953499
9,02,3,1,0.960875
9,02,3,2,0.831931
9,02,3,3,0.825787
9,02,3,4,0.903662
9,02,3,5,0.906073
9,02,3,6,0.885789
9,02,3,7,0.928454
9,02,4,0,0.961924
9,02,4,1,0.958205
9,02,4,2,0.969235
9,02,4,3,0.973603
9,02,4,4,0.989519
9,02,4,5,0.98427
9,02,4,6,0.945987
9,02,4,7,0.916446
9,02,5,0,0.926426
9,02,5,1,0.771352
9,02,5,2,0.701666
9,02,5,3,0.620353
9,02,5,4,0.484065
9,02,5,5,0.339919
9,02,5,6,0.257037
9,02,5,7,0.329
9,02,6,0,0.172182
9,02,6,1,0.115443
9,02,6,2,0.084633
9,02,6,3,0.071923
9,02,6,4,0.130426
9,02,6,5,0.150304
9,02,6,6,0.113149
9,02,6,7,0.117845
9,02,7,0,0.138617
9,02,7,1,0.205845
9,02,7,2,0.272237
9,02,7,3,0.352931
9,02,7,4,0.416383
9,02,7,5,0.560975
9,02,7,6,0.501913
9,02,7,7,0.372997
9,02,8,0,0.356468
9,02,8,1,0.378083
9,02,8,2,0.371265
9,02,8,3,0.403948
9,02,8,4,0.405903
9,02,8,5,0.410132
9,02,8,6,0.390878
9,02,8,7,0.429706
9,02,9,0,0.677792
9,02,9,1,0.734925
9,02,9,2,0.715264
9,02,9,3,0.760564
9,02,9,4,0.934479
9,02,9,5,0.970221
9,02,9,6,0.959338
9,02,9,7,0.964397
9,02,10,0,0.977111
9,02,10,1,0.9614
9,02,10,2,0.88118
9,02,10,3,0.903463
9,02,10,4,0.894314
9,02,10,5,0.83377
9,02,10,6,0.671128
9,02,10,7,0.657933
9,02,11,0,0.911776
9,02,11,1,0.967795
9,02,11,2,0.956639
9,02,11,3,0.96285
9,02,11,4,0.804637
9,02,11,5,0.576752
9,02,11,6,0.667627
9,02,11,7,0.913334
9,02,12,0,0.94435
9,02,12,1,0.974567
9,02,12,2,0.939938
9,02,12,3,0.935116
9,02,12,4,0.973951
9,02,12,5,0.728969
9,02,12,6,0.685647
9,02,12,7,0.696698
9,02,13,0,0.785549
9,02,13,1,0.888479
9,02,13,2,0.881717
9,02,13,3,0.950721
9,02,13,4,0.985635
9,02,13,5,0.977481
9,02,13,6,0.953648
9,02,13,7,0.968504
9,02,14,0,1.018481
9,02,14,1,0.952098
9,02,14,2,0.837154
9,02,14,3,0.93874
9,02,14,4,0.974008
9,02,14,5,0.929231
9,02,14,6,0.803559
9,02,14,7,0.791048
9,02,15,0,0.807205
9,02,15,1,0.806212
9,02,15,2,0.749674
9,02,15,3,0.776752
9,02,15,4,0.740155
9,02,15,5,0.711233
9,02,15,6,0.561768
9,02,15,7,0.43653
9,02,16,0,0.569916
9,02,16,1,0.703789
9,02,16,2,0.6511
9,02,16,3,0.689117
9,02,16,4,0.768679
9,02,16,5,0.840488
9,02,16,6,0.847185
9,02,16,7,0.867041
9,02,17,0,0.770066
9,02,17,1,0.772846
9,02,17,2,0.764118
9,02,17,3,0.81656
9,02,17,4,0.765223
9,02,17,5,0.745275
9,02,17,6,0.694324
9,02,17,7,0.679169
9,02,18,0,0.723954
9,02,18,1,0.759769
9,02,18,2,1.474766
9,02,18,3,0.774101
9,02,18,4,0.765048
9,02,18,5,0.676334
9,02,18,6,0.567511
9,02,18,7,0.706466
9,02,19,0,0.886874
9,02,19,1,0.985678
9,02,19,2,0.958158
9,02,19,3,0.96589
9,02,19,4,1.059492
9,02,19,5,1.054965
9,02,19,6,0.875709
9,02,19,7,0.713833
9,02,20,0,0.332244
9,02,20,1,0.378668
9,02,20,2,0.423367
9,02,20,3,0.582658
9,02,20,4,0.800477
9,02,20,5,0.822479
9,02,20,6,0.743167
9,02,20,7,0.625727
9,02,21,0,0.427621
9,02,21,1,0.268929
9,02,21,2,0.169034
9,02,21,3,0.545841
9,02,21,4,0.502698
9,02,21,5,0.405533
9,02,21,6,0.437034
9,02,21,7,0.645331
9,02,22,0,0.790844
9,02,22,1,0.817637
9,02,22,2,0.735178
9,02,22,3,0.716844
9,02,22,4,0.766062
9,02,22,5,0.834744
9,02,22,6,0.896479
9,02,22,7,0.929517
9,02,23,0,1.18015
9,02,23,1,0.873054
9,02,23,2,0.715489
9,02,23,3,0.638934
9,02,23,4,0.441737
9,02,23,5,0.43159
9,02,23,6,0.563392
9,02,23,7,0.635755
9,02,24,0,0.853672
9,02,24,1,0.858544
9,02,24,2,0.843134
9,02,24,3,0.873711
9,02,24,4,0.877885
9,02,24,5,0.877527
9,02,24,6,0.849083
9,02,24,7,0.879916
9,02,25,0,0.933827
9,02,25,1,0.932742
9,02,25,2,0.895562
9,02,25,3,0.942511
9,02,25,4,0.961677
9,02,25,5,0.910006
9,02,25,6,0.726572
9,02,25,7,0.687539
9,02,26,0,0.751975
9,02,26,1,0.651927
9,02,26,2,0.813255
9,02,26,3,0.813267
9,02,26,4,0.847109
9,02,26,5,0.867769
9,02,26,6,0.647892
9,02,26,7,0.322138
9,02,27,0,0.219571
9,02,27,1,0.143954
9,02,27,2,0.074343
9,02,27,3,0.294292
9,02,27,4,0.327697
9,02,27,5,0.229047
9,02,27,6,0.198996
9,02,27,7,0.228083
9,02,28,0,0.221896
9,02,28,1,0.178534
9,02,28,2,0.113541
9,02,28,3,0.141162
9,02,28,4,0.172409
9,02,28,5,0.162096
9,02,28,6,0.098605
9,02,28,7,0.223377
10,02,1,0,0.820669
10,02,1,1,0.768607
10,02,1,2,0.711677
10,02,1,3,0.797488
10,02,1,4,0.829637
10,02,1,5,0.757968
10,02,1,6,0.570344
10,02,1,7,0.433041
10,02,2,0,0.303197
10,02,2,1,0.226138
