####################################################################################################
# Month: 05May                                                                                     #
# Station: SUF                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,05,1,0,2.188038,241.3808
2009,05,1,1,2.346398,247.2251
2009,05,1,2,2.462951,251.682
2009,05,1,3,3.110723,263.7894
2009,05,1,4,2.723104,258.4381
2009,05,1,5,3.469649,267.0568
2009,05,1,6,2.728866,255.9323
2009,05,1,7,2.163565,243.7877
2009,05,2,0,2.217176,244.981
2009,05,2,1,1.632819,221.4472
2009,05,2,2,1.729068,226.1497
2009,05,2,3,1.798979,229.8073
2009,05,2,4,1.788155,230.306
2009,05,2,5,2.425904,250.6271
2009,05,2,6,2.819042,258.0995
2009,05,2,7,3.316474,264.1176
2009,05,3,0,2.854331,258.8078
2009,05,3,1,3.14221,261.5941
2009,05,3,2,3.357955,264.2917
2009,05,3,3,2.849943,256.473
2009,05,3,4,2.508682,249.0704
2009,05,3,5,2.162006,239.7701
2009,05,3,6,2.112348,238.1582
2009,05,3,7,2.215405,241.5649
2009,05,4,0,2.668443,253.0638
2009,05,4,1,2.360966,245.6566
2009,05,4,2,1.779011,224.3434
2009,05,4,3,1.642322,217.0863
2009,05,4,4,1.268893,192.4814
2009,05,4,5,1.144587,182.4612
2009,05,4,6,1.064004,175.9585
2009,05,4,7,0.8900396,160.2981
2009,05,5,0,0.8349208,154.9523
2009,05,5,1,0.8760486,158.7371
2009,05,5,2,1.213865,190.2106
2009,05,5,3,1.855477,227.3646
2009,05,5,4,2.20911,239.6669
2009,05,5,5,2.078316,235.0758
2009,05,5,6,1.550871,212.6137
2009,05,5,7,0.9990927,172.7336
2009,05,6,0,1.061657,178.2397
2009,05,6,1,1.121672,183.2465
2009,05,6,2,1.137366,184.8651
2009,05,6,3,1.657313,219.7631
2009,05,6,4,2.089917,238.2524
2009,05,6,5,2.097985,239.0875
2009,05,6,6,2.031574,237.2982
2009,05,6,7,2.104627,239.2417
2009,05,7,0,1.980656,235.2498
2009,05,7,1,1.820674,229.1929
2009,05,7,2,1.87918,231.9075
2009,05,7,3,2.250371,244.991
2009,05,7,4,2.697246,255.3935
2009,05,7,5,2.811078,257.4143
2009,05,7,6,2.466378,250.0382
2009,05,7,7,2.336176,246.5703
2009,05,8,0,2.191331,242.2814
2009,05,8,1,2.15399,240.8203
2009,05,8,2,1.834774,228.3985
2009,05,8,3,2.45101,247.4722
2009,05,8,4,2.255263,240.9323
2009,05,8,5,2.353556,243.0383
2009,05,8,6,2.254423,238.9856
2009,05,8,7,1.918715,227.2602
2009,05,9,0,1.54811,210.3427
2009,05,9,1,1.592418,212.8703
2009,05,9,2,2.016136,232.1054
2009,05,9,3,2.32897,242.3269
2009,05,9,4,1.874449,227.9105
2009,05,9,5,1.69101,219.8457
2009,05,9,6,1.594445,214.5342
2009,05,9,7,1.491867,208.9131
2009,05,10,0,1.501646,209.6682
2009,05,10,1,1.573493,213.7736
2009,05,10,2,2.033881,233.8398
2009,05,10,3,2.00284,233.7529
2009,05,10,4,1.759068,224.9189
