####################################################################################################
# Month: 01Jan                                                                                     #
# Station: TRL                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,01,1,0,0.1760818,45.05683
2009,01,1,1,0.1688129,43.51369
2009,01,1,2,0.1750607,44.7923
2009,01,1,3,0.1777336,45.34772
2009,01,1,4,0.1727552,44.35172
2009,01,1,5,0.171471,44.17257
2009,01,1,6,0.1651354,42.90171
2009,01,1,7,0.1575856,41.32305
2009,01,2,0,0.155681,41.00315
2009,01,2,1,0.1519744,40.30121
2009,01,2,2,0.1493928,39.78169
2009,01,2,3,0.1599596,41.9706
2009,01,2,4,0.1817016,46.48679
2009,01,2,5,0.1804315,46.08163
2009,01,2,6,0.1786624,45.5388
2009,01,2,7,0.1812672,46.00397
2009,01,3,0,0.175689,44.86112
2009,01,3,1,0.1784819,45.52827
2009,01,3,2,0.1830255,46.49884
2009,01,3,3,0.1652621,42.70625
2009,01,3,4,0.1680189,43.32458
2009,01,3,5,0.185236,47.03478
2009,01,3,6,0.1984282,49.77785
2009,01,3,7,0.2434999,58.83324
2009,01,4,0,0.2288542,55.89956
2009,01,4,1,0.1909305,48.09323
2009,01,4,2,0.1874674,47.2667
2009,01,4,3,0.2054321,50.86902
2009,01,4,4,0.2105733,51.93412
2009,01,4,5,0.2104387,51.8837
2009,01,4,6,0.193154,48.34685
2009,01,4,7,0.1841133,46.45048
2009,01,5,0,0.1799669,45.60021
2009,01,5,1,0.1769576,45.0387
2009,01,5,2,0.1758426,44.89286
2009,01,5,3,0.1744081,44.6608
2009,01,5,4,0.1672764,43.15283
2009,01,5,5,0.1644484,42.51164
2009,01,5,6,0.1646217,42.51835
2009,01,5,7,0.1637634,42.28644
2009,01,6,0,0.1689917,43.40873
2009,01,6,1,0.1862648,47.09249
2009,01,6,2,0.317246,72.52588
2009,01,6,3,0.4599108,96.9268
2009,01,6,4,0.331996,75.30815
2009,01,6,5,0.3446205,77.58016
2009,01,6,6,0.4165274,89.86661
2009,01,6,7,0.2752906,64.64783
2009,01,7,0,0.2561567,61.08389
2009,01,7,1,0.2869958,67.07989
2009,01,7,2,0.3977859,86.85389
2009,01,7,3,0.4967343,102.7825
2009,01,7,4,0.5370866,108.9945
2009,01,7,5,0.3486569,78.65033
2009,01,7,6,0.3238694,74.16817
2009,01,7,7,0.4132528,89.771
2009,01,8,0,0.377085,83.56775
2009,01,8,1,0.3847289,84.8759
2009,01,8,2,0.3555817,79.81061
2009,01,8,3,0.3360071,76.39329
2009,01,8,4,0.3262399,74.79801
2009,01,8,5,0.3014015,70.29723
2009,01,8,6,0.2658827,63.61493
2009,01,8,7,0.2408178,58.7232
2009,01,9,0,0.2286208,56.17404
2009,01,9,1,0.2099426,52.38807
2009,01,9,2,0.2006165,50.49827
2009,01,9,3,0.1940492,49.11484
2009,01,9,4,0.1957178,49.41796
2009,01,9,5,0.2060646,51.47513
2009,01,9,6,0.2165203,53.51569
2009,01,9,7,0.2204566,54.26479
2009,01,10,0,0.2248434,55.1737
2009,01,10,1,0.2367916,57.55735
2009,01,10,2,0.2449172,59.18078
2009,01,10,3,0.2575551,61.65234
2009,01,10,4,0.291338,68.01315
2009,01,10,5,0.3444455,77.6285
2009,01,10,6,0.4071466,88.32595
2009,01,10,7,0.3799621,83.49916
