####################################################################################################
# Month: 12Dec                                                                                     #
# Station: TRL                                                                                     #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
9,12,1,0,0.460283
9,12,1,1,0.249306
9,12,1,2,-0.154822
9,12,1,3,0.429822
9,12,1,4,0.816333
9,12,1,5,0.928948
9,12,1,6,0.983444
9,12,1,7,1.067322
9,12,2,0,1.068689
9,12,2,1,1.109566
9,12,2,2,1.05383
9,12,2,3,1.024276
9,12,2,4,0.959463
9,12,2,5,0.997751
9,12,2,6,0.987848
9,12,2,7,0.942279
9,12,3,0,0.913036
9,12,3,1,0.900814
9,12,3,2,0.915294
9,12,3,3,0.910665
9,12,3,4,0.963467
9,12,3,5,1.145426
9,12,3,6,1.17782
9,12,3,7,0.673328
9,12,4,0,0.032201
9,12,4,1,-0.052782
9,12,4,2,0.29396
9,12,4,3,0.48788
9,12,4,4,0.626565
9,12,4,5,0.742607
9,12,4,6,0.861302
9,12,4,7,0.789608
9,12,5,0,0.616581
9,12,5,1,0.528447
9,12,5,2,0.603524
9,12,5,3,0.627741
9,12,5,4,0.740892
9,12,5,5,0.962058
9,12,5,6,0.974938
9,12,5,7,0.860341
9,12,6,0,1.008035
9,12,6,1,0.712521
9,12,6,2,0.290711
9,12,6,3,0.004446
9,12,6,4,0.149291
9,12,6,5,0.565012
9,12,6,6,1.258841
9,12,6,7,1.312232
9,12,7,0,0.847217
9,12,7,1,0.771016
9,12,7,2,0.800609
9,12,7,3,0.950797
9,12,7,4,1.026164
9,12,7,5,1.01132
9,12,7,6,1.019273
9,12,7,7,1.026603
9,12,8,0,1.052819
9,12,8,1,1.0142
9,12,8,2,1.222697
9,12,8,3,1.184162
9,12,8,4,0.589014
9,12,8,5,0.715201
9,12,8,6,1.167639
9,12,8,7,1.352416
9,12,9,0,1.627726
9,12,9,1,1.400449
9,12,9,2,1.057055
9,12,9,3,0.814839
9,12,9,4,0.765097
9,12,9,5,0.803076
9,12,9,6,0.819028
9,12,9,7,0.900897
9,12,10,0,1.042323
9,12,10,1,1.162241
9,12,10,2,1.244201
9,12,10,3,1.111279
9,12,10,4,0.959722
9,12,10,5,0.911408
9,12,10,6,0.90039
9,12,10,7,0.739279
9,12,11,0,0.278287
9,12,11,1,0.513359
9,12,11,2,0.87618
9,12,11,3,0.862563
9,12,11,4,0.773066
9,12,11,5,0.753897
9,12,11,6,0.898371
9,12,11,7,0.929354
9,12,12,0,0.780774
9,12,12,1,0.768242
9,12,12,2,0.885901
9,12,12,3,0.915146
9,12,12,4,0.734179
9,12,12,5,0.718957
9,12,12,6,0.932882
9,12,12,7,1.128596
9,12,13,0,1.277121
9,12,13,1,1.348027
9,12,13,2,1.103677
9,12,13,3,0.892842
9,12,13,4,0.750766
9,12,13,5,0.564991
9,12,13,6,0.858497
9,12,13,7,1.309309
9,12,14,0,1.030139
9,12,14,1,0.825499
9,12,14,2,0.724832
9,12,14,3,0.581363
9,12,14,4,0.787942
9,12,14,5,1.119594
9,12,14,6,1.12887
9,12,14,7,1.15704
9,12,15,0,0.956554
9,12,15,1,0.629453
9,12,15,2,0.942182
9,12,15,3,1.344273
9,12,15,4,1.474242
9,12,15,5,1.656887
9,12,15,6,1.811606
9,12,15,7,1.700571
9,12,16,0,1.520378
9,12,16,1,1.27281
9,12,16,2,1.450596
9,12,16,3,1.504328
9,12,16,4,0.894716
9,12,16,5,0.466222
9,12,16,6,0.57481
9,12,16,7,0.640734
9,12,17,0,0.629665
9,12,17,1,0.97529
9,12,17,2,1.08352
9,12,17,3,0.790408
9,12,17,4,0.694431
9,12,17,5,0.830443
9,12,17,6,0.877311
9,12,17,7,0.932418
9,12,18,0,1.11008
9,12,18,1,1.061664
9,12,18,2,1.028572
9,12,18,3,1.095961
9,12,18,4,1.114573
9,12,18,5,0.879813
9,12,18,6,0.748362
9,12,18,7,0.740669
9,12,19,0,0.913754
9,12,19,1,0.905871
9,12,19,2,0.864217
9,12,19,3,0.932576
9,12,19,4,0.64644
9,12,19,5,0.867825
9,12,19,6,0.895075
9,12,19,7,0.903803
9,12,20,0,0.903948
9,12,20,1,1.000037
9,12,20,2,1.104678
9,12,20,3,1.302346
9,12,20,4,1.343308
9,12,20,5,1.375015
9,12,20,6,1.458321
9,12,20,7,1.775282
9,12,21,0,1.555166
9,12,21,1,1.296947
9,12,21,2,1.18986
9,12,21,3,1.036553
9,12,21,4,1.004715
9,12,21,5,1.057712
9,12,21,6,0.992695
9,12,21,7,1.003148
9,12,22,0,0.996953
9,12,22,1,1.000081
9,12,22,2,1.006251
9,12,22,3,1.029246
9,12,22,4,1.090566
9,12,22,5,1.308735
9,12,22,6,1.360786
9,12,22,7,1.295643
9,12,23,0,1.360081
9,12,23,1,1.426653
9,12,23,2,1.459988
9,12,23,3,1.444811
9,12,23,4,1.246134
9,12,23,5,1.240991
9,12,23,6,1.469419
9,12,23,7,1.65922
9,12,24,0,1.736896
9,12,24,1,1.815056
9,12,24,2,1.89862
9,12,24,3,1.982929
9,12,24,4,2.002722
9,12,24,5,1.866019
9,12,24,6,1.896756
9,12,24,7,1.931151
9,12,25,0,1.711561
9,12,25,1,1.502675
9,12,25,2,1.238659
9,12,25,3,1.110307
9,12,25,4,1.069576
9,12,25,5,1.080231
9,12,25,6,1.13303
9,12,25,7,0.979618
9,12,26,0,0.639801
9,12,26,1,0.412735
9,12,26,2,0.223838
9,12,26,3,-0.075868
9,12,26,4,0.132896
9,12,26,5,0.858144
9,12,26,6,1.056258
9,12,26,7,1.182894
9,12,27,0,1.269533
9,12,27,1,1.412457
9,12,27,2,1.311525
9,12,27,3,1.268472
9,12,27,4,1.535614
9,12,27,5,1.617685
9,12,27,6,1.446587
9,12,27,7,1.247783
9,12,28,0,1.266575
9,12,28,1,1.254129
9,12,28,2,1.095405
9,12,28,3,1.067955
9,12,28,4,1.164908
9,12,28,5,1.203958
9,12,28,6,1.080053
9,12,28,7,1.023472
9,12,29,0,1.031439
9,12,29,1,1.071457
9,12,29,2,1.092343
9,12,29,3,1.128472
9,12,29,4,1.11774
9,12,29,5,1.136608
9,12,29,6,1.529588
