####################################################################################################
# Month: 07Jul                                                                                     #
# Station: VLA                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,07,1,0,1.041156,184.009
2009,07,1,1,1.081541,188.0087
2009,07,1,2,1.159057,194.8367
2009,07,1,3,1.196417,197.5675
2009,07,1,4,1.217529,198.9731
2009,07,1,5,1.191343,196.1289
2009,07,1,6,1.281871,202.3621
2009,07,1,7,1.340707,206.4093
2009,07,2,0,1.206734,196.2312
2009,07,2,1,1.019718,179.7215
2009,07,2,2,0.9548659,173.8472
2009,07,2,3,1.053414,183.8017
2009,07,2,4,1.023768,181.0462
2009,07,2,5,0.9540744,173.6947
2009,07,2,6,0.833138,160.0593
2009,07,2,7,1.020545,180.4406
2009,07,3,0,1.594965,223.2105
2009,07,3,1,1.612016,224.6845
2009,07,3,2,1.648445,226.3075
2009,07,3,3,1.798243,233.2628
2009,07,3,4,1.98662,240.8252
2009,07,3,5,1.696436,227.8626
2009,07,3,6,1.747097,229.7387
2009,07,3,7,1.647681,225.0408
2009,07,4,0,1.462524,214.6371
2009,07,4,1,1.277803,202.2197
2009,07,4,2,1.001679,178.7603
2009,07,4,3,1.205633,196.4184
2009,07,4,4,1.277294,202.1008
2009,07,4,5,1.430854,212.5909
2009,07,4,6,1.720454,228.735
2009,07,4,7,1.432927,212.9966
2009,07,5,0,1.368694,209.2929
2009,07,5,1,1.511367,218.7142
2009,07,5,2,1.250489,200.9414
2009,07,5,3,1.125145,190.7241
2009,07,5,4,1.127372,191.0849
2009,07,5,5,1.102649,188.9742
2009,07,5,6,1.080698,187.2474
2009,07,5,7,1.064897,185.8995
2009,07,6,0,1.003196,179.8431
2009,07,6,1,0.9691702,176.6111
2009,07,6,2,0.9570075,175.6419
2009,07,6,3,0.9195926,171.1162
2009,07,6,4,0.7189251,145.9637
2009,07,6,5,0.6512829,136.7906
2009,07,6,6,0.6990163,143.9652
2009,07,6,7,0.8386775,161.4714
2009,07,7,0,0.9637429,175.4312
2009,07,7,1,0.8920745,167.2032
2009,07,7,2,0.6283444,133.6615
2009,07,7,3,0.5228915,117.4667
2009,07,7,4,0.5115476,115.6139
2009,07,7,5,0.4572531,106.7186
2009,07,7,6,0.4047754,97.1319
2009,07,7,7,0.4823615,110.9336
2009,07,8,0,0.6323427,135.0403
2009,07,8,1,0.6002388,130.2837
2009,07,8,2,0.610657,132.2682
2009,07,8,3,0.6378668,136.4617
2009,07,8,4,0.6329129,135.677
2009,07,8,5,0.6914217,143.6775
2009,07,8,6,0.7305096,149.2681
2009,07,8,7,0.7652209,153.6447
2009,07,9,0,0.8365348,161.9524
2009,07,9,1,0.8950041,169.0065
2009,07,9,2,0.9832183,178.1729
2009,07,9,3,1.156443,193.6749
2009,07,9,4,1.063543,185.5964
2009,07,9,5,0.9601599,175.2335
2009,07,9,6,1.000617,179.0785
2009,07,9,7,1.208695,197.8671
2009,07,10,0,1.40797,212.9937
2009,07,10,1,1.195785,197.6187
2009,07,10,2,1.295279,207.4084
2009,07,10,3,1.078319,188.0112
2009,07,10,4,1.014179,182.206
2009,07,10,5,0.8872418,168.6606
2009,07,10,6,1.015988,181.6151
2009,07,10,7,1.104142,189.9597
2009,07,11,0,1.095512,188.9113
2009,07,11,1,0.9259867,171.4749
2009,07,11,2,0.7377593,149.498
2009,07,11,3,0.6165286,132.1727
2009,07,11,4,0.6710061,140.1866
2009,07,11,5,0.7618321,152.3959
2009,07,11,6,0.7733526,154.5333
2009,07,11,7,0.7012711,145.5844
2009,07,12,0,0.5708951,126.3349
2009,07,12,1,0.4695606,109.4208
2009,07,12,2,0.4575681,107.2427
2009,07,12,3,0.512247,116.403
2009,07,12,4,0.5836286,127.5884
2009,07,12,5,0.5688807,125.4124
2009,07,12,6,0.5462427,121.8067
2009,07,12,7,0.5673751,124.848
2009,07,13,0,0.6506663,136.9019
2009,07,13,1,0.7907108,155.4561
2009,07,13,2,0.9128374,170.4493
2009,07,13,3,0.8717672,166.6987
2009,07,13,4,0.837216,162.9057
2009,07,13,5,0.8429645,163.2513
2009,07,13,6,0.8611171,164.865
2009,07,13,7,0.9957633,178.4546
2009,07,14,0,1.292326,204.5734
2009,07,14,1,1.460641,215.9283
2009,07,14,2,1.418862,212.7923
2009,07,14,3,1.143057,192.3006
2009,07,14,4,0.8797366,166.4134
2009,07,14,5,0.8760666,165.1402
2009,07,14,6,0.9974473,178.1732
2009,07,14,7,1.232558,200.0891
2009,07,15,0,1.460378,216.5806
2009,07,15,1,1.28638,204.6797
2009,07,15,2,1.040231,183.0263
2009,07,15,3,0.8237361,159.2979
2009,07,15,4,0.785825,154.3988
2009,07,15,5,0.7975251,155.7214
2009,07,15,6,0.9136682,169.4829
2009,07,15,7,1.265833,202.2793
2009,07,16,0,1.438609,214.1753
2009,07,16,1,1.280664,202.2881
2009,07,16,2,1.036839,180.672
2009,07,16,3,0.8991419,166.5545
2009,07,16,4,0.8265805,158.0194
2009,07,16,5,0.8545126,160.8294
2009,07,16,6,0.8170981,156.7037
2009,07,16,7,0.8495737,161.0788
2009,07,17,0,0.8968845,166.3949
2009,07,17,1,0.8058618,156.3224
2009,07,17,2,0.7179886,145.3272
2009,07,17,3,0.7194388,146.5186
2009,07,17,4,0.7146449,146.6119
2009,07,17,5,0.6708579,140.6124
2009,07,17,6,0.6902949,143.0827
2009,07,17,7,0.8230392,159.7829
2009,07,18,0,0.9911422,178.4319
2009,07,18,1,1.075485,187.2869
2009,07,18,2,1.072845,187.0353
2009,07,18,3,1.116964,189.5627
2009,07,18,4,0.9692713,175.8263
2009,07,18,5,0.8768757,166.3222
2009,07,18,6,1.015511,181.1908
2009,07,18,7,1.462138,216.6577
2009,07,19,0,1.520864,218.9339
2009,07,19,1,0.9480703,173.3068
2009,07,19,2,0.8292413,161.1345
2009,07,19,3,0.8386064,161.3084
2009,07,19,4,0.8849175,166.779
2009,07,19,5,0.8171485,158.7422
2009,07,19,6,0.8572736,163.8776
2009,07,19,7,1.067242,185.321
2009,07,20,0,1.182144,195.8275
2009,07,20,1,0.9952955,178.3442
2009,07,20,2,0.9381994,171.8761
2009,07,20,3,1.040142,182.2144
2009,07,20,4,1.114265,189.0807
2009,07,20,5,1.059835,184.3456
2009,07,20,6,1.079438,186.4989
2009,07,20,7,1.246499,200.8455
2009,07,21,0,1.354727,208.725
2009,07,21,1,1.235477,199.7427
2009,07,21,2,1.169679,194.5997
2009,07,21,3,1.261934,201.8501
2009,07,21,4,1.229102,199.3418
2009,07,21,5,1.204733,197.2313
2009,07,21,6,1.630659,224.7139
2009,07,21,7,1.766471,231.8631
2009,07,22,0,1.776099,232.3939
2009,07,22,1,1.716286,229.5095
2009,07,22,2,1.513007,218.5128
2009,07,22,3,1.640841,225.4987
2009,07,22,4,1.417411,212.4401
2009,07,22,5,1.308086,205.1438
2009,07,22,6,1.271851,202.2965
2009,07,22,7,1.291447,203.6056
2009,07,23,0,1.174122,194.3344
2009,07,23,1,0.9434575,173.2227
2009,07,23,2,0.905462,169.3619
2009,07,23,3,0.9901273,177.7525
2009,07,23,4,1.012789,179.8392
2009,07,23,5,0.943836,172.5526
2009,07,23,6,0.9087629,168.8347
2009,07,23,7,0.924631,170.9526
2009,07,24,0,0.8894605,167.4205
2009,07,24,1,0.9114743,169.8443
2009,07,24,2,0.9541725,174.6244
2009,07,24,3,1.001749,179.4941
2009,07,24,4,1.118736,190.1444
2009,07,24,5,1.192104,195.6229
2009,07,24,6,1.283564,202.6821
2009,07,24,7,1.388177,210.1626
2009,07,25,0,1.385025,210.5632
2009,07,25,1,1.103417,189.4375
2009,07,25,2,1.024562,182.4512
2009,07,25,3,0.9884289,178.825
2009,07,25,4,1.030847,182.7882
2009,07,25,5,1.133397,191.9486
2009,07,25,6,1.160442,194.3608
2009,07,25,7,1.149451,193.3291
2009,07,26,0,1.317049,206.9898
2009,07,26,1,1.334973,208.6398
2009,07,26,2,1.271819,204.1419
2009,07,26,3,1.446854,216.5401
2009,07,26,4,1.486428,218.4511
2009,07,26,5,1.411937,213.523
2009,07,26,6,1.413766,213.5579
2009,07,26,7,1.571752,223.7422
2009,07,27,0,1.495332,219.5445
2009,07,27,1,1.321705,208.3424
2009,07,27,2,1.225995,201.053
2009,07,27,3,1.177226,197.1152
2009,07,27,4,1.104418,190.8903
2009,07,27,5,1.020416,183.0924
2009,07,27,6,0.9668327,177.6103
2009,07,27,7,1.076034,188.449
2009,07,28,0,1.161827,195.7937
2009,07,28,1,1.271378,204.4535
2009,07,28,2,1.073762,187.5023
2009,07,28,3,1.09991,189.7583
2009,07,28,4,1.085044,188.7011
2009,07,28,5,1.007286,180.977
2009,07,28,6,1.141118,193.168
2009,07,28,7,1.338767,209.0853
2009,07,29,0,1.280965,204.9593
2009,07,29,1,1.07918,188.0152
2009,07,29,2,0.8887226,167.5915
2009,07,29,3,0.8543631,162.8902
2009,07,29,4,0.7731803,152.8445
2009,07,29,5,0.7271331,146.9984
2009,07,29,6,0.7638037,152.2916
2009,07,29,7,0.7755642,153.6708
2009,07,30,0,0.779837,153.895
2009,07,30,1,0.8532502,162.3486
2009,07,30,2,0.8689224,164.8403
2009,07,30,3,0.8906609,167.8343
2009,07,30,4,0.9210275,171.1744
2009,07,30,5,0.9666249,175.1393
2009,07,30,6,1.054733,183.3697
2009,07,30,7,1.024208,180.3756
2009,07,31,0,1.121574,189.7025
2009,07,31,1,1.0688,184.8888
2009,07,31,2,0.9491529,173.0774
2009,07,31,3,0.9339227,171.5775
2009,07,31,4,0.9384858,172.1701
2009,07,31,5,0.9274821,171.0351
2009,07,31,6,0.9448966,172.7217
2009,07,31,7,0.9678051,175.1343
2010,07,1,0,1.491034,214.8209
2010,07,1,1,1.062403,183.1749
2010,07,1,2,1.043503,181.8376
2010,07,1,3,1.260012,200.4616
2010,07,1,4,1.237177,198.212
2010,07,1,5,1.244841,198.6042
2010,07,1,6,1.390151,209.712
2010,07,1,7,1.612617,223.5126
2010,07,2,0,1.606444,223.2987
2010,07,2,1,1.37163,209.6354
2010,07,2,2,1.385266,210.7304
2010,07,2,3,1.359127,209.2162
2010,07,2,4,1.211225,198.3353
2010,07,2,5,1.081483,187.3783
2010,07,2,6,1.036742,183.2868
2010,07,2,7,1.402544,212.6689
2010,07,3,0,1.631856,225.9056
2010,07,3,1,1.549066,221.7677
2010,07,3,2,1.332429,208.1207
2010,07,3,3,1.339862,208.8319
2010,07,3,4,1.362757,209.9284
2010,07,3,5,1.228684,198.5629
2010,07,3,6,1.227251,198.411
2010,07,3,7,1.242603,200.3511
2010,07,4,0,0.7421506,149.9717
2010,07,4,1,0.6129422,131.7936
2010,07,4,2,0.4470306,105.2328
2010,07,4,3,0.3404451,85.40647
2010,07,4,4,0.3075414,78.5964
2010,07,4,5,0.2447324,65.22289
2010,07,4,6,0.2674901,69.74594
2010,07,4,7,0.3073739,77.93884
2010,07,5,0,0.3664372,89.3634
2010,07,5,1,0.4042499,96.53357
2010,07,5,2,0.3820985,92.58082
2010,07,5,3,0.5280433,118.7006
2010,07,5,4,0.2471449,65.33742
2010,07,5,5,0.1534419,44.06737
2010,07,5,6,0.1355102,39.62772
2010,07,5,7,0.1642865,46.4836
2010,07,6,0,0.1742184,48.78828
2010,07,6,1,0.177291,49.41038
2010,07,6,2,0.2115563,57.17316
2010,07,6,3,0.2489495,65.2723
2010,07,6,4,0.2807377,71.78266
2010,07,6,5,0.298822,75.50481
2010,07,6,6,0.3243595,80.7616
2010,07,6,7,0.477837,108.3944
2010,07,7,0,0.7172166,143.4822
2010,07,7,1,0.7746731,150.4254
2010,07,7,2,0.7192463,143.0949
2010,07,7,3,0.8493519,161.4165
2010,07,7,4,0.831464,159.1551
2010,07,7,5,0.8214221,157.7336
2010,07,7,6,0.7270134,146.0378
2010,07,7,7,0.8728694,163.3048
2010,07,8,0,1.279408,200.6605
2010,07,8,1,1.457429,212.7515
2010,07,8,2,1.551236,218.2808
2010,07,8,3,1.587726,220.7392
2010,07,8,4,1.584818,220.9811
2010,07,8,5,1.707402,228.013
2010,07,8,6,1.778824,231.3857
2010,07,8,7,1.526438,218.4435
2010,07,9,0,1.5272,218.6541
2010,07,9,1,1.354084,207.8879
2010,07,9,2,1.361646,208.4829
2010,07,9,3,1.298515,203.5375
2010,07,9,4,1.300024,203.9221
2010,07,9,5,1.341089,206.9317
2010,07,9,6,1.431873,213.4874
2010,07,9,7,1.482041,217.2285
2010,07,10,0,1.371266,210.2731
2010,07,10,1,1.237571,200.3196
2010,07,10,2,1.09355,188.2532
2010,07,10,3,1.100409,188.8864
2010,07,10,4,1.129281,191.1826
2010,07,10,5,1.154529,193.1375
2010,07,10,6,1.078629,186.5444
2010,07,10,7,1.187731,196.5428
2010,07,11,0,1.616772,225.1736
2010,07,11,1,1.778337,233.2338
2010,07,11,2,1.644077,226.3775
2010,07,11,3,1.566174,221.7436
2010,07,11,4,1.446568,214.8493
2010,07,11,5,1.488901,217.5053
2010,07,11,6,1.980681,241.5102
2010,07,11,7,2.042564,243.4861
2010,07,12,0,1.626983,226.1782
2010,07,12,1,1.517473,220.4595
2010,07,12,2,1.306653,206.3221
2010,07,12,3,1.086656,187.9862
2010,07,12,4,0.8675282,165.5317
2010,07,12,5,0.8173018,160.0047
2010,07,12,6,0.8654163,165.8432
2010,07,12,7,0.9210622,172.2052
2010,07,13,0,0.9161054,171.1466
2010,07,13,1,0.94244,173.5247
2010,07,13,2,1.070021,186.894
2010,07,13,3,1.158527,195.2253
2010,07,13,4,1.111852,190.7686
2010,07,13,5,1.019444,182.0729
2010,07,13,6,1.095284,189.5401
2010,07,13,7,1.437862,215.3345
2010,07,14,0,1.589625,223.9733
2010,07,14,1,1.419628,212.4971
2010,07,14,2,1.131013,191.37
2010,07,14,3,1.168059,194.8655
2010,07,14,4,1.198362,197.017
2010,07,14,5,1.064484,185.4621
2010,07,14,6,1.217469,198.7332
2010,07,14,7,1.664544,227.3939
2010,07,15,0,1.634247,225.6199
2010,07,15,1,1.403626,211.7695
2010,07,15,2,1.254986,201.4425
2010,07,15,3,1.338886,207.3918
2010,07,15,4,1.239621,199.7497
2010,07,15,5,1.132289,190.1304
2010,07,15,6,1.353124,207.6283
2010,07,15,7,1.810871,233.9495
2010,07,16,0,1.44794,214.4536
2010,07,16,1,1.087858,186.9462
2010,07,16,2,1.119763,189.1347
2010,07,16,3,1.151307,191.4268
2010,07,16,4,1.05315,182.6293
2010,07,16,5,0.9956771,177.2944
2010,07,16,6,0.9694493,174.5316
2010,07,16,7,1.085993,185.9044
2010,07,17,0,1.196946,196.0904
2010,07,17,1,0.9830104,177.4902
2010,07,17,2,1.005884,179.8508
2010,07,17,3,1.226881,198.7249
2010,07,17,4,1.191883,195.8418
2010,07,17,5,1.170841,193.9292
2010,07,17,6,1.158228,193.4374
2010,07,17,7,1.120325,190.8946
2010,07,18,0,1.010875,180.9488
2010,07,18,1,0.995121,179.1158
2010,07,18,2,0.9923256,179.0645
2010,07,18,3,1.053078,185.2245
2010,07,18,4,1.088844,188.6204
2010,07,18,5,1.023049,182.4333
2010,07,18,6,1.003645,180.7608
2010,07,18,7,1.208568,199.1298
2010,07,19,0,1.590154,224.9877
