####################################################################################################
# Month: 06Jun                                                                                     #
# Station: WF                                                                                      #
# Frequency: 410 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,06,1,0,5.546181,277.2286
2009,06,1,1,4.621194,270.8605
2009,06,1,2,4.125762,269.0283
2009,06,1,3,4.189464,269.7452
2009,06,1,4,4.537237,271.2356
2009,06,1,5,6.101815,276.4735
2009,06,1,6,6.718016,280.3783
2009,06,1,7,7.135262,282.6542
2009,06,2,0,11.10125,284.0301
2009,06,2,1,7.461048,282.988
2009,06,2,2,6.692329,284.8386
2009,06,2,3,10.58884,286.0351
2009,06,2,4,10.60102,284.5035
2009,06,2,5,10.2955,284.2214
2009,06,2,6,9.40024,285.0812
2009,06,2,7,8.674011,285.8165
2009,06,3,0,8.695919,285.9233
2009,06,3,1,8.995564,285.0619
2009,06,3,2,9.279535,283.5194
2009,06,3,3,8.673014,281.526
2009,06,3,4,8.488763,280.5687
2009,06,3,5,9.385777,282.0029
2009,06,3,6,9.206722,283.7729
2009,06,3,7,8.767981,284.92
2009,06,4,0,8.673092,285.0868
2009,06,4,1,8.420567,284.5543
2009,06,4,2,8.9143,284.4402
2009,06,4,3,9.331566,283.9068
2009,06,4,4,8.264548,282.748
2009,06,4,5,8.2716,283.1037
2009,06,4,6,7.982898,284.5326
2009,06,4,7,7.942726,285.2056
2009,06,5,0,7.24289,285.0179
2009,06,5,1,6.583829,284.4543
2009,06,5,2,6.595895,283.8845
2009,06,5,3,6.955132,283.7541
2009,06,5,4,7.974061,284.047
2009,06,5,5,9.941659,282.9241
2009,06,5,6,9.831658,282.8968
2009,06,5,7,9.016162,281.9054
2009,06,6,0,7.818646,281.0782
2009,06,6,1,9.26242,281.1721
2009,06,6,2,10.43984,281.5774
2009,06,6,3,8.860441,282.0585
2009,06,6,4,7.232526,281.6784
2009,06,6,5,7.9558,282.4893
2009,06,6,6,9.135674,285.4206
2009,06,6,7,10.59466,287.3224
2009,06,7,0,9.762436,288.4872
2009,06,7,1,8.825256,288.3023
2009,06,7,2,7.963142,285.7237
2009,06,7,3,8.401833,285.3481
