####################################################################################################
# Month: 07Jul                                                                                     #
# Station: WF                                                                                      #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,07,1,0,2.595744,262.2873
2009,07,1,1,2.266206,254.5442
2009,07,1,2,2.240115,253.6423
2009,07,1,3,2.267935,254.4573
2009,07,1,4,2.074199,247.433
2009,07,1,5,2.207665,251.1797
2009,07,1,6,2.460233,257.7665
2009,07,1,7,2.759086,264.1009
2009,07,2,0,2.408316,257.1189
2009,07,2,1,2.087882,247.2362
2009,07,2,2,2.285515,253.773
2009,07,2,3,2.770919,265.3939
2009,07,2,4,3.20552,272.0555
2009,07,2,5,3.555759,276.056
2009,07,2,6,4.382482,281.1905
2009,07,2,7,4.181351,280.5465
2009,07,3,0,3.763309,278.3152
2009,07,3,1,3.999172,280.4437
2009,07,3,2,3.681687,277.8343
2009,07,3,3,2.924649,268.4267
2009,07,3,4,2.484498,259.2368
2009,07,3,5,2.388472,256.6474
2009,07,3,6,2.506378,260.4829
2009,07,3,7,2.674789,264.0588
2009,07,4,0,2.664167,263.9242
2009,07,4,1,2.508498,260.0505
2009,07,4,2,2.266586,253.2348
2009,07,4,3,2.159847,250.0391
2009,07,4,4,2.083481,246.9257
2009,07,4,5,2.22724,252.0285
2009,07,4,6,2.228681,252.1792
2009,07,4,7,2.040429,245.8904
2009,07,5,0,1.736758,231.4926
2009,07,5,1,1.663942,226.3821
2009,07,5,2,1.5635,220.8291
2009,07,5,3,1.501358,217.4626
2009,07,5,4,1.595345,223.5322
2009,07,5,5,1.649682,228.0876
2009,07,5,6,1.618041,228.0256
2009,07,5,7,1.625747,229.1826
2009,07,6,0,1.545392,224.3776
2009,07,6,1,1.476359,219.2516
2009,07,6,2,1.415102,214.4234
2009,07,6,3,1.327544,208.2558
2009,07,6,4,1.371705,211.2795
2009,07,6,5,1.536202,222.1423
2009,07,6,6,1.525569,222.0068
