####################################################################################################
# Month: 03Mar                                                                                     #
# Station: YAN                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,03,1,0,1.413996,203.0983
2009,03,1,1,1.43576,203.5442
2009,03,1,2,1.297397,194.1671
2009,03,1,3,1.085072,177.6096
2009,03,1,4,0.8899676,158.63
2009,03,1,5,0.8227807,151.4757
2009,03,1,6,1.201854,187.7614
2009,03,1,7,1.400112,202.2162
2009,03,2,0,1.350521,198.8306
2009,03,2,1,1.256851,191.9867
2009,03,2,2,1.12559,180.9913
2009,03,2,3,1.049534,174.3532
2009,03,2,4,1.044295,173.7125
2009,03,2,5,1.224954,188.4227
2009,03,2,6,1.331551,196.4814
2009,03,2,7,1.451999,204.3533
2009,03,3,0,1.394942,200.5773
2009,03,3,1,1.260875,191.7327
2009,03,3,2,1.250332,190.5919
2009,03,3,3,1.170852,183.9983
2009,03,3,4,1.093269,177.3459
2009,03,3,5,1.265896,190.8375
2009,03,3,6,1.450719,203.4721
2009,03,3,7,1.559486,210.0995
2009,03,4,0,1.423501,202.5068
2009,03,4,1,1.29716,194.1675
2009,03,4,2,1.168922,184.4883
2009,03,4,3,1.134098,181.3281
2009,03,4,4,1.033849,172.6371
2009,03,4,5,1.058996,175.1861
2009,03,4,6,1.399715,202.314
2009,03,4,7,1.622309,215.6151
2009,03,5,0,1.548758,210.9814
2009,03,5,1,1.391205,200.2151
2009,03,5,2,1.218637,188.3171
2009,03,5,3,1.149171,182.8719
2009,03,5,4,1.000538,169.8991
2009,03,5,5,0.9871876,168.877
2009,03,5,6,1.220331,188.9008
2009,03,5,7,1.398898,202.1771
2009,03,6,0,1.352418,198.9227
2009,03,6,1,1.247255,191.237
2009,03,6,2,1.157709,183.4645
2009,03,6,3,0.9544789,165.3791
2009,03,6,4,0.9501687,164.9294
2009,03,6,5,1.015802,171.3013
2009,03,6,6,1.354268,198.165
2009,03,6,7,1.557052,211.3495
2009,03,7,0,1.442109,204.5141
2009,03,7,1,1.330042,197.1116
2009,03,7,2,1.339747,197.13
2009,03,7,3,1.237315,189.5303
2009,03,7,4,1.158585,183.5652
2009,03,7,5,1.161728,184.2177
2009,03,7,6,1.330666,196.6934
2009,03,7,7,1.270829,192.8458
2009,03,8,0,0.8887,159.6839
2009,03,8,1,0.7977247,149.6703
2009,03,8,2,0.9656526,167.4418
2009,03,8,3,1.199401,188.035
2009,03,8,4,1.304439,195.4124
2009,03,8,5,1.345393,197.9849
2009,03,8,6,1.455956,205.7778
2009,03,8,7,1.714223,220.1454
2009,03,9,0,1.574688,212.0817
2009,03,9,1,1.436147,203.2813
2009,03,9,2,1.426572,202.2977
2009,03,9,3,1.293646,193.4
2009,03,9,4,0.9088257,160.2957
2009,03,9,5,0.9700867,166.553
2009,03,9,6,1.120562,180.3809
2009,03,9,7,1.189452,186.4937
2009,03,10,0,1.175407,185.5617
2009,03,10,1,1.202595,187.1147
2009,03,10,2,1.267977,191.3779
2009,03,10,3,1.251117,189.9647
2009,03,10,4,1.103152,178.28
2009,03,10,5,1.024227,171.7322
2009,03,10,6,1.078858,177.2294
2009,03,10,7,1.120333,181.3261
2009,03,11,0,1.003466,170.5951
2009,03,11,1,0.8148925,150.2482
2009,03,11,2,0.6773904,133.4505
2009,03,11,3,0.5039648,109.1675
2009,03,11,4,0.3857835,89.78884
2009,03,11,5,0.4838393,106.2589
2009,03,11,6,0.7142867,138.7374
2009,03,11,7,0.6206896,126.6898
2009,03,12,0,0.3206333,77.59715
2009,03,12,1,0.1486965,41.80467
2009,03,12,2,0.08874552,27.96776
2009,03,12,3,0.07857607,25.37271
2009,03,12,4,0.08715272,27.35786
2009,03,12,5,0.1069531,32.10995
2009,03,12,6,0.2322977,60.10671
2009,03,12,7,0.4768952,104.9408
2009,03,13,0,0.5138191,111.0043
2009,03,13,1,0.4849275,106.626
2009,03,13,2,0.5322046,113.7081
2009,03,13,3,0.5704042,119.2191
2009,03,13,4,0.6003744,123.4209
2009,03,13,5,0.7755434,145.894
2009,03,13,6,0.9646905,166.7664
2009,03,13,7,1.200605,187.3994
2009,03,14,0,1.303473,194.3811
2009,03,14,1,1.290675,192.4723
2009,03,14,2,1.191859,185.2168
2009,03,14,3,1.14079,181.1276
2009,03,14,4,1.035171,172.0515
2009,03,14,5,1.016558,170.6748
2009,03,14,6,1.1572,183.5185
2009,03,14,7,1.322351,196.1949
2009,03,15,0,1.412374,201.4901
2009,03,15,1,1.365811,198.0366
2009,03,15,2,1.19168,185.3346
2009,03,15,3,1.121298,179.9085
2009,03,15,4,1.091065,177.3315
2009,03,15,5,1.147341,181.8949
2009,03,15,6,1.150078,181.7797
2009,03,15,7,1.18564,184.8676
2009,03,16,0,1.103149,178.2199
2009,03,16,1,0.9436347,163.2358
2009,03,16,2,0.8535271,153.5757
2009,03,16,3,0.8410162,152.3611
2009,03,16,4,0.7506369,141.7247
2009,03,16,5,0.8135808,149.3545
2009,03,16,6,0.9884322,167.775
2009,03,16,7,1.087174,177.1087
2009,03,17,0,0.8778174,156.9757
2009,03,17,1,0.6830429,133.3585
2009,03,17,2,0.4745811,102.9186
2009,03,17,3,0.4774234,103.4298
2009,03,17,4,0.7510178,142.3127
2009,03,17,5,0.8507673,154.3305
2009,03,17,6,0.9295562,162.5666
2009,03,17,7,0.9906032,168.7664
2009,03,18,0,0.6896123,135.2377
2009,03,18,1,0.554856,116.9215
2009,03,18,2,0.5799377,120.1059
2009,03,18,3,0.5527858,115.9089
2009,03,18,4,0.6048764,123.8107
2009,03,18,5,0.7975804,148.5546
2009,03,18,6,0.9635651,166.7098
2009,03,18,7,1.068031,176.9891
2009,03,19,0,0.9746951,168.2774
2009,03,19,1,0.9425126,165.1143
2009,03,19,2,0.8887371,159.4087
2009,03,19,3,0.8184132,151.5095
2009,03,19,4,0.7747382,146.3747
2009,03,19,5,0.9214693,162.5434
2009,03,19,6,1.092576,178.8898
2009,03,19,7,1.272137,193.9009
2009,03,20,0,1.281803,194.7685
2009,03,20,1,1.230796,190.8505
2009,03,20,2,1.126371,182.1006
2009,03,20,3,0.9513771,165.6653
2009,03,20,4,0.7311512,141.2065
2009,03,20,5,0.7536923,144.0031
2009,03,20,6,0.9947306,169.9167
2009,03,20,7,1.228289,189.9461
2009,03,21,0,1.212559,188.8001
2009,03,21,1,1.114177,180.5948
2009,03,21,2,1.081327,177.3315
2009,03,21,3,0.9369945,163.4743
